– Herr Präsident, liebe Kolleginnen und Kollegen!	– Mr President, ladies and gentlemen, let us consider the Eurostat affair.
Zur Eurostat-Affäre: Ich bin sehr enttäuscht, dass die von Präsident Prodi angekündigten Maßnahmen Ausdruck des mangelnden Willens sind, die Probleme wirklich anzugehen.	I am very disappointed by the measures announced by President Prodi, which indicate that the will to really tackle these problems is absent.
Ich vermisse vor allem strukturelle und personelle Veränderungen, beispielsweise die Änderung der Aufgabenbereiche der drei verantwortlichen Kommissare.	Above all, I note the absence of changes in structure and personnel, for example changes to the responsibilities of the three Commissioners concerned.
Ich erinnere nur daran, dass das Parlament bereits zu Beginn der Legislaturperiode der Kommission an einer Trennung von Haushalt und Haushaltskontrolle festhalten wollte, um gerade die Interessenkonflikte zu vermeiden, vor denen wir jetzt stehen.	Let me just remind you how this House, right at the beginning of this Commission’s term of office, wanted to hold fast to the separation of the budget and budgetary control, precisely in order to avoid the conflicts of interest that face us now.
Ich vermisse auch eine ernsthafte Abmahnung der zuständigen drei Kommissare, aus der deutlich wird, dass sie ihre Aufsichts- und Sorgfaltspflicht verletzt haben.	I find no trace of any serious reprimand for the three Commissioners responsible, making it clear that they were in breach of their supervisory responsibilities and of their duty of care.
Das hat jeder einfache Arbeitnehmer, Herr Präsident, in einem ähnlichen Fall in seinem Arbeitsverhältnis zu gewährleisten.	That, Mr President, is something that every ordinary employee, in similar circumstances, has to guarantee in the course of his employment.
Drittens sollten die Kontrollfunktionen deutlich gestärkt werden, denn Eurostat ist meines Erachtens ein Paradebeispiels dafür, dass hier alle Kontrollemechanismen der Kommission versagt haben.	Thirdly, the controls must be made much more effective, as Eurostat is, in my view, a shining example of how all the Commission’s checks and balances can fail.
Aber keine von diesen möglichen Maßnahmen – und es wäre ein Leichtes für Sie gewesen, wenigstens eine oder zwei herbeizuführen – haben Sie ergriffen.	It would have been easy for you to take at least one or two of these three possible courses of action, but you have taken none of them.
Sie haben es damit, Herr Prodi, nach dem 25. September zum zweiten Mal versäumt, einen Schlussstrich unter die Affäre zu ziehen und das Vertrauen des Parlaments und der Bürger zurückzugewinnen.	What this means, Mr Prodi, is that, for the second time since 25 September, you have failed to draw a line under the affair and regain the trust of Parliament and the public.
Eines lasse ich Ihnen hier keinesfalls durchgehen: die Behauptung nämlich, dass die Reform der Kommission erst 2004 ganz umgesetzt wäre und dann ein Fall Eurostat nicht mehr möglich sei.	There is one thing that I will not under any circumstances allow you to get away with, and that is your assertion that the reform of the Commission will be completed only in 2004 and that a Eurostat case will no longer be possible.
Ich sage Ihnen: Das Gegenteil wird der Fall sein, denn durch Ihre Reform und die neue Haushaltsordnung wird die Kontrolle weiter geschwächt.	Let me tell you that the opposite will be the case, as your reforms and the new Financial Regulation will weaken control still further.
Die Abschaffung des unabhängigen Finanzkontrolleurs führt zu einer beispiellosen Machtfülle bei den Generaldirektoren.	As a result of the abolition of the independent auditors, the Directors-General possess power to an unparalleled degree.
Ich frage Sie: Wollen Sie das wirklich?	Let me ask you this: is that really what you want?
Demokratie braucht Kontrolle, und ein so demokratiedefizitäres Gebilde wie die Kommission erst recht.	Democracy needs control, and an entity as deficient in democracy as the Commission certainly does.
