. Herr Präsident, meine sehr geehrten Damen und Herren Abgeordneten!	.
Sie kennen wahrscheinlich die traditionellen englischen Bezeichnungen wie , , und . Diese Bezeichnungen sind auf Gemeinschaftsebene für in Portugal erzeugte und mit Alkohol angereicherte Qualitätsweine geschützt.	Mr President, ladies and gentlemen, you are probably familiar with the traditional English appellations ‘ruby’, ‘vintage’, ‘tawny’ and ‘late bottled’, which, at Community level, are protected terms when applied to fortified quality wines produced in Portugal.
Mit anderen Worten: Es können diese traditionellen Bezeichnungen für andere Qualitätsweine frei verwendet werden.	To put it another way, these traditional appellations may be freely used with reference to other quality wines.
Um diese in Portugal traditionellen Bezeichnungen verwenden zu dürfen, muss aber ein Drittland gewisse Anforderungen erfüllen. Es müssen folgende Bedingungen erfüllt sein:	In order, though, to be allowed to use these appellations, which are traditional in Portugal, a third country must comply with certain requirements and meet the following conditions:
Erstens: Die Bezeichnung muss spezifisch sein, das heißt, als Qualitätsbezeichnung anerkannt sein.	Firstly, the appellation must be specific, in other words, it must be recognised as a label of quality.
Zweitens: Die Bezeichnung muss charakteristisch sein oder einen gewissen Ruf genießen, das heißt, der durchschnittliche Verbraucher muss die Bezeichnung als ein Unterscheidungsmerkmal zwischen einem bestimmten Wein und einem anderen Wein erkennen können.	Secondly, the appellation must be characteristic or enjoy a certain reputation, that is to say, the average consumer must be able to recognise it as distinguishing between one wine and another.
Drittens: Die Bezeichnung muss in dem Hoheitsgebiet des betreffenden Drittlandes traditionsgemäß verwendet werden.	Thirdly, the appellation must be traditionally used within the territory of the third country in question.
Viertens: Die von dem Drittland festgelegten Regeln dürfen den europäischen Verbraucher nicht irreführen, wenn der Drittlandswein auf einem EG-Markt auftritt.	Fourthly, the rules laid down by the third country must not mislead the European consumer in the event of the wine from the third country appearing on a market within the European Community.
Fünftens: Die Amtssprache des betreffenden Landes muss Englisch sein. Das ist also der Fall bei Südafrika, bei Australien oder den USA.	The fifth condition is that the official language of the third country must be English, which it is in the case of South Africa, Australia and the USA.
Falls Englisch nicht die Amtssprache des betreffenden Landes ist, muss die Verwendung dieser Sprache in den Rechtsvorschriften vorgesehen sein und Englisch seit mindestens 25 Jahren kontinuierlich für die traditionelle Bezeichnung verwendet worden sein.	Where English is not the official language of the country in question, its use must be provided for in legislation and English must have been used for this traditional appellation for at least 25 years without interruption.
Da Englisch nicht die Amtssprache von Drittländern wie Argentinien, Chile oder Brasilien ist und die Rechtsvorschriften der betreffenden Länder keine entsprechende Bestimmung enthalten, können diese Länder die traditionellen Bezeichnungen auf dem EG-Markt nicht verwenden.	As English is not the official language in such third countries as Argentina, Chile or Brazil, and the laws of these countries contain no such provision, these countries cannot use the traditional appellations on the EC market.
Um eine traditionelle Bezeichnung in der Gemeinschaft zu verwenden, muss ein Drittland ein Dossier bei der Kommission einreichen, welche die Verwendung nur zulässt, wenn die von mir genannten zahlreichen Bedingungen erfüllt sind.	In order to be allowed to use a traditional appellation in the EC, a third country must submit a dossier to the Commission, which will permit its use only if the various conditions I have enumerated are complied with.
An diesem Verfahren ist der Verwaltungsausschuss beteiligt, das heißt, die Mitsprache der Mitgliedstaaten ist gewährleistet.	Consultation of the Member States is guaranteed by the involvement of the Management Committee in this procedure.
Die Änderung der Kennzeichnungsverordnung wird keine negativen Auswirkungen auf den Handel haben, da die traditionellen Bezeichnungen für mit Alkohol angereicherte Weine begrenzt sind, während Drittländer hauptsächlich normale oder gewöhnliche Weine ausführen.	Amending the Labelling Regulation will have no adverse effects on trade, as the traditional appellations for fortified wines are limited, whereas third countries generally export ordinary or unfortified wines.
