Herr Kommissar, meine sehr geehrten Damen und Herren!	Commissioner, ladies and gentlemen, Mr Hans-Peter Martin is right.
Ich möchte Hans-Peter Martin Recht geben.	There are not very many of us in the Chamber.
Wir sind nicht sehr viele im Saal. Wir wissen nicht, wie viele in unseren Büros derzeit zuschauen, und wir wissen nicht, wie viele zuschauen würden, könnten wir diese Sitzung im Internet übertragen.	We do not know how many people are watching this in their offices and we do not know how many people would watch if we could broadcast this sitting on the Internet.
Wäre es dann noch möglich, über Videostream diese Sitzung zu einer genehmen Tageszeit abzuspielen, dann könnten sich die Hits auf unserer Seite - glaube ich - vervielfachen, und das Geschehen hier könnte transparenter und auch wesentlich effizienter analysiert und überprüft werden.	If it were even possible to use video streaming to play this sitting at an agreeable time of day, then I think the hits on our web page would rocket, and it would be possible for people to analyse and monitor what goes on here more transparently and also much more effectively.
Was brauchen wir?	What do we need?
Es muss schneller werden, es muss effizienter werden.	It has to be quicker; it has to be more efficient.
Wir brauchen Suchmaschinen, die hier innerhalb kürzester Zeit auf Stichworte Zugriff gewähren.	We need search engines that direct people to the right place as quickly as possible on the basis of key words.
Bei Eingabe von 'Hans-Peter Martin', 'Paul Rübig', 'e-commerce', 'anwesende Teilnehmer' müsste man sofort bei dieser Sitzung sein.	Entering 'Hans-Peter Martin', 'Paul Rübig', 'e-commerce' and 'participants present' ought to take you straight to this sitting.
Ich glaube, dass sich unsere Welt geändert hat, dass die vernetzte Gesellschaft letztlich bereits Realität ist.	I think that our world has changed, that the networked society is actually already a reality.
Die Möglichkeiten, elektronisch Behördenwege, elektronischen Geschäftsverkehr usw. durchzuführen, ist längst gegeben, aber es fehlen einige Voraussetzungen.	It has been possible to complete bureaucratic formalities, conduct business and so on electronically for a long time, but some of the necessary prerequisites are lacking.
Wenn wir im Herbst die WTO-Verhandlungen in Cancun haben, müssen wir uns fragen: Wie sieht es aus mit der Liberalisierung des Welthandels?	When the WTO negotiations take place in Cancun in the autumn we need to ask ourselves: to what extent has world trade been liberalised?
Wenn jetzt Hans-Peter Martin auf eine Homepage klickt und dort ein Buch aus Amerika bestellen will oder eine gewisse Software, stellt sich die Frage, mit welchen Schranken, mit welcher Bürokratie er zu rechnen hat.	If Hans-Peter Martin clicks on a home page now and wants to order a book from America or a certain piece of software, what barriers and what bureaucracy will he have to contend with?
Welche Zölle sind zu bezahlen, und vor allem was macht die Post mit ihren Versand- und Lieferkosten, die derzeit für Kleinsendungen völlig unangemessen sind?	What duties will have to be paid and above all, what is the postal service going to do about shipping and delivery costs, which are currently completely unreasonable for small parcels?
Wir brauchen verstärkten Wettbewerb bei den Postdienstleistungen.	We need more competition in the postal services sector.
Wir brauchen sichere Zahlungssysteme, wir brauchen ein Schadensersatzsystem, das den Kunden vor Betrug schützt, und wir brauchen ein e-Geld, das es uns ermöglicht, wie mit Banknoten zu bezahlen.	We need secure payment systems, we need a system of damages that protects customers from fraud, and we need e-money that enables us to pay as if paying with cash.
Das System der Banknoten auf e-Money zu übertragen, ist etwas, das wir in Zukunft unbedingt brauchen werden, wie letztlich auch eine europaweite Untersuchung über die Hindernisse für eine angemessene Nutzung dieser neuen Formen der Technologie.	Applying the banknotes system to e-money is something that we are definitely going to need to do in the future. Finally, we also need a Europe-wide investigation into the obstacles to using these new technologies.
