Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, whatever is possible is permissible here.
Hier ist alles erlaubt, was möglich ist, darf alles erlaubt sein, was möglich ist, Herr Rothley!	Is it right, Mr Rothley, to allow things just because they are possible?
Wir führen heute eine prinzipielle Debatte, die Grenzen überschreitet und doch ganz neuer Grenzen bedarf.	We are debating principles today in a debate which transcends boundaries but for which quite new boundaries need to be set.
In dieser Debatte geht es um nicht weniger als um Verantwortung.	At the heart of this debate is nothing less than responsibility.
Es geht um Moral und Ethik.	It is about morals and ethics.
Es geht um die Würde der Lebewesen.	It is about the value of life.
Es geht um die Unantastbarkeit der Natur.	It is about the inviolability of nature.
Es geht um Menschenrechte.	It is about human rights.
Wird mit diesem Ruf nach Wachstum und Fortschritt und dem trügerischen Versprechen nach mehr Arbeitsplätzen nicht der soziale Rechtsstaat und der Respekt vor der Natur gleichermaßen in Frage gestellt?	Do this call for growth and progress and the illusory promise of more jobs not represent a threat to social welfare and the rule of law? Do they not undermine the principle of respect for nature?
Denn die Patentierung von Lebewesen und das Negieren der Unantastbarkeit des Individuums sind das Ergebnis einer Hybris, die keine Grenzen mehr kennt.	The patenting of living organisms and rejection of the inviolability of the individual are the result of an overweening arrogance that no longer knows any bounds.
Wer sind wir denn, daß wir die Evolution als privates Eigentum betrachten und Besitzansprüche anmelden wollen an einem Leben, das sich in Millionen von Jahren in Millionen von Lebewesen entwickelt hat und das unser gemeinsames Erbe ist, dessen Artenvielfalt einen unbeschreiblichen Reichtum darstellt?	Who do we think we are, regarding evolution as private property and claiming ownership rights in respect of a life that has evolved over millions of years into millions of living organisms, our common heritage with its indescribable wealth of biological diversity?
Wer sind wir denn, daß wir glauben, das Recht zu haben, uns über Tier und Pflanze zu erheben, um uns letztendlich den Menschen untertan und verwertbar zu machen und ihn zum bloßen biologischen Material zu reduzieren?	Who do we think we are, believing we are entitled to set ourselves above the flora and fauna of this world in order finally to enslave humankind and turn people into exploitable commodities, into mere biological material?
Verantwortung uns und unseren Kindeskindern gegenüber kann nur die strikte und konsequente Ablehnung bedeuten.	Responsibility towards ourselves and our children's children can only mean strict and consistent rejection.
Keine Patente für Gene, Pflanzen, Tiere, Menschen oder deren Bestandteile!	No patents for genes, plants, animals, people or their constituent parts!
Wir treten ein für die Freiheit der Forschung und Entwicklung.	We are committed to freedom of research and development.
Wir lehnen aber ab, daß letztere gerade durch exzessiven Patentschutz eher behindert werden, da wissenschaftliche Erkenntnisse nicht mehr frei verfügbar sind, sondern Verfügungsmasse einzelner Konzerne und somit ökonomischer Interessen werden und die Frage des Zugangs zu und der Partizipation an Erkenntnissen eine Frage des Geldes wird.	But we are opposed to any situation in which this freedom is liable to be restricted by excessive patenting, by the inaccessibility of scientific knowledge, due to its having become the preserve of individual groups of companies and hence of economic interests, and in which the right to acquire and share knowledge is a question of money.
Und wir treten ein für die Moral in der Politik.	And we are committed to morality in politics.
Moral, das heißt vor allem auch Unabhängigkeit.	Above all else, morality means independence.
Wir sind nicht die Standortverwalter einer ungehemmten Wettbewerbsideologie, die ihre Politik diesen Interessen unterordnet und anpaßt.	We are not the caretakers of an unbridled competitive ideology in which policies are subordinated and attuned to these interests.
Ich appelliere an unsere gesellschaftspolitische Verantwortung, die etwas anderes ist als die Abhängigkeit von der Politik von BASF, von Boehringer oder wie sie alle heißen.	I appeal to our social responsibility, which is something other than subjugation to the policies of BASF, Boehringer or whatever they are all called.
Diese Unabhängigkeit hätte ich mir vom Berichterstatter gewünscht, denn wenn Politik und Moral voneinander getrennt werden, dann ist das Ergebnis unmoralische Politik.	I should have liked to see some of this independence from the rapporteur, because the separation of politics and morality can only result in immoral policies.
