Frau Präsidentin! Ich möchte vor der Abstimmung etwas zur Geschäftsordnung sagen.	Madam President, before the vote I should like to make a point of order.
Ich beziehe mich auf Artikel 118 der Geschäftsordnung.	I refer to Rule 118 of the Rules of Procedure.
Darin geht es darum, dass alle Mitglieder des Hauses Zugang zu allen erforderlichen Dokumenten haben.	This is about all Members of the House having access to all the necessary documents.
Im Hinblick auf die Abstimmung, die wahrscheinlich am Donnerstag stattfinden wird, möchte ich zu diesem Thema inhaltlich das bestätigen, was Herr Lannoye gesagt hat.	With a view to the vote, which will probably take place on Thursday, I should like to confirm the substance of what Mr Lannoye said on this issue.
Es gibt Entschließungen des Parlaments, in denen wir uns sehr entschlossen zum Klonen geäußert haben.	There are Parliament resolutions in which we have made our views on cloning very clear.
Das galt auch für therapeutisches Klonen!	That was also true of therapeutic cloning!
Es wird jetzt so getan, als wäre das, was die britische Regierung vorschlägt, etwas völlig Neues.	People are acting now as though the proposals put forward by the British Government were something entirely new.
In Wirklichkeit haben wir dies schon diskutiert, und das Parlament war immer dagegen.	In actual fact we have already discussed this and Parliament has always been opposed to it.
Die Abstimmungen waren immer kontrovers.	The votes were always controversial.
Diejenigen, die jetzt die Debatte und eine Entschließung verhindern wollen, standen immer für eine liberale Haltung.	Those who now want to prevent the debate and a resolution have always represented a liberal standpoint.
Das Parlament hat aber mehrheitlich immer streng beschlossen.	But a majority of Parliament has always adopted an uncompromising position.
Es wäre nicht sehr konsequent, wenn wir jetzt, da das Thema aktuell ist, nicht zu unseren früheren Beschlüssen stünden.	It would not be very consistent if now - since the issue is topical - we were not to stand by our earlier statements.
