Herr Präsident! Für die Erweiterung muss es nach Nizza einen klaren Fahrplan geben.	Mr President, we must have a clear timetable for enlargement post-Nice.
Die Fraktion der Grünen und Regionalisten plädiert dafür, dass die Verhandlungen mit der ersten Gruppe von Ländern Ende 2002 abgeschlossen werden, damit die ersten Beitritte vor der nächsten Europawahl 2004 stattfinden können.	The group of the Greens/European Free Alliance is calling for negotiations with the first group of countries to be completed by the end of 2002, so that the first accessions can take place before the next European elections in 2004.
Ich muss ganz ehrlich sagen, ich bin etwas verwundert, Herr Verheugen.	I must say, in all honesty, that I am rather astonished, Mr Verheugen.
War es denn nicht Ihr Vorschlag, nach Nizza auf der Grundlage der Fortschrittsberichte klare Fahrpläne mit Zwischen- und Zieldaten zu nennen, damit die Reformen in den Ländern eben nicht verzögert, sondern angespornt werden?	Was it not your suggestion to set clear timetables with interim and target dates after Nice on the basis of the progress reports, in order to motivate rather than delay reforms?
Wir wissen das ja selbst von der Währungsunion, wie wichtig das war.	We know ourselves from monetary union how important that was.
Es gibt noch einen anderen Grund.	There is another reason.
Gemeinsame Umweltstandards und Sozialregeln sind nur durchsetzbar, wenn es eine volle Mitgliedschaft dieser Länder gibt.	Common environmental standards and social rules can only be implemented if these countries are full members.
Wir wissen das von Temelin.	We know that from Temelin.
Es steht für mich außer Frage, dass diesbezüglich zusätzliche Mittel von 2002 aus der Kategorie 8 im Rahmen der Heranführungsstrategie dafür eingesetzt werden müssen.	As far as I am concerned, it is out of the question to have to use additional resources from category 8 from 2002 as part of the pre-accession strategy here.
Herr Verheugen, meiner Ansicht nach ist es eine Illusion, dass allein durch die Liberalisierung des Handels die Agrarproduktion modernisiert und die ländliche Entwicklung gestärkt werden kann.	Mr Verheugen, in my view it is pie in the sky to believe that the liberalisation of trade alone can modernise agricultural production and strengthen rural development.
Dazu braucht es wahrlich weitaus andere Maßnahmen, die im Rahmen von SAPARD noch viel stärker finanziell fokussiert und verbessert werden müssen.	In truth, it needs far more measures, which should be much more financially focussed and improved under the SAPARD regulation.
