Herr Präsident! Ich will ein paar Worte zu dem Beitrag von Joost Lagendijk sagen.	Mr President, I would like to respond to what Mr Lagendijk has said.
Auch wir sehen selbstverständlich die positive diplomatische Rolle der Türkei in Bezug auf Armenien, in Bezug auf den Mittleren Osten.	We too of course see the positive diplomatic role Turkey can play in relation to Armenia and in relation to the Middle East.
Aber die Diplomatie ist das eine, und die Demokratie ist das andere.	However, diplomacy and democracy are two different things.
Das Vorgehen von Premierminister Erdogan gegen die Verlagsgruppe von Ahmed Doğan macht uns wirklich große Sorgen.	We are particularly concerned by Prime Minister Erdoğan's action against Ahmed Doğan's publishing group.
Sogar der "Spiegel", der weder mit Doğan noch mit Springer irgendetwas zu tun hat, schreibt von einem privaten Rachefeldzug von Erdogan gegen Doğan.	Even Der Spiegel, which has nothing to do with either Doğan or Springer, writes of Erdoğan's private vendetta against Doğan.
Ich habe eben schon den Fortschrittsbericht der Kommission erwähnt.	I have already mentioned the Commission's progress report.
Ich würde diese Frage an die Kommission gerne noch einmal präzisieren.	Once again I would like to ask the Commission a specific question.
Ist die Kommission mehr oder weniger besorgt über Meinungs- und Pressefreiheit in der Türkei als zum Zeitpunkt der Veröffentlichung des Fortschrittsberichts?	Is the Commission more or less concerned about freedom of opinion and of the press in Turkey than it was at the time the progress report was published?
Wenn nein, warum ist sie nicht mehr besorgt?	If no, why is it no longer concerned?
Wenn ja, welche konkreten Maßnahmen beabsichtigt die Kommission zu ergreifen?	If yes, what specific measures does the Commission intend to take?
Welche Bedeutung hat das Thema Presse- und Meinungsfreiheit für die laufenden Beitrittsverhandlungen?	How important is the subject of freedom of the press and of opinion in relation to the ongoing accession negotiations?
Wie gesagt, wir sind hier im Kern der Debatte beim ersten Kopenhagener Kriterium, dem politischen.	As I said, this is after all about the first Copenhagen criterion, the political criterion.
