. – Herr Präsident!	.
Herr Kommissar! Ihre Antwort hat sehr, sehr viele Fragen offen gelassen und neue Fragen aufgeworfen.	Mr President, Commissioner, your response leaves a great many questions unanswered and raises new ones.
Ich kann Ihnen sagen, dass die Bürgerinnen und Bürger in der Europäischen Union mit dieser Regelung sehr unglücklich sind und dass es viele Menschen gibt, die sagen, sie wollen nicht mehr in die Staaten fliegen, weil sie sich nicht gerne wie Verbrecher behandeln lassen.	I can tell you that the European public is far from happy with this regulation, and that there are a great many people who say that they no longer wish to fly to the United States because they do not enjoy being treated like criminals.
Das muss man zur Kenntnis nehmen, das ist eine Meinung, die sich mittlerweile bei den Bürgerinnen und Bürgern verbreitet hat.	Such views are now widespread among the public, and cannot therefore be ignored.
Zu Ihren konkreten Antworten einige Nachfragen.	I should like to ask a number of questions following on from the answers you provided.
Sie haben gesagt, dass jetzt nach einem Jahr ein Überblick entstehen soll und dann das Parlament unterrichtet wird.	You said that a review is now to be carried out after one year, and that Parliament will be informed of its outcome.
Muss ich daraus entnehmen, dass Sie uns derzeit nicht sagen können, was in der Zwischenzeit mit den Daten geschieht, die jetzt, in diesem Jahr gespeichert werden?	Am I to assume that you cannot yet tell us what will happen in the meantime with data that is being retained this year?
Muss ich daraus entnehmen, dass Sie uns keine Informationen geben können oder wollen, wie es derzeit mit der Speicherung, der Verwendung und Filterung dieser Daten aussieht?	Am I to assume that you cannot provide us with any information on the way in which this data is currently retained, used and filtered, or that you do not wish to do so?
Herr Kommissar, das ist ein großes Problem in der Kommunikation mit den Bürgerinnen und Bürgern.	I should like to inform the Commissioner that this presents us with a major problem in terms of communication with the public.
Für mich erhebt sich hier schon die Frage, wie mit dem Problem des Datenschutzes, auf den Europäerinnen und Europäer viel Wert legen, umgegangen wird.	This leads me to ask what approach is being taken to the issue of data protection, as this is something by which the European public sets great store.
Herr Kommissar, seien Sie offener zu diesem Parlament, die Menschen wollen Informationen!	What people want is information, Commissioner, and you should therefore be more open in your dealings with this House.
