Herr Präsident, wo Tauben sind, fliegen Tauben zu.	Mr President, birds of a feather flock together.
An dieses Rezept hält sich auch die Wirtschaft bei ihrer Standortplanung.	This is the principle that businesses apply when they choose their locations.
Sie präferiert jene zentralen Lagen, wo bereits die größere Wirtschaftsmacht konzentriert ist, und dann spüren Arbeitnehmer, Bildungseinrichtungen und Infrastruktur den Sog des bereits bestehenden.	They prefer those central positions where the bulk of economic power is already concentrated, and then employees, educational establishments and infrastructure investment are drawn into these existing centres.
Dann haben wir die goldene Banane, den Sunbelt und die peripheren Lagen und damit jenes Szenario, wo wir eine gegensteuernde Regionalpolitik brauchen, damit nicht alles in die Ballungsräume geht und die Peripherie menschenleer wird.	Then we have phenomena like the Golden Arc or the Sunbelt on the one hand and the peripheral areas on the other, a scenario which calls for a regional policy to counteract this magnetism and prevent mass migration from the periphery to the main population centres.
Besonders gut gegensteuern läßt sich mit bestimmten Qualitäten.	There are some especially effective ways of doing this.
Mit Forschung und technologischer Entwicklung können Initialzündungen dafür gelegt werden, daß sich eben nicht nur Know-how, sondern auch Arbeitsplätze anders als nur in der Zentrale und in den Ballungsräumen entwickeln.	Research and technological development can be used to establish footholds in the hinterland, so that not only know-how but also employment can develop outside the economic heartland and the main population centres.
Das stellen in überzeugender Weise die Mitteilung der Kommission und der Bericht unseres Kollegen de Lassus dar.	This policy is convincingly presented by the communication from the Commission and by Mr de Lassus's report.
In diesem Sinn würde ich mir nur eines wünschen, nämlich daß beides - sowohl die Mitteilung als auch der Bericht - nicht nur so überzeugend klingen, sondern auch in die Realität umgesetzt werden können.	My one wish is that the convincing words of both the communication and the report can be turned into action.
Ein besonders wichtiges Anliegen ist mir dabei die Ziffer 15 im Bericht, wo von der interregionalen und grenzüberschreitenden Zusammenarbeit gesprochen wird, weil es besonders in diesen Räumen notwendig ist, Initialzündungen zu setzen.	One of my main interests relates to paragraph 15 of the report, which speaks of interregional and cross-border cooperation, because it is especially important to break new ground in these areas.
Wir haben heute am Abend bereits im Bericht Pack über die Bildungskooperation im Zusammenhang mit SOKRATES gesprochen und haben uns erfreut darüber gezeigt, daß gerade auch in diesem Raum und für diese Räume verstärkte Zusammenarbeit im Ausbildungsbereich mit Mitteln der Europäischen Union möglich gemacht wurde.	Already this evening we have spoken about educational cooperation in connection with the Socrates programme when we discussed the Pack report, and we expressed our gratification at the fact that European Union funds had paved the way for closer cooperation in the field of education in precisely those areas.
Ich hoffe und wünsche uns allen und vor allem den betroffenen Regionen an den Außengrenzen der Union, dort, wo wir mit INTERREG gegensteuern wollen, daß das, was die Kommissionsmitteilung und der Bericht de Lassus uns allen versprechen, in den betroffenen Regionen wahr wird, damit Tauben auch dorthin fliegen, wo noch keine Tauben sind.	I hope and wish for all of us, and particularly for the regions at the external frontiers of the Union where Interreg is trying to reverse the manpower drain, that the promises made to us in the Commission communication and the de Lassus report will be fulfilled in those regions, so that some birds will start flocking to places where none of their feather have gone before.
