Für uns Grüne ist die Osterweiterung das aktuelle politische Ziel der Europäischen Union.	We in the Green Group see eastward enlargement as the current political goal of the European Union.
Ihr kommt eine enorme historische Bedeutung zu.	Enormous historical importance attaches to it.
Sie könnte zur wichtigen Voraussetzung für ein friedliches und demokratisches Europa werden.	It could become one of the main prerequisites of a peaceful and democratic Europe.
Die Aussicht auf einen baldigen Beitritt ist vor allen Dingen im Osten mit großer Hoffnung verbunden.	The countries of eastern Europe in particular entertain high hopes of early accession.
Gerade deshalb ist es unfair und verantwortungslos gegenüber diesen Ländern, mit jedem Staatsbesuch die Hoffnung auf einen möglichen, schnellen Beitritt zu nähren, gleichzeitig aber eine Beitrittsstrategie zu entwickeln, die einer zügigen Erweiterung entgegensteht.	For that reason it is unfair and irresponsible towards those countries to nurture their hopes of possible speedy accession on the occasion of every state visit while at the same time developing an accession strategy that is not conducive to rapid enlargement.
Es sind eben nicht nur die mittel- und osteuropäischen Länder, die sich auf das Zusammengehen mit der Europäischen Union vorbereiten müssen.	After all, it is not only the countries of central and eastern Europe that have to prepare to move in step with the European Union.
Es wäre falsch, die eigenen Strukturprobleme der Europäischen Union mit einer östlichen Markterweiterung lösen zu wollen.	It would be wrong to try and solve the European Union's own structural problems by extending its market eastwards.
Wie können diese Länder ihre Wirtschaft denn ökologisch und sozial entwickeln, wenn die sogenannten Beitrittsbedingungen auf einen exportorientierten Entwicklungsweg ausgerichtet sind?	How are these countries to develop the ecological and social aspects of their economies if the so-called conditions of accession are based on an export-orientated development process?
Sie lösen weder die sozialen noch die demokratischen Konflikte in diesen Ländern.	This would resolve neither the social nor the democratic conflicts in those countries.
Die Anpassung dieser Länder an die Grundsätze der Gemeinsamen Agrarpolitik ist ein Schritt in die falsche Richtung.	Expecting the countries of central and eastern Europe to embrace the principles of the common agricultural policy is a step in the wrong direction.
Folgen sie dieser Politik, dann wird es enorme Arbeitsplatzprobleme geben!	If they pursue such a policy, they will be faced with a huge employment crisis.
Auf diese Arbeitsplatzprobleme sind diese Länder weder vorbereitet, noch finden sie einen Ausweg.	Those countries are neither prepared for such a crisis nor able to overcome it.
Die Europäische Union ist gezwungen, sich mit einer Umstrukturierung der Struktur- und Agrarpolitik auf diese Erweiterung vorzubereiten.	The European Union has no option but to prepare for this enlargement by reforming its structural and agricultural policies.
Nur durch eine solche Reform ist es möglich, in unserer Agrarpolitik wegzugehen von Exportorientierung hin zu integrierter ländlicher Entwicklung und hin zu einer gemeinsamen Agrarpolitik, die den ökonomischen und sozialen Zusammenhalt auch für die neuen Mitgliedsländer sicherstellen wird.	Such reform is essential if we are to shift our agricultural policy from export-orientation to integrated rural development and to a common agricultural policy that will guarantee economic and social cohesion for all Member States, including new ones.
Ich halte es auch für falsch, eine gemeinsame Sicherheitspolitik ohne präventive Ansätze und ohne OSZE entwickeln zu wollen.	I also believe it is wrong to seek to develop a common security policy without preventive mechanisms and without the OSCE.
Hier ist der Oostlander-Bericht mit einem großen Mangel behaftet.	This is a major flaw in the Oostlander report.
