Frau Präsidentin! Ich möchte der Kollegin Morin-Chartier Recht geben.	Madam President, I would like to agree with Mrs Morin-Chartier.
Wir dürfen nicht vergessen, dass wir in dieser Frage mit dem EuGH einhergehen, der in dieser Frage ganz klar die Sicherheit auf den Straßen in den Vordergrund gestellt hat, und dass es sich um eine existierende Richtlinie zu Arbeits- und Ruhezeiten handelt.	We must not forget that we are dealing with the European Court of Justice in this matter, which has made it quite clear that priority must be given to road safety and that this concerns an existing directive on working hours and rest times.
Wollen wir eine gemeinsame europäische Regelung zur Sicherheit im Straßenverkehr plötzlich in Frage stellen?	Do we want to suddenly call into question a common European regulation on road safety?
Warum eigentlich?	Why would we do that?
Das wäre absurd und nicht zu vermitteln.	It would be absurd and incomprehensible.
Wenn die Selbständigen hier wieder ausgenommen würden, könnten sie neben 56 Stunden Fahrzeiten noch 28 Stunden be- und entladen.	If self-employed workers were to be excluded from this directive again, then, in addition to their 56 hours of driving time, they would also be able to spend 28 hours loading and unloading.
Das bedeutet: Sie werden zur rollenden Gefahr auf den Straßen!	As a result, they would become a menace on the roads.
Ich möchte solchen Kraftfahrern auf den Straßen Europas nicht begegnen!	I certainly would not like to encounter such drivers on the roads of Europe.
Es kann nicht sein, dass wir hier plötzlich Wettbewerbsverzerrung auf Kosten unserer gemeinsamen Gesundheit befürworten.	How can we suddenly start promoting the distortion of competition at the expense of our common health?
Das ist den Bürgerinnen und Bürgern überhaupt nicht zu vermitteln.	How could we explain that to our citizens?
Deswegen sage ich Ihnen: Lehnen Sie den Kommissionsvorschlag ab!	That is why I urge you to reject the Commission proposal.
