im Namen der Verts/ALE-Fraktion. - Herr Präsident! In dieser Debatte geht es kreuz und quer.	on behalf of the Verts/ALE Group. - Mr President, this debate criss-crosses the Directives.
Frau Kuneva, Sie verwechseln die Produktsicherheitsrichtlinie mit der Spielzeugsicherheitsrichtlinie!	Commissioner, you are confusing the Product Safety Directive with the Toy Safety Directive!
Bei der Produktrichtlinie haben wir in der Tat ein Umsetzungsproblem, während wir bei der Spielzeugrichtlinie ein Defizit in der Gesetzgebung haben.	We do in fact have an implementation problem with the Product Directive, whereas we have a legislative deficit with the Toy Safety Directive.
Da hilft uns mehr Kontrolle nicht, denn wir haben Lücken in der Sicherheit, nämlich dass beispielsweise gefährliche Chemikalien nicht verboten sind.	Greater supervision does not help us here because we have safety loopholes, namely that dangerous chemicals, for example, are not banned.
Vor zwei Monaten hat uns Kommissar Verheugen garantiert, dass in diesem Monat die Spielzeugrichtlinie vorgelegt wird.	Two months ago Commissioner Verheugen guaranteed that the Toy Safety Directive would be presented this month.
Er hat gesagt, bleihaltiges Spielzeug darf nicht auf den europäischen Markt gelangen.	He said that toys containing lead should not be entering the European market.
Im ersten Fall sehen wir jetzt, die Revision der Spielzeugrichtlinie liegt nicht vor.	In the first case there is no sign of the review of the Toy Safety Directive.
Im zweiten Fall hat Herr Verheugen mir gegenüber schriftlich eingeräumt, dass er falsch lag, als er gesagt hat, das mit dem Blei ist in Europa verboten.	In the second case, Commissioner Verheugen has admitted to me in writing that he was wrong when he said that toys containing lead were banned in Europe.
Auch das stimmt nicht.	This is not right either.
Sie verwechseln die Produktsicherheitsrichtlinie und die Spielzeugrichtlinie.	You are confusing the Product Safety Directive and the Toy Safety Directive.
Es ist doch geradezu abenteuerlich, wenn Sie sagen, wir brauchen einen Strichcode für besonders gefährliche Produkte.	It is therefore very odd when you say we need a bar code for particularly dangerous products.
Das meinen Sie doch hoffentlich nicht bei den Spielzeugen!	Hopefully you do not mean that for toys!
Gefährliche Produkte haben in Kinderhänden nichts verloren!	Dangerous products have lost nothing in children's hands!
Wir brauchen das Vorsorgeprinzip.	We need the principle of prevention.
Da reicht uns auch nicht ein Warnhinweis auf Magneten.	Nor are there any warning messages here about magnets.
Was ist mit den Warnhinweisen auf Spielzeug, das krebserregende Stoffe enthält?	What about warnings on toys that contain carcinogenic substances?
Wir haben in Europa die polyaromatischen Kohlenwasserstoffe.	In Europe we have polyaromatic hydrocarbons.
In Autoreifen werden wir sie verbieten, aber in Spielzeug sind sie zugelassen, obwohl es krebserregende Stoffe sind.	We shall be banning them in car tyres, but they are permitted in toys even though these are carcinogenic substances.
Das ist eine absurde Debatte, die wir hier führen, weil es bei Ihnen kreuz und quer geht mit den beiden Richtlinien.	This debate is absurd because you are criss-crossing both Directives.
Bitte konzentrieren Sie sich in Ihrer zweiten Antwort auf die Spielzeugrichtlinie und beantworten Sie die Fragen, wann endlich diese Richtlinie vorgelegt werden soll und wann endlich - wie wir es in unserer Resolution vorgeschlagen haben - die Gesetzeslücken gefüllt werden, und bitte verwechseln Sie nicht dauernd beides.	Please concentrate in your second answer on the Toy Safety Directive and answer the questions on when this Directive is finally to be submitted and when - as we proposed in our resolution - the legal loopholes are to be filled, and please do not continue to mix them both up.
Kontrolle ist gut, Gesetze sind besser.	Supervision is good; laws are better.
