Herr Präsident, Frau Kommissarin Schreyer, sehr geehrter Herr Präsident Karlsson!	chair of the Committee on Budgetary Control.
Heute legen Sie dem Europäischen Parlament als Präsident des Hofes zusammen mit den jetzt noch amtierenden Hofmitgliedern Ihren Jahresbericht vor, und zwar zum letzten Mal, denn Sie werden ausscheiden, ebenso wie eine Reihe von Hofmitgliedern.	Mr President, Commissioner, Mr Karlsson, today you are presenting your annual report as President of the Court of Auditors, together with those Members of the Court still in office.
Ich möchte diese Gelegenheit nutzen, Ihnen persönlich und den scheidenden Hofmitgliedern in meiner Person, aber auch im Namen des Haushaltskontrollausschusses ganz herzlichen Dank zu sagen für Jahre der guten und effektiven Zusammenarbeit und des Vertrauens zueinander unter Ihrer Präsidentschaft, aber auch unter der Präsidentschaft von Herrn Professor Friedmann vorher, der ja auch ausscheidet.	This is the last time you will present the report, as you are leaving office, as are a number of other Members of the Court. I would like to take this opportunity to thank you and the retiring Members of the Court both personally and on behalf of the Committee on Budgetary Control for the years of excellent and effective cooperation and mutual trust under your presidency, and also under the previous presidency of Professor Friedmann, who is also retiring.
Bisweilen gab es unterschiedliche Sichtweisen, aber ich glaube, wir haben doch immer wieder zu einer guten Zusammenarbeit gefunden, und wir haben vor allem Kontrollarbeit geleistet, die letzten Endes dem Steuerzahler zugute kommt.	There have occasionally been differences of opinion, but I believe that we have always managed to cooperate well, and we have, above all, performed a control function that has ultimately benefited the taxpayer.
Also nochmals herzlichen Dank.	So once again, many thanks.
Der heutige Rechnungshofbericht zeigt uns ja auch, dass wir wieder ein Stück weiterkommen.	The Annual Report of the Court before us today also demonstrates that we have made some further progress.
Ich will nur ein paar Punkte herausgreifen.	I only want to highlight a couple of points.
Das auffälligste Merkmal ist der hohe Überschuss an Eigenmitteln: 11,6 Milliarden Euro - mehr als 14 % des Haushalts - sind übrig geblieben.	The most striking point is the large surplus of own resources: EUR 11.6 million or over 14% of the budget has not been spent.
Sicher, die Finanzminister freuen sich. Sie müssen dann im nächsten Jahr weniger in die Kassen der EU einzahlen, aber wir im Haushaltskontrollausschuss fragen uns doch besorgt: Welche von den Zielen, die wir uns gesetzt haben, sind denn nicht erreicht worden?	The finance ministers are, of course, delighted, as this means that they will have to pay less to the EU next year, but we in the Committee on Budgetary Control are concerned to know which of the objectives that we have set ourselves have not been achieved.
Ich glaube, die Kommission ist gut beraten, wenn sie - in diesem Jahr werden ja auch wieder Überschüsse zusammenkommen, wie ich der Presse entnehmen konnte - hier rechtzeitig mit Berichtigungs- und Nachtragshaushalten arbeitet, um das Geld, das ja da ist, um Ziele zu erreichen, auch wirklich auszugeben.	I believe that the Commission would be well advised - and I understand from the press that there will be surpluses again this year - to get to work on supplementary and rectifying budgets so that the money available is really spent on achieving objectives.
Die Komplexität und Schwerfälligkeit der Rechtsvorschriften und damit auch eine Fülle von Kontrollen sind ebenso eine Besorgnis für das Parlament wie für den Rechnungshof, und, wie Frau Schreyer eben gesagt hat, für die Kommission.	The complex and cumbersome nature of the legal framework and the extent of the controls therefore involved are also a matter of concern both for the Parliament and for the Court of Auditors, and, as Commissioner Schreyer has just said, for the Commission too.
Hier müssen wir ganz dringend an Vereinfachung arbeiten, damit die Bürger auch an die Fördergelder herankommen und nicht sagen: "Es ist so kompliziert.	We need to work to simplify things as a matter of urgency, so that the public can also obtain funding, rather than say, 'It is so complicated.
Ich will gar kein Geld von der Europäischen Union haben. "	I do not want any money from the European Union' .
Kontrollen nicht im Übermaß, aber effektiv und zu guten Resultaten führend und präventiv wirkend.	Controls need to be proportionate but also to be effective, to lead to positive outcomes and to have a preventive effect.
Als Letztes die Zuverlässigkeitserklärung, die DAS.	My last point is the positive statement of assurance, the SOA.
Wer nach konkreten Zahlen oder nach Prozentsätzen über die Fehlerrate bei den Zahlungen sucht, sucht vergebens.	Anyone looking for concrete figures or percentages in relation to payments will be disappointed.
Es wurde vom Hof wieder keine konkrete Zahl genannt.	Once again, the Court has not mentioned any concrete figures.
Wir hatten als Parlament eigentlich darauf gedrungen.	This House had actually pressed for that.
Nun will der Hof eine verfeinerte Methode zur Erstellung dieser Zuverlässigkeitserklärung vorlegen.	The Court now wants to bring forward a refined method of producing this positive statement of assurance.
Wir sind gerne bereit mitzuarbeiten, aber wir müssen auch sehen und dies analysieren: Wo liegen die Fehler bei den Mitgliedstaaten und wo liegen sie bei der Kommission?	We are more than happy to cooperate on this, but we also have to look and analyse where errors are due to the Member States and where they are the Commission's responsibility.
Sie hat letztendlich die Verantwortung. Diese Verantwortung muss sie wahrnehmen.	The Commission is ultimately responsible, and it must accept this responsibility.
Ich danke noch einmal, Herr Präsident Karlsson, für eine sehr gute Zusammenarbeit, und ich wünsche allen scheidenden Mitgliedern und Ihnen persönlich alles Gute für die Zukunft!	I would like to thank you once again, Mr Karlsson, for your excellent cooperation, and I would like to wish all the retiring Members and you personally all the best for the future.
