- Herr Präsident! Wir Grünen begrüßen diesen Bericht außerordentlich.	Mr President, we Greens especially welcome the report.
Es ist ein hervorragender Bericht, und er erklärt ganz eindeutig die Rolle und die Aufgaben der nationalen Parlamente, die in der Legitimation und Kontrolle der nationalen Regierungen liegen, wenn diese im Rat als Gesetzgeber tätig werden, im Bereich der Regierungszusammenarbeit, wo diese Kontrolle in keiner Weise ausreichend funktioniert, aber auch in der Einbeziehung der nationalen Parlamente in die konstitutionelle Entwicklung Europas, Stichwort "Konvent" .	It is an excellent report, explaining without ambiguity the national parliaments' tasks and role in the area of legitimising and monitoring national governments' legislative activities in the Council, in intergovernmental cooperation, where this monitoring function is not at all adequate, but also in the involvement of the national parliaments in the development of a European constitution, summed up in the word 'Convention' .
Interessant ist in diesem Zusammenhang, wie diese Frage immer wieder auf die Agenda kommt. Es besteht nämlich kein Konflikt zwischen Europäischem Parlament und nationalen Parlamenten und keine Unklarheit über ihre Aufgabe.	It is interesting to note, in this context, how this issue keeps appearing on the agenda, for there is no conflict between Parliament and national parliaments, nor is their task unclear.
Mir fällt auf, dass dieser Konflikt immer dann in die Welt gesetzt wird, wenn der Rat und die nationalen Regierungen sich gegen den Anspruch des Europäischen Parlaments wehren wollen, ein volles, entwickeltes Parlament zu werden.	It occurs to me that this conflict is always engendered when the Council and the national governments want to resist Parliament's claim that it should become a fully-developed legislature.
Dann wird der Eindruck suggeriert, als würde Parlamentarismus auf europäischer Ebene zu Lasten der nationalen Parlamente gehen.	It is then that the impression is conveyed that parliamentary democracy at European level would be to the detriment of the national parliaments.
Es ist ein falsches, aber es ist ein systematisches Argument, eine echte Täuschung.	It is a false argument, but a systematic one and a deception in the true sense of the word.
Mit diesem Unfrieden zwischen den Parlamenten soll die Machtposition des Rates erhalten werden.	This discord between the parliaments is intended to maintain the Council's position of power.
Parlamentarismus in Europa ist aber unteilbar.	Parliamentarianism in Europe is, however, indivisible.
Das Bekenntnis zur parlamentarischen Demokratie bezieht sich auch auf die europäische Ebene.	The commitment to parliamentary democracy is made at the European level.
Mit großem Misstrauen sollte dieses Parlament daher gewisse Vorankündigungen des designierten Präsidenten des Konvents hier ernst nehmen, der seit Wochen über die Presse und nicht im direkten Kontakt, und ohne noch vom Konvent bestätigt zu sein, Vorstellungen über diese verfassunggebende Versammlung äußert, die wenig mit dem zu tun haben, was dieses Parlament verlangt, und wenig mit der Entwicklung einer europäischen Demokratie und eines europäischen Parlamentarismus.	Parliament should therefore give a serious but wary reception to certain announcements made in advance by the Convention's president-designate, who has for weeks, via the press rather than by direct contact, and without yet being confirmed in office by the Convention, been giving voice to ideas about this constituent assembly which bear little relation to what Parliament demands or to the development of European democracy and parliamentarianism.
Ich appelliere sehr an dieses Haus dazu beizutragen, dass dieser Konvent ein Arbeitskonvent, ein parlamentarischer Konvent, ein öffentlicher Konvent wird und nicht, wie bisher, eine Legitimationskulisse des Rates.	I strongly appeal to this House to play its part in making the Convention a working, parliamentary and public convention and not, as it has been to date, a legitimising façade for the Council.
