Vor der letzten Abstimmung, bei der es immer unruhig ist, möchte ich noch etwas sagen: Dies ist die letzte Plenarsitzung, an der unser Generalsekretär Harald Rømer teilnimmt.	Before the last vote, which is always unruly, I would like to say something. This is the last plenary sitting in which our Secretary-General, Harald Rømer, will participate.
Ich habe ihm in Ihrem Namen bei dem Empfang vorgestern in ausführlicher Form den Dank des Europäischen Parlaments ausgesprochen.	I expressed the thanks of the European Parliament at length on your behalf at the reception two days ago.
Ich möchte das abschließend auch hier im Plenum tun: Herzlichen Dank, Harald Rømer, für den jahrzehntelangen Dienst für das Europäische Parlament!	I would also like to do that here in plenary by way of conclusion: thank you very much Harald Rømer for your service to the European Parliament, which spans several decades.
(Lebhafter Beifall)	(Loud applause)
(Zurufe)	(Protests)
Wer 36 Jahre für das Europäische Parlament gearbeitet hat, hat sich um das Europäische Parlament verdient gemacht.	Anyone who has worked for the European Parliament for 36 years deserves well of the European Parliament.
Herzlichen Dank, Harald Rømer!	Our warmest thanks, Harald Rømer.
(Zurufe)	(Protests)
Denjenigen, die jetzt dazwischenrufen, möchte ich nur sagen: Ich hätte mir gewünscht, dass Ihre Eltern es nicht erleben, wie Sie sich hier aufführen!	To those who are heckling now, I would like to say that I hope that your parents do not discover how you are behaving here.
(Beifall)	(Applause)
