Frau Präsidentin!	Madam President.
Lieber Kommissar, ich finde, Sie fühlen sich heute nicht gut in Ihrer Haut, und ich denke, ich weiß auch warum.	I think you feel uneasy here today, Commissioner, and I think I know why.
Weil nämlich die Kommission hier einen Standpunkt vertritt, der eher ein Industrielobbystandpunkt ist als ein Standpunkt, der den Konsumentenschutz und den Umweltschutz in Europa vereinfacht.	The reason is the Commission is taking a position which is more an industry lobby position than one which simplifies consumer protection and environmental protection in Europe.
Ich habe die labelling-Gesetzgebungen über die letzten fünfzehn Jahre verfolgt.	I have followed labelling legislation for the last 15 years.
Was steht in der labelling-Richtlinie von Anfang der 90er Jahre?	What is in the labelling directive from the beginning of the 1990s?
Dass A bis G regelmäßig auf den neuesten Stand gebracht werden, damit in der A-Kategorie immer nur die Besten sind.	It states that A to G should be regularly updated in line with the state of the art, so that only the best are in the A category.
Was hat die Industrie gemacht?	What has industry done?
Sie hat Ende der 90er Jahre das updating verhindert.	It obstructed the updating at the end of the 1990s.
Anfang 2000 waren dann mehr als 50 % aller Geräte in der Kategorie A. Dann sind sie mit dem Trick von A+ und A++ gekommen.	Consequently, at the beginning of 2000 more than 50% of all appliances were in category A. Then they came up with the gimmick of A+ and A++.
Und jetzt kommen sie mit dem Trick von A-20, A-40, A-60.	Now they have come up with the gimmick of A-20, A-40 and A-60.
Herr Reul steht immer auf der Seite der Industrielobby.	Mr Reul is always on the side of the industry lobby.
Deshalb wundert es mich nicht, dass er das auch verteidigt.	I am therefore hardly surprised that he is defending this.
Aber Herr Kommissar, bitte!	Come on Commissioner, please!
A bis G ist einfach zu verstehen.	A to G is easy to understand.
Was hier abläuft, ist fünfzehn Jahre unverschämtes Lobbying von verschiedenen Industriekreisen, um das europäische Kennzeichnungssystem auszuhöhlen.	Fifteen years of shameless lobbying by various industry circles to undermine the European labelling system, that is what is going on here.
Und morgen müssen wir als Parlament diesem Spuk ein Ende setzen!	Tomorrow, we, Parliament, must put an end to this terrible episode.
