Herr Präsident! Ich befinde mich gewissermaßen in einem Geschäftsordnungsnotstand!	Mr President, I am in something of a crisis as far as the Rules of Procedure are concerned.
Es geht hier um Stimmerklärungen.	We are dealing here with explanations of vote.
Draußen haben wir die schriftlichen Erklärungen.	We now have written explanations of vote.
Sie sollen dazu dienen, dass das Parlament nicht mit allem befasst werden muss.	They are used to ensure that Parliament does not have to deal with everything.
Jetzt liegt draußen die Erklärung 5/2003.	We now come to Explanation 5/2003.
Dort heißt es im englischen Text crimes, im deutschen Text Verbrechen.	In the English version, there is a reference to 'crimes', while the German version has 'Verbrechen'.
Im deutschen Text ist ein Verbrechen eine Straftat, die mit mindestens einem Jahr bestraft wird.	In the German text a Verbrechen is an offence (Straftat) carrying a penalty of at least one year's imprisonment.
Das wäre mir zu stark, deshalb habe ich eine Unterschrift geleistet und dazugeschrieben: 'Ich leiste meine Unterschrift unter der Voraussetzung, dass die richtige Übersetzung Straftat wäre'.	I believe this to be too strong a term, and therefore when I signed I added, 'I sign this subject to the reservation that the correct translation would be Straftat'.
Im Dänischen gibt es das gleiche Problem: Forbrydelser heißt auch Verbrechen.	The same problem occurs in Danish: Forbrydelser also means Verbrechen.
Ich bitte Sie, einmal die Frage an den Geschäftsordnungsausschuss weiterzuleiten, wie in einem solchen Fall verfahren wird?	I would ask you to pass on the question to the Committee on the Rules of Procedure as to how we should proceed in such a case.
Der Dolmetscher war verzweifelt und hat gesagt, 260 Leute hätten schon unterschrieben, er könne jetzt nicht die deutsche und die dänische Sprachfassung austauschen.	The interpreter was in despair and said that 260 people had already signed and he could not now replace the German and Danish language versions.
Ich möchte jedenfalls auch für das Amtsblatt zu Protokoll geben, dass meine Unterschrift nicht für Verbrechen gegeben worden ist, sondern für die korrekte Übersetzung des englischen Wortes crime mit Straftat, was Verbrechen und Vergehen umfasst!	In any case I should like to make it quite clear for the Minutes that my signature was not given for Verbrechen, but for the correct translation of the English word 'crime', which is Straftat, a term that includes both Verbrechen and Vergehen.
