. Herr Präsident, meine lieben Kollegen!	.
Immer wenn sich vernünftige Menschen so aufregen, da muss was darunter sein. Sonst würden sie sich nicht aufregen.	Mr President, ladies and gentlemen, whenever sensible people get so worked up, there has to be something behind it, or else they would not do it.
Vielleicht können wir noch mal ein paar Dinge feststellen: Bis jetzt haben wir die Europäische Union nicht erweitert, sondern wir haben sie vereint.	There are a couple of things of which we can perhaps remind ourselves. Up to now, we have not enlarged the European Union; we have united it.
In der ersten wirklichen Debatte um die Erweiterung geht es um die Türkei. Denn niemand sagt, der Beitritt Polens – wie Sie auch immer abstimmen – oder der Beitritt Tschechiens oder der Beitritt Ungarns ist eine Erweiterung der europäischen Idee – dies war eine Pflicht, und es ist auch richtig gewesen, nach dem Zusammenbruch des Kommunismus diese Länder aufzunehmen.	The Turkey debate is the first real debate on enlargement, for nobody – irrespective of how they are voting – is describing the accession of Poland, the Czech Republic or Hungary as an enlargement of the European idea; they were a matter of obligation, for it was right and proper to welcome these countries after the collapse of Communism.
Und nun haben wir in der Tat eine neue Dimension.	What we are now dealing with really is a new dimension.
Es geht um die Erweiterung.	This is about enlargement.
Da kann man sich so oder so entscheiden, es ist eine neue Dimension.	No matter which way we decide, this is a new dimension.
Jetzt hältst du mal die Klappe!	Just shut up, will you?
Ja, es geht jetzt um eine neue Dimension, und die Dimension heißt: Ist es nach dem 11. September aus europäischen Interessen wichtig, der Türkei eine Chance zum Beitritt zu geben?	We do indeed have a new dimension to deal with, and the question with which it presents us is this: is it, post-9/11, important in terms of Europe’s interests to give Turkey the chance of accession?
Diese Frage kann man unterschiedlich beantworten, aber man muss sie auf der Ebene der Interessen der Europäischen Union, der Interessen der Menschen in Europa beantworten und nicht auf der Ebene emotionaler, kultureller, rassistischer Ressentiments.	That question can be answered in different ways, but it must be answered by reference to the interests of the European Union, the interests of the people of Europe, rather than on the basis of emotional, cultural, or racist resentments.
Das geht nicht, das wollen wir nicht!	That is not acceptable and we do not want it!
Wenn du das nicht bist, wenn du dich nicht gemeint fühlst, dann bist du auch nicht gemeint.	If you are not, if you do not think I mean you, then I do not.
Dann ist Herr de Villiers gemeint.	In that case, I mean Mr de Villiers.
Hör doch mal auf, immer alles auf dich zu beziehen!	Stop thinking that everything refers to you!
Du bist nicht das Zentrum der Welt!	You are not the centre of the universe!
In Europa wird im Moment mit Gefühlen gegenüber der Türkei argumentiert, die rassistische Ressentiments gegen den Islam sind.	At present, the arguments used in Europe against Turkey rely on feelings, on racist resentments directed against Islam.
Nicht alle, die gegen die Türkei sind, haben diese Argumente. Aber auf diesen Gefühlen wird gesurft.	Not all those who are against Turkey use these arguments, but they ride the wave of these sentiments.
So muss sich jeder Gegner die Frage stellen: Was löst er mit seinem Argument aus? Deswegen finde ich z. B. die Argumentation, Europa müsse sich erst verändern, Europa müsse seine Hausaufgaben machen, Europa brauche eine Verfassung, richtig, und das leugnet niemand.	It follows that all those in the ‘no’ camp must ask themselves what their arguments unleash, and it is for that reason that I think it right to argue that Europe needs to change first, that Europe has to do its homework, and that Europe needs a constitution; these are things with which nobody disagrees.
So, wie Europa heute ist, kann sich Europa nicht erweitern.	Europe cannot enlarge itself the way it is now.
Ob sich Europa unter den Bedingungen von Nizza mit Kroatien weiter vereinen kann, daran habe ich auch meine Zweifel.	As to whether Europe can, subject to the conditions in the Treaty of Nice, make itself more united by including Croatia, I too have my doubts.
Dies ist eine legitime Debatte.	That is a legitimate debate.
Aber die andere Debatte, ob Europa ein Land, das mehrheitlich aus Muslimen besteht, aufnehmen kann oder nicht, ist eine unsinnige Debatte.	The other debate, though – the debate about whether Europe can absorb a country whose population is predominantly Muslim – is nonsensical.
Wir haben heutzutage in Europa mehr Muslime, als es Belgier gibt.	Today, in Europe, there are more Muslims than there are Belgians.
Die haben wir schon aufgenommen.	They are already included among us.
Die Frage eines europäischen Islam stellt sich mit der Türkei oder ohne sie. Hören wir doch auf, dies zu diskutieren!	The question of how European Islam is will arise with Turkey or without it, so let us stop discussing it.
Es ist die drittgrößte Religion hier in Europa. Ob das mir als Atheist gefällt oder nicht, das ist eine andere Frage.	Islam is the third-largest religion in Europe; whether I, as an atheist, find that to my liking is another matter.
Deswegen wird in dieser Auseinandersetzung am Ende einzig und allein stehen: Ist die Türkei in zehn Jahren ein demokratischer Staat, ein säkulärer Staat, ist der Islam ein europäischer Islam, und ist diese Türkei dann bereit, mit uns Europäern um die Werte, die wir in einer Verfassung definieren, mitzukämpfen?	It is for that reason that the only question to be asked at the end of this debate is what Turkey will be like in ten years’ time. Will it be a democratic state, a secular state?
Wenn ja, sage ich: willkommen!	Is Islam European? Will this same Turkey be prepared to join with us Europeans in contending for the values that we enshrine in a constitution?
Wenn nein, müssen wir uns etwas anderes überlegen.	If the answer to those questions is in the affirmative, then I will bid it welcome; if not, then we will have to think up something else.
