Herr Präsident, Frau Kommissarin, meine sehr geehrten Damen und Herren!	Mr President, Commissioner, firstly I would like to thank the rapporteur for his work.
Ich möchte zunächst einmal dem Berichterstatter für seine Arbeit danken. Die vorliegende Empfehlung für die zweite Lesung ist ein sehr wichtiger Gesetzgebungsakt für die Umwelt, aber auch für die Wirtschaft in der Europäischen Union.	The recommendation for second reading before us is an extremely important legislative resolution, not just for the environment but also for the economy of the European Union.
Wir sehen das an den vielen Briefen, die wir von Umweltverbänden, aber auch aus dem Bereich der Wirtschaft bekommen, allen voran natürlich der Zementindustrie, aber auch von vielen anderen, wie der holzverarbeitenden Industrie, der Papierindustrie, der metallverarbeitenden Industrie usw. Ich denke, wir sollten beide Argumente als wichtig ansehen: diejenigen der Umweltverbände, aber auch diejenigen von Industrieseite, weil auch die Industrie nicht nur wirtschaftspolitisch argumentiert hat, sondern durchaus auch umweltpolitisch.	This can be seen from the many letters which we receive from environmental associations and from the economic sector, not least of course the cement industry, but also many others such as the wood-processing industry, the paper industry, the metalworking industry and so on. I think that we must regard both sets of arguments as important, those of the environmental associations and also those of industry, because industry has also put forward arguments from a genuinely environmental viewpoint and not just from an economic viewpoint.
Das sollten wir ernst nehmen.	We should treat this seriously.
Nicht alle Änderungsanträge, die vielleicht im Sinne der Umwelt gut gemeint sind, sind unterm Strich auch eine Verbesserung der jetzigen Situation.	Not all amendments which are probably well intentioned from the environmental viewpoint are necessarily an improvement on the current situation.
Ich denke, das kann man an einigen Änderungsanträgen deutlich machen, die im Bereich der Mitverbrennung im Ausschuß vorgelegt wurden und die auch jetzt wieder vorliegen als Anträge für das Plenum.	I think this can be seen from some of the amendments which were put forward in committee with regard to coincineration and which now reappear as amendments in plenary.
Wenn man die Mitverbrennung begrenzt, dann ist dadurch ja doch nicht gewährleistet, daß im Grunde das erreicht wird, was wir umweltpolitisch wollen.	We cannot in any way guarantee that in restricting coincineration we will actually achieve what we want environmentally.
Wir wollen ja vor allem auch eine Einsparung der fossilen Brennstoffe.	Above all we want to save fossil fuels.
Wenn man hier einfach die Hürden falsch ansetzt, werden wir auch umweltpolitisch nicht das richtige Ziel erreichen.	If we set up the hurdles wrong here, then we will not achieve the right environmental objective.
Deswegen lehnt unsere Fraktion die Änderungsanträge, die von Herrn Blokland, den Grünen und anderen neu eingereicht wurden, ab.	For this reason, our Group rejects the amendments which have been resubmitted by Mr Blokland, the Greens and others.
Aber ich denke, es gibt schon einige Änderungsanträge, die im Ausschuß beschlossen wurden, die man guten Gewissens mittragen kann, um den Gemeinsamen Standpunkt zu verbessern.	However, I think that there are still some amendments decided on in committee which we can support in good conscience in order to improve the common position.
Ich habe beispielsweise im Ausschuß für Umweltfragen, Volksgesundheit und Verbraucherpolitik einen Antrag eingereicht bezogen auf NOX bei der Mitverbrennung, die zumindest für Neuanlagen etwas ambitionierter sind als die Vorstellungen des Rates.	For example, I tabled a motion in the Committee on the Environment, Public Health and Consumer Policy relating to NOx emitted during coincineration which, at least for new installations, is somewhat more ambitious than the Council' s proposals.
Ich glaube, das ist realistisch, und hinter vorgehaltener Hand sagt das auch die betroffene Industrie. Deshalb sollten wir hier durchaus etwas offensiver sein.	I think it is realistic and, as the industry in question is saying the same, albeit with its hand in front of its mouth, we should be altogether more positive.
Also ich glaube, wir sind auf der richtigen Linie, wenn wir vieles von dem, was im Ausschuß beschlossen wurde, akzeptieren, aber auf keinen Fall etwas, was darüber hinausgeht.	I think, therefore, that we are on the right track in accepting much of what has been decided in the committee, but certainly nothing which goes any further.
