Herr Präsident! Der Bevölkerung sind die Gesundheit und gesunde Lebensmittel das Wichtigste.	Mr President, for the public, health and healthy food are the top priority.
Aber wie kann ich denn als Konsument wissen, ob ein Lebensmittel gesund ist?	But how am I as a consumer to know if a particular food is healthy?
Anschauen allein genügt nicht!	Just looking certainly is not enough.
Ein Apfel, der wurmstichig ist, kann weitaus gesünder sein als ein glänzender, wunderschöner runder Apfel.	An apple with wormholes in it can be far healthier than a shiny, beautifully round apple.
Die Landwirtschaft, nicht nur in Österreich, bekennt sich zu den Grundsätzen der Lebensmittelsicherheit, Rückverfolgbarkeit und Hygiene.	The agricultural sector - and this does not just apply to Austria - professes to observe the principles of food safety, traceability and hygiene.
Für mich ist diese Diskussion ein Anlass, mich für die kleinen bäuerlichen Betriebe einzusetzen, denn immer sind es ja die großen, die industrialisierten Betriebe, die überhaupt nichts mehr mit bäuerlichen Betrieben zu tun haben, bei denen die Skandale stattfinden.	For me, this debate is an opportunity to champion the cause of small farms, because it is always in the big, industrialised concerns, which really have very little in common with farms, that scandals occur.
Natürlich sind die Kleinen dem Futtermittelhersteller oder auch dem Arzt ausgeliefert, der ihnen irgendwelche Hormone oder welche Arzneimittel auch immer verschreibt.	Nevertheless, small farms are still at the mercy of animal feed producers and vets who can prescribe all sorts of hormones and other drugs.
Eines können wir sagen: Die Kontrollen haben versagt!	One thing is certain: the controls have not worked.
Man kann es jetzt natürlich drehen und wenden, wie man will, und man kann sagen: 'Ja, machen wir halt noch strengere Regeln.'	You can, of course, turn things round however you want and say, yes, we just need even stricter rules.
Nur - wenn wir schon die derzeit bestehenden Regeln nicht kontrollieren, wie werden wir es dann mit den noch strengeren Regeln machen?	But if we are not even enforcing the existing rules, how are we going to cope with even stricter ones?
Es hilft überhaupt nichts.	It will not help at all.
Welche Gesetze wir auch immer machen, sie werden Papiertiger bleiben, wenn wir ihre Einhaltung nicht kontrollieren.	Whatever legislation we enact will remain a paper tiger if we do not enforce it.
Die Kontrolle der Kontrolleure wäre meiner Ansicht nach schon Aufgabe der Kommission.	As I see it, controlling the enforcers should be a job for the Commission.
Da kann man sich nicht einfach davonstehlen.	You cannot just turn your back on this problem.
Billige Lebensmittel mögen gut sein für die nächsten Wahlen, sie sind nicht gut für die Gesundheit der Bevölkerung, und ich glaube, die Bevölkerung versteht das auch.	Cheap food may be good for winning the next election, but it is not good for public health, and I think the public knows that too.
Ich möchte noch einmal betonen, strenge Auflagen und eine umfangreiche Dokumentation der Kontrolle sind sicher wichtig für große Betriebe.	I would like to stress once more that strict rules and regulations and comprehensive documentation of controls are certainly important for big companies.
Es wird nur sinnlos, wenn man kleine bäuerliche Familienbetriebe damit schikanieren will.	But it would be pointless to harass small family farms with this.
Ganz konkret: Für Kleinstverarbeitungsunternehmen gilt mehr Information und mehr Motivation und weniger Bürokratie und weniger Dokumentation.	To be quite specific, very small food-processing companies need more information and motivation and less bureaucracy and documentation.
Es ist unbestritten, dass die Verhinderung von Lebensmittelkrisen nicht nur für die Zukunft der Bauern, sondern für die Zukunft der Gesundheit der europäischen Bevölkerung ganz, ganz wichtig ist.	There is no denying that not only is preventing food crises extremely important for the future of farmers, it is also highly important for the future of public health in the European Union.
Die geeigneten Mittel, sehr verehrter Herr Kommissar, haben wir dazu noch nicht gefunden.	I believe, Commissioner, that we have not yet found the right way of achieving this.
