Herr Präsident! Im Parlament herrscht große Einheit in dieser Frage, und das ist gut so.	Mr President, as is only right, Parliament is largely united on this issue.
Das Problem liegt wohl eher auf Seiten des Rates. Und ich hoffe nur, dass es nicht so geht wie vor vielen Jahren, als die damalige Kommissarin Scrivener ein ähnliches Paket vorgelegt und der Rat am Schluss dann nein gesagt hat.	No doubt, any problems are on the Council's side, and I only hope that we do not have a repeat of what happened many years ago when Mrs Scrivener, who was a Commissioner at the time, submitted a similar package and the Council ended up rejecting it.
Ich hoffe, es geht diesmal besser aus.	I hope there will be a better outcome this time.
Es ist zu Recht von einer Reihe von Rednern gesagt worden, dass es billigere Möglichkeiten gibt, um CO2 zu vermeiden. Und dem kann man wohl kaum widersprechen.	A number of speakers have rightly pointed out that there are cheaper ways of making CO2 avoidable, and there can hardly be any dispute about that.
Auf der anderen Seite bieten die Biokraftstoffe aber eine Reihe von Vorteilen, die man auch nicht unterschätzen sollte.	On the other hand, biofuels have a range of advantages to offer that should not be underestimated.
Die Energieabhängigkeit wird in dem Maße geringer, in dem wir Biokraftstoffe erzeugen.	As we produce biofuels, so our energy dependence will diminish.
Auf Seiten der Agrarpolitik bringen sie eine Entlastung, und ich glaube, dies ist ein Argument, das insbesondere durch die Erweiterung der Union um die Länder Osteuropas zählt; und zum Dritten - und das sage ich als jemand, der sich ein bisschen mit Technik beschäftigt - glaube ich, dass es auch so etwas wie einen Technologieschub geben wird, d. h. es werden neue Verfahren, neue Techniken entwickelt, und die Unternehmen können sich in der Sicherheit wiegen, dass sie auf Jahre hinaus unterstützt werden, wenn sie sich mit Biokraftstoffen beschäftigen, und das ist gut so.	I believe that the burden they will lift from agricultural policy is an argument that will carry particular weight in consequence of the addition of the countries of Eastern Europe to the enlarged EU. I speak as someone who has had a certain amount to do with technology when I say, thirdly, that I believe it will give technology a certain boost, in that new processes and techniques will be developed, and businesses can rest secure in the knowledge that they will be supported throughout the years that they are working on biofuels, as is only right and proper.
Ich möchte aber noch auf zwei Dinge aufmerksam machen, die in der Folge dieser Richtlinie sicher kommen werden, und die vielleicht nicht für jeden angenehm sind, wie ich auch schon im Ausschuss gesagt habe.	I want, though, to draw attention to two things that this directive will certainly bring in its wake, and which - as I have already said in committee - will not be to everyone's liking.
Natürlich wird zum einen die Biokraftstoffrichtlinie auch bei den Biologen den Wunsch und die Anstrengungen steigern, nachwachsende Rohstoffe zu schaffen, die ökoverträglicher und effizienter sind.	The biofuels directive will of course increase biologists' desire to create more efficient renewable raw materials with a low environmental impact, and step up their efforts at doing so.
Das sollte man nicht vergessen.	That should not be forgotten.
Zum anderen müssen wir auch Biokraftstoffe importieren, d. h. für Länder wie Brasilien, Argentinien und auch die USA bietet sich damit Europa als ein neuer Markt an, und wir sollten darauf achten, dass wir nicht nur einen Markt für andere schaffen, sondern auch einen Markt für uns selbst.	We will also have to import biofuels, which means that Europe will become a new market for countries such as Brazil, Argentina and the USA, and we should be careful not just to create a market for others, but also a market for ourselves.
