Herr Präsident!	.
Die liberale Fraktion würdigt die Fortschritte in den Anstrengungen Bulgariens und Rumäniens auf dem Weg in die Europäische Union.	Mr President, the Liberal Group is appreciative of the progress that Bulgaria and Romania have made in their efforts to draw closer to the European Union.
Wir unterstützen beide Länder weiterhin auf diesem Weg, beobachten aber auch sehr genau, wie beide Länder ihrer Verantwortung als Kandidaten nachkommen.	We shall continue to support both countries as they progress along this road, while also observing very closely the manner in which they discharge their responsibilities as candidates.
Beide Länder müssen – das hat meine Fraktion immer wieder betont – auf der Grundlage ihrer eigenen Leistungsfähigkeit und unabhängig voneinander bewertet werden.	As my group has repeatedly emphasised, both countries must be judged on the basis of their own performance and independently of one another.
Der nächste Fortschrittsbericht der Kommission zu den beiden Ländern wird im Frühjahr vorgelegt werden. Dies wird – der Kollege Millán Mon hat das erwähnt – in einem veränderten Klima stattfinden, denn die Union befindet sich in einer Verfassungskrise.	The Commission will be producing its next progress report on the two countries early next year, and, as Mr Millán Mon has remarked, it will be doing so in a changed climate, one brought about by the constitutional crisis in which the EU finds itself.
Die Debatte darüber wird Mitte 2006 geführt werden.	The debate on this will be held in mid-2006.
Umso wichtiger sind die Anstrengungen beider Länder jetzt auf der Schlussgerade, so effektiv und leistungsfähig wie möglich zu werden, denn die Europäische Union braucht solche Mitglieder.	That makes all the more important the two countries’ efforts, now that they are on the final straight, to become as efficient as possible and to perform as well as possible, for those are the sort of Member States that the European Union needs.
Es geht dabei auch um die Aufnahmefähigkeit der Union selbst und damit auch um die Zukunft der Erweiterungspolitik.	There is also the issue to the EU’s capacity to absorb new members and, associated with it, that of the future of enlargement policy.
Die Debatte im Rat über Mazedonien ist übrigens symptomatisch für dieses veränderte Klima.	It is worthy of note that the debate in the Council on Macedonia is a symptom of this changed climate.
Lassen Sie mich noch einige Worte speziell zu Bulgarien sagen: Wir haben ein ausgewogenes Dokument von Herrn Van Orden vorliegen, das die Anstrengungen der bulgarischen Regierung würdigt. Es weist auf die Wirtschaftsdynamik mit durchschnittlichen Wachstumsraten von 4 % hin, sagt aber auch sehr deutlich, wo Bulgarien noch Fortschritte erzielen muss.	Let me just say a few things with specific reference to Bulgaria. Here we have a balanced document from Mr Van Orden, which gives the Bulgarian Government credit for its efforts and, while highlighting the country’s economic dynamism and average 4% growth rates, spells out in clear terms where Bulgaria still needs to make progress.
Ein wichtiger Teil des Textes aus dem Ausschuss für auswärtige Angelegenheiten: Hochrangige Beamte in Bulgarien werden darin aufgefordert, sich öffentlich von jeder Form von Korruption zu distanzieren und die Schaffung von Vorschriften zur Offenlegung ihrer Finanzen und Einkommen zu unterstützen.	One important aspect of the text from the Committee on Foreign Affairs is that it calls on high-ranking civil servants in Bulgaria to make public their renunciation of every kind of corruption and to support the enactment of regulations to disclose their incomes and financial arrangements.
Dies würde zu mehr Transparenz führen und das Vertrauen erhöhen.	This would make for greater transparency and enhance trust in them.
Die liberale Fraktion möchte, dass Rumänien und Bulgarien 2007 Mitglieder der EU werden.	The Liberal Group would like to see Romania and Bulgaria become Member States of the EU in 2007.
Im Übrigen bin ich der Meinung, dass wir diese Debatte in Brüssel und nicht in Straßburg führen sollten.	I might add that I believe that we should be conducting this debate in Brussels rather than in Strasbourg.
