Herr Präsident, Frau Kommissarin! "Die Milch macht's", und heute ist sie hier in aller Munde.	Mr President, Commissioner, 'milk is good for you' and today everyone is talking about it.
Die Milch ist der älteste energy drink der Welt, ein besonders wichtiges Produkt, und es ist gut, dass wir heute darüber debattieren.	Milk is the oldest energy drink in the world, it is a particularly important product, and it is good that we are debating it today.
Das so genannte Minimilchpaket, bestehend aus drei Vorlagen, ist nur ein - wenn auch ein sehr wichtiger - Mosaikstein im Zuge der weiteren Vereinfachung der EU-Gesetzgebung in der Landwirtschaft, und im Grundsatz sind Reform- und Vereinfachungsvorhaben der Kommission in diesem Zusammenhang auch sehr zu begrüßen.	What we call the mini milk package, made up of three documents, is only one, albeit very important, building block in the further simplification of EU legislation in agriculture, and in principle the Commission's reform and simplification measures in this connection are most welcome.
Wie wir wissen, ist die Reform der Gemeinsamen Agrarpolitik ein langfristiger, ein stetiger Prozess, und das vorgelegte Mini-Milchpaket ist ein Schritt in die richtige Reformrichtung.	As we know, reforming the Common Agricultural Policy is a long-term, continuous process and the proposed mini milk package is a step in the right reform direction.
Allerdings, Rom ist nicht an einem Tag erbaut worden.	Rome was not built in a day, however.
Das wissen Sie, Frau Kommissarin, am besten.	The Commissioner knows that better than anyone.
Lassen Sie mich auf einen politisch wichtigen Aspekt eingehen, wie das einige Kollegen hier schon getan haben: die Schulmilch.	I would like to address an important political aspect that some colleagues have already discussed: school milk.
Hier hat der Ausschuss für Landwirtschaft und ländliche Entwicklung gefordert, dass es eine Aufstockung von 16,11 auf 18,11 Euro pro 100 kg gibt.	Here the Committee on Agriculture and Rural Development has called for an increase from EUR 16.11 to EUR 18.11 per 100 kg.
Diese gesunde Nachbesserung ist richtig, wir haben sie zu Recht verlangt.	That is a sensible correction and we were right to call for it.
Vielleicht, Frau Kommissarin, könnte man ernsthaft über ein Schulobstprogramm nachdenken, darüber würde sich wahrscheinlich auch Ihr Kollege, Kommissar Kyprianou, freuen.	Perhaps we could now seriously consider a school fruit programme, which would probably also please the Commissioner's colleague, Mr Kyprianou.
Auch ist die Standardisierung des Eiweißgehalts in der Milch und Milchproduktion zu begrüßen, weil dies es den europäischen Produzenten ermöglicht, mit ihren Konkurrenten aus Drittstaaten in einen fairen Wettbewerb zu treten, denn Wettbewerb ist ein urliberales Anliegen.	I also welcome the standardisation of the protein content of milk and milk production because it allows European producers to enter into fair competition with their third-country competitors, given that competition is a basic liberal concern.
Gleichzeitig ist es richtig, wichtig und auch dringend notwendig, dass die Milcherzeuger und Molkereien ihre Kräfte noch stärker bündeln, um ihre Interessen im Markt noch besser durchzusetzen.	At the same time it is right, important and also urgently necessary for milk producers and dairies to pool their resources even more, so that it becomes even easier for them to assert their interests on the market.
Hier ist auch noch Arbeit vor Ort zu sehen.	A good deal of work on the ground is still required here too.
Lassen Sie mich eine Idee aus der Sicht des Verbrauchers mit Blick auf die Zukunft äußern.	Let me put forward an idea from the consumers' point of view, and looking towards the future.
Es gibt eine weltweit gestiegene Nachfrage nach Milch.	The demand for milk has risen worldwide.
Hier ist insbesondere im großen asiatischen Raum zu beobachten, dass es eine Änderung der Lebens- und Essgewohnheiten gibt, d. h. es gibt eine steigende Nachfrage, und die Preise steigen.	It is particularly clear that living and eating habits are changing in Asia as a whole, i.e. demand is rising and prices are rising.
Es ist traurig, dass die gestiegenen Preise vor allem dem Handel anzulasten sind.	It is a pity that the higher prices are attributable above all to trade.
Wir müssen aber auch ehrlich zu den Bürgern sein.	Yet we must also be honest with our citizens.
Die gestiegenen Preise sagen zum Teil ja auch die ökologische Wahrheit.	To some extent the higher prices tell the environmental truth.
Wenn etwa ein Liter Milch heute billiger ist als ein Liter Wasser, so ist das nicht mehr nachvollziehbar.	For instance, it is not comprehensible that a litre of milk now costs less than a litre of water.
Butter ist heute billiger als vor 20 Jahren.	Butter is cheaper now than it was 20 years ago.
Wir müssen den Bürgern schon sagen, dass es da natürlich auch Nachbesserungen gibt.	We certainly must tell the citizens that there are of course also some improvements.
Aber das Geld sollte im Sektor bleiben und nicht in den Handel gehen.	The money should remain in the sector, however, and not go to trade.
Ein Wort zur Quote.	A word on the quota.
Offensichtlich gibt es die Quote ja noch einige Zeit.	Evidently we will still have the quota for some time.
Das ist hier debattiert worden, es sind auch die Gründe genannt worden, warum es diese Quote gibt.	That has been debated here and the reasons for having that quota have been given.
Allerdings ist ein Auslaufen der derzeitigen Milchquote im März 2015 erforderlich. Nicht nur für deutsche Landwirte, die von der steigenden globalen Nachfrage nach Milch und Milchprodukten dadurch auch profitieren könnten.	Yet the current milk quota must expire in March 2015, and not just for German farmers who could then profit from the rising global demand for milk and products.
Die Äußerungen, Frau Kommissarin, die Sie gemacht haben, als Sie laut darüber nachdachten, die Quote sogar zu erhöhen, die könnten auch dahingehend gedeutet werden, dass es eine Abschaffung braucht.	What the Commissioner said when she was thinking out loud of considering actually raising the quota could be taken to mean it needs removing.
Da sollten wir ehrlich sein und diese Abschaffung auch wollen.	We should be honest here and call for its removal.
Ich danke Frau Jeggle für ihren insgesamt sehr guten Bericht.	I thank Mrs Jeggle for what was, on the whole, a very good report.
Ihnen, Frau Kommissarin, wünsche ich weiterhin alles Gute auf dem Weg zu weiteren Reformen der Landwirtschaftspolitik.	I wish the Commissioner all the best on the way to further reforms of the agricultural policy.
