Frau Präsidentin, Berlin war die Reise wert, das haben wir heute auch mehrmals gehört.	Madam President, Berlin was worth the journey, as we have heard here today several times.
Aber es wird noch viel Arbeit brauchen, damit die Zielvorgaben des Europäischen Rates von Berlin vor Ort wirken.	But it will take a lot more work before the objectives set out by the Berlin European Council have an impact on the ground.
Beim wichtigen Zukunftsthema "Erweiterung" , das zu Recht hier und heute immer wieder angesprochen wurde, trifft das im besonderen zu.	That applies in particular to the important issue for the future, 'enlargement', which has rightly been addressed repeatedly here today.
Nicht voreinander fürchten, sondern aufeinander zugehen lautet hier die Parole.	The slogan here runs: rather than drawing away in fear we must move towards one another.
Die Kommission, der Rat und das Europäische Parlament haben in vorbildlichem Miteinander die Gemeinschaftsinitiative Interreg zu einem Signal für die Zusammenarbeit über die derzeitige Außengrenze hinweg gemacht.	In an exemplary joint effort, the Commission, the Council and the European Parliament have made the Interreg Community initiative stand as a signal for cooperation beyond the existing external border of the EU.
Vielen Dank, Frau Kommissarin!	Many thanks, Commissioner!
Jetzt muß dafür gesorgt werden, daß aus europäischen Rechtstexten und aus europäischen Fördergeldern konstruktive Kooperation der Menschen diesseits und jenseits der Unionsgrenze wird.	Now we must ensure that European legal texts and European aid money lead to constructive cooperation between the people on either side of the EU border.
In meinem Land, Österreich, aber auch in anderen Mitgliedstaaten an der Grenze zu den Kandidatenländern haben wir die Chance, mit konkreten Projekten die Idee des europäischen Miteinander in die Tat umzusetzen.	In my own country, Austria, as also in other Member States bordering on the applicant countries, we have an opportunity to turn the idea of European cooperation into reality with concrete projects.
Tun wir es!	Let us do so!
Eine derartige ganz konkrete Zusammenarbeit zwischen den europäischen Institutionen und den europäischen Bürgern gibt es in meinem Land derzeit auch bei einem anderen europäischen Thema, in der Frage der Flüchtlinge in und aus dem Kosovo.	We also have this kind of very concrete cooperation between the European institutions and the European people in my own country at present, on a different European issue, the question of the refugees in and from Kosovo.
In Österreich haben die Bürger selbst, tatkräftig unterstützt von den Medien, vom ORF und von den Zeitungen, in einer vorbildlichen Aktion "Nachbar in Not" ihr ganz persönliches europäisches Signal gesetzt.	In Austria the people themselves, vigorously supported by the media, by radio, TV and the press, have sent out their own very personal European signal in the form of an exemplary action called 'Neighbour in Need'.
In wenigen Tagen haben die Leute - und es waren in erster Linie die einfachen Menschen, die selbst immer wieder Probleme haben, mit ihrem Einkommen auszukommen - schon mehr als 100 Millionen Schilling gespendet.	In the space of a few days the people - first and foremost it is the ordinary people, who find it hard enough to live on their incomes as it is - have already donated more than 100 million Austrian schillings.
Das ist ein sichtbarer Beweis für jene europäische Solidarität, die wir, die politischen Funktionsträger in Europa, allzuoft nur formelhaft im Munde führen.	That is tangible proof of the European solidarity that we, the political office-holders in Europe, all too often call for in word alone.
Wir, der Rat und das Parlament als europäische Haushaltsbehörde, sollten uns dieses Verhalten zum Vorbild nehmen.	We, the Council and Parliament as the European budgetary authority, should take a leaf from their book.
Beifall	Applause
