Herr Präsident! Menschenrechte sind unteilbar.	Mr President, human rights are indivisible.
Die Zugehörigkeit zu einer Ethnie darf kein Grund für Diskriminierung sein, genauso wenig wie Hautfarbe, Geschlecht, Religion, sexuelle Präferenz und Ähnliches.	Membership of an ethnic group cannot be grounds for discrimination any more than skin colour, sex, religion, sexual preference or anything else.
Das ist eine wesentliche Errungenschaft unserer europäischen Rechtsgemeinschaft.	That is a fundamental achievement of our common system of European law.
Zum Selbstverständnis unserer europäischen Rechtsgemeinschaft gehört allerdings auch, dass wir die Gleichheit vor dem Gesetz ernst nehmen, und das heißt, dass wir für Fragen der sozialen Unterstützung, der Schulbildung, des Arbeitsmarktes, aber auch der Verbrechensbekämpfung allgemeine Gesetze haben und sie anwenden - ohne Diskriminierung.	However, part of the self-image and identity of this common system of law is that we take equality before the law seriously, and that means that we have general legislation on matters of social support, schooling, the labour market and fighting crime, and that we apply them - without discrimination.
Die Identitätsfeststellung ist Voraussetzung für viele dieser Politiken.	Determining a person's identity is a precondition for many of these policies.
Auf diese rechtliche Seite des so genannten Roma-Problems hat Kommissar Špidla zu Recht verwiesen.	Commissioner Špidla rightly referred to this legal aspect of what is sometimes called the 'Roma problem'.
Er hat auch gesagt, dass er nicht auf Zuruf der Presse agieren will, sondern von der italienischen Regierung Aufklärung verlangen wird.	He also said that he does not want to do whatever the press calls for, but instead require the Italian Government to provide clarification.
Das ist eine richtige Vorgangsweise.	That is the correct way to proceed.
Neben der rechtlichen Seite gibt es das menschliche Leid.	As well as the legal side to all this, there is the human suffering.
Viele Roma und dort wiederum viele Kinder leben in bitterer Armut, sind nicht integriert, haben wenig oder keine Chancen in unserer Gesellschaft.	Many Roma - and therefore many children - live in abject poverty, are not integrated and have little or no opportunity to get ahead in our society.
Hier ist Hilfe angebracht.	Help is indicated here.
In meiner Heimatstadt Graz haben wir seit Jahren eine intensive Diskussion um Bettelei von Roma und eine Diskussion mit den Roma, wie man aus dieser schwierigen Situation herauskommen kann oder zumindest das Beste daraus machen kann.	In my home city, Graz, vigorous discussion about Roma begging, and a discussion with the Roma about how people can escape from this difficult situation or at least make the best of it, have been ongoing for years.
Eine der Lösungen: Wir Grazer Bürger finanzieren Arbeitsplätze in der Slowakei, in den Herkunftsländern dieser Roma, und wir schaffen es auf diese Weise, zumindest sehr viele Kinder von der Bettelei, von der Straße wegzubringen.	One of the solutions is for the citizens of Graz to finance jobs in Slovakia, in the countries that these Roma come from: in this way at least many children are saved from begging and from the street.
Wir müssen mehr tun, wir werden mehr tun!	We have to do more - we shall do more!
Es gibt ein letztes Problem beim Bereich der Roma. Das betrifft uns.	There is one final problem concerning the Roma, and it relates to us.
Es gibt ein Problem der Politik.	It is a problem of politics.
Mit dem Thema, mit diesen Menschen und ihrem Leid, kann man Politik machen, populistische Politik vor Ort und - wie unsere Debatte hier heute auch zeigt - leider auch europäischen Populismus.	This topic, these people and their suffering is potentially the stuff of politics, populist politics on the ground and - as our debate here also shows - sadly also of European populism.
