Herr Präsident, Herr Kommissar Byrne! Der Volksmund sagt, Politik ist ein schmutziges Geschäft.	Mr President, Commissioner Byrne, there is a popular saying that politics is a dirty business.
Ist es nun um so schmutziger, wenn man sich mit so unappetitlichen Sachen beschäftigt wie Speiseresten und Schlachtabfällen?	Does it become even dirtier when politicians have to deal with such unsavoury matters as pigswill and abattoir waste?
Ist es nicht vielleicht konsequenter, wenn man sich damit nicht befasst und einfach sagt: Verbot!	Would it not perhaps be more consistent if we did not deal with these matters at all but simply proclaimed an outright ban?
Muss man also in einer bestimmten Weise korrumpiert sein oder bestochen, wenn man sich für vernünftige Lösungen einsetzt?	If we commit ourselves to the search for sensible solutions, does this necessarily make us somehow corrupt or venal?
All das ist ja in der letzten Zeit im Umlauf.	All sorts of inferences like these have been doing the rounds lately.
Ich meine nein.	I do not believe they have any substance.
Das Europäische Parlament hat Mut bewiesen.	The European Parliament has shown courage.
Ich möchte Frau Paulsen meine Referenz erweisen, dass sie hier so konsequent daran gearbeitet hat. Ich bedanke mich für die gute Zusammenarbeit.	I should like to pay tribute to Mrs Paulsen for her systematic work on this issue and for her close cooperation with our committee.
Als Berichterstatter des Ausschusses für Landwirtschaft und ländliche Entwicklung hatte ich die Aufgabe, die Interessen der Landwirtschaft einzubringen.	As draftsman of the opinion of the Committee on Agriculture and Rural Development, I have had the task of representing the interests of the farming community.
Das ist gut gelungen. Ich bedanke mich auch bei Ihnen, Kommissar Byrne, für die langen Gespräche und Auseinandersetzungen, die wir gehabt haben.	I believe we have successfully integrated their concerns into this common position. May I also thank you, Commissioner Byrne, for our long conversations and debates.
Ich denke, das war nicht schlecht, und es war fruchtbar.	They were no bad thing.
Nebenbei hat es auch noch ein bisschen Spaß gemacht!	They were fruitful and, besides, they were quite enjoyable too.
Hier handelt es sich eben um hochwertiges Eiweiß, und dieses soll verfüttert werden an nichtvegetarische Tiere.	Here we are looking specifically at high-quality protein which is to be fed to non-vegetarian animals.
Wir wollen sie nicht zu Zwangsvegetariern machen, genauso wenig wie wir aasfressende Vögel davon abbringen können, Aas zu fressen.	We do not intend to make vegetarians of them, any more than we can induce carrion-eating birds to stop eating carrion.
Das bedeutet ihren Tod.	It would be the death of them.
Von daher wollen wir auch bei den Speisen eine Regelung, die das, was hochwertig ist, wieder in den Kreislauf zurückführt.	Similarly, when it comes to human foodstuffs, we want a system that will recycle all the high-quality nutrients.
Wir können nicht auf Kosten der Hungernden der Welt eine Regelung beschließen, dass all das, was für uns nicht mehr gut genug ist, einfach vernichtet oder nicht mehr der Nutzung zugeführt wird.	We cannot adopt a set of rules at the expense of the hungry people in the world, whereby anything that is no longer good enough for us is simply destroyed or abandoned.
Die Speiseabfälle werden hier nicht geregelt, sondern es geht darum, dass die Kommission einen eigenen Legislativvorschlag vorlegt und dass wir dann in genau die selbe konsequente und akribische Behandlung eintreten, wie wir sie bei dem Tiermehl hatten.	We are not legislating on catering waste here; it is merely a matter of the Commission presenting its own legislative proposal, to which we accord the same systematic and meticulous treatment that we gave to meat and bone meal.
Ich verstehe die Position von einigen nicht, die sagen, Tiermehl kann man verfüttern, aber Speisereste nicht.	I do not understand the position of some people who are saying that meat and bone meal can be fed but catering waste cannot.
Dann gibt es natürlich wieder andere, die sagen, Speisereste kann man verfüttern, aber Tiermehl nicht.	Then there are others, of course, who are saying that catering waste can be fed but not meat and bone meal.
Es gibt ja beide Positionen.	So both positions exist.
Von daher habe ich den Vorschlag damals eingebracht.	That is why I tabled my proposal.
Frau Paulsen, Ihr Kompromissvorschlag ist in Ordnung.	Your compromise proposal, Mrs Paulsen, is fine.
Ich werde morgen einen mündlichen Änderungsantrag einbringen, wo ich meine Änderungsanträge, die inhaltlich in die gleiche Richtung gehen, in der Zeit anpasse, d. h., es geht um die Zeit vor Inkrafttreten dieser Verordnung.	Tomorrow I shall move an oral amendment in which I shall alter the time scale in my amendments, which are similar in substance to the compromise; this alteration relates to the time before the entry into force of the proposed regulation.
Dann sind sie meiner Meinung nach miteinander kompatibel, und wir können sie so verabschieden.	I believe the alteration will make the amendments compatible, and we can then adopt them as they stand.
Dann haben wir eine vernünftige Lösung.	We shall then have a sound solution.
Ich hoffe anschließend, Herr Byrne, auf Ihre Initiative, dass wir sie bald vorgelegt bekommen.	Thereafter, Mr Byrne, I hope that, on your initiative, we shall soon have the new version back here on the table.
Dann werden wir uns wieder auseinandersetzen, und wir werden auch wieder Spaß dabei haben.	Then we shall engage in some more of the good old cut and thrust, and we shall revel in it.
Politik ist kein schmutziges Geschäft, sondern sie macht sehr viel Spaß!	Politics is not a dirty business; it is actually a most enjoyable occupation!
