Herr Präsident, meine Damen und Herren! Zwei Binsenweisheiten zu Beginn.	Mr President, ladies and gentlemen, two old proverbs to start with.
Immer dann, wenn durch Umgehung von Gesetzen Geld zu verdienen ist, ist die Kriminalität nicht weit.	Whenever money is to be earned by circumventing the law, crime cannot be far away.
Zum anderen: Die Tatsache, daß UCLAF, die Betrugsbekämpfungseinheit der Europäischen Kommission, diesen kriminellen Machenschaften auf die Schliche gekommen ist, beweist, daß die Kontrolle funktioniert.	The other: the fact that UCLAF, the European Commission's fraud squad, has got onto the trail of these nefarious dealings shows that the controls are working.
Illegale Einfuhren aus China, eventuell auch aus Rußland, stehen in der mündlichen Anfrage im Vordergrund.	At the forefront of the oral question are illegal imports from China, and possibly also from Russia.
In Deutschland wurde gerade in diesen Tagen die illegale Einfuhr von 1.000 Tonnen FCKW von Großbritannien nach Deutschland aufgedeckt.	In Germany they have just uncovered the illegal import of 1, 000 tonnes of CFCs from Great Britain.
Außerdem gibt es Erkenntnisse, daß auch einige andere Länder in Mittel- und Osteuropa sich nicht an die bestehenden Abkommen zum Ausstieg aus der Produktion und Verwendung von FCKW halten. FCKW ist als Ozonkiller entlarvt.	There is also evidence that some other countries in eastern and central Europe are not obeying the current agreement on ending the production and use of CFCs, which have been identified as an ozone killer.
Vor zehn Jahren haben 24 Staaten und die Europäische Union das Montrealer Abkommen unterzeichnet. Ziel war und ist der stufenweise Ausstieg aus der Produktion von FCKW und der stufenweise Verzicht auf weitere Stoffe, die die Ozonschicht am stärksten schädigen.	Ten years ago 24 states and the European Union signed the Montreal Agreement, the aim of which was, and is, the phased cessation of CFC production and a phased renunciation of other agents which are most damaging to the ozone layer.
Seit 1996 ist FCKW in den Industrieländern verboten.	CFCs have been forbidden in industrial countries since 1996.
Trotzdem werden weltweit jährlich noch etwa 240.000 Tonnen im Jahr produziert.	Despite this, some 240, 000 tonnes are still produced worldwide every year.
Weltweit nimmt der Verbrauch pro Jahr immer noch um etwa 4 % zu, vornehmlich in den Entwicklungsländern.	Consumption still rises worldwide by about 4 %, mainly in the developing countries.
Auch hier in Europa kann bei bestehenden Anlagen, zum Beispiel Kondensatoren, noch nicht voll auf den Einsatz von FCKW verzichtet werden, und zwar nicht nur aus Kostengründen - der Ersatz all dieser Anlagen würde immense Summen verschlingen -, sondern auch aus Umweltgründen.	Even here in Europe CFCs have not been entirely abandoned in existing installations, for instance, condenser plant. This is not merely on grounds of cost - the replacement of all these installations would swallow enormous sums - but also for environmental reasons.
Es gibt weltweit nicht genügend Anlagen, um diese Altbestände an FCKW ohne Schäden für die Umwelt zu entsorgen.	There are insufficient plants across the world to remove these CFCs without causing environmental damage.
Zur Befriedigung dieses Ersatzbedarfs existiert das sogenannte Quotensystem, und im Entschließungsantrag, über den wir morgen abstimmen werden, werden wir dem Punkt 6 dieses Antrags nicht zustimmen können, weil hier ja gefragt wird, wo bleiben die Mengen, die nicht entsorgt werden können?	To satisfy the need for an alternative there is the so-called quota system, and in the resolution motion which we are voting on tomorrow we shall be unable to pass point 6, because here the question is raised about what is to happen to the quantities that cannot be removed.
Wir in Europa müssen nicht nur dafür sorgen, daß die bestehenden Gesetze und Verträge eingehalten und Verstöße streng bestraft werden, wir müssen auch alles daran setzen, die Entwicklungsländer und die Länder des ehemaligen Ostblocks zu einem früheren Verzicht auf den Einsatz von FCKW als bis zum Jahr 2010 - wie bisher vorgesehen - zu bewegen.	We in the European Union must not only see that the existing laws and treaties are obeyed, and that offenses are strictly penalized, but we must take every step to ensure that developing countries and those in the former Eastern Block are persuaded to forgo the use of CFCs earlier than hitherto foreseen - by the year 2010, in fact.
Dabei brauchen sie unsere finanzielle und technische Unterstützung.	For this they need our financial and technical support.
Wir müssen ebenfalls alles daransetzen, den Einsatz weiterer ozonschädigender Stoffe zu verringern.	We must likewise do all in our power to reduce the use of other ozoneharmful agents.
Dies ist vor allen Dingen Methylbromid, das immer noch zwei Drittel des Schädigungspotentials der FCKW enthält, und vor allem in Entwicklungsländern in der Landwirtschaft eingesetzt wird.	Methyl bromide, which has two thirds of the damaging potential of CFC, and is used mainly in developing countries in agriculture, is principal amongst these.
Dies gilt aber auch für die teilhalogenierten Fluorkohlenwasserstoffe, die HFCKW, die aber gerade als Ersatzstoffe für FCKW vermehrt weltweit eingesetzt werden, deren Schädigungspotential allerdings nur gut 20 % des Potentials von FCKW beträgt.	The same applies, though, to the partially-halogenated hydro-chloro-fluorocarbons, the HCFCs, which are being increasingly introduced throughout the world as replacements for CFCs, and whose damaging effect is only 20 % of the CFCs' potential.
Deshalb können wir auch beim Punkt 7 des Antrags nicht für die Einbeziehung das HFCKW stimmen.	For this reason we cannot vote under point 7 for inclusion of the HCFCs.
Das möchten wir heraushaben, weil es einfach gar nicht möglich ist.	We should like it removed, because it is simply impossible.
Weltweit gibt es Widerstände gegen einen früheren Ausstieg aus diesen Stoffen.	Throughout the world there is resistance to an earlier end to the use of these materials.
Die Europäische Union sollte hier, wie bereits beschlossen, mit gutem Beispiel vorangehen.	The European Union should, as already agreed, lead with a good example here.
