Herr Präsident, Herr Kommissar, meine sehr geehrten Damen und Herren!	Mr President, Commissioner, ladies and gentlemen.
Zuerst möchte ich mich ganz herzlich beim Herrn Kollegen Ebner für seinen Initiativbericht bedanken.	I should like to start by thanking Mr Ebner for his own initiative report.
Es ist ein Bericht, den ich aus vollem Herzen unterstützen kann.	This is a report which I can wholeheartedly support.
Angesichts der Tatsache, wie auch vom Kollegen Ebner schon angesprochen, dass rund 30% der Flächen in der EU Bergregionen sind und in manchen Mitgliedstaaten wie beispielsweise in Österreich der Anteil sogar 50% beträgt, begrüße und unterstütze ich diesen Initiativbericht.	Given that, as Mr Ebner has just said, mountain regions account for around 30% of the land area in the EU, while in many Member States, such as Austria, they account for as much as 50%, I welcome and support this own initiative report.
Die Bedeutung des Ökosystems der Gebirge ist ein kulturelles Erbe.	The importance of mountain ecosystems is a cultural heritage.
Die Erhaltung und die nachhaltige Bewirtschaftung der Ressourcen ist für viele Regionen Europas sehr wichtig.	The maintenance and sustainable management of resources is very important in numerous regions of Europe.
Der Schutz der Bergwelt, der Wälder, des Wassers, des ökologischen Gleichgewichts und die Artenvielfalt müssen in einem europäischen Gesamtkonzept thematisiert werden.	The protection of mountain regions, forests, water, the ecological balance and biodiversity needs to be set out in an overall European concept.
Eine Vielzahl von Gebirgen sind grenzübergreifend.	Many mountains straddle frontiers.
Viele Probleme können länderübergreifend und nur gemeinsam besser bewältigt werden.	Many problems can only be solved more efficiently by means of a cross-border approach and by joining forces.
Ich möchte in diesem Zusammenhang die multifunktionale Aufgabe der Land- und Forstwirtschaft in den Berggebieten betonen, die auch in einer erweiterten Union von größter Wichtigkeit sind.	I must stress that farming and forestry have a multifunctional role in mountain regions and that this will be hugely important in an enlarged Union.
Sowohl die Menschen, die in den Bergen leben, wie auch die Touristen, die jedes Jahr Urlaub und Erholung in der Bergwelt suchen, schätzen diese einzigartige Natur- und Kulturlandschaft. Daher müssen wir die geeigneten Anreize schaffen, dass die Menschen bereit sind, dort zu leben und zu arbeiten.	Both the people who live in the mountains and the tourists who visit every year looking for rest and relaxation value this unique natural and cultural landscape, which is why we must create appropriate incentives for people to live and work there.
Den ökologischen und sozioökonomischen Folgen einer Abwanderung und Entvölkerung muss vorgebeugt werden.	We must take precautions to prevent the ecological and socio-economic consequences of exodus and depopulation.
Die nachhaltige Bewirtschaftung durch die Bergbauern stellt nicht nur hochwertige Lebensmittel bereit, sondern stellt auch eine große Leistung für die Gesamtheit der Menschen dar.	Sustainable cultivation by mountain farmers not only provides quality food, it also renders a huge service to mankind as a whole.
Die Vereinten Nationen haben zu Recht das Jahr 2002 zum Jahr der Berge proklamiert.	The United Nations have rightly proclaimed 2002 as the International Year of Mountains.
Ich halte es für wichtig, dass Europa sich nun positioniert und die Kommission möglichst bald eine Mitteilung vorlegt, die auch eine wirklich klare Definition darlegt, bei der Kriterien wie beispielsweise Höhenmeter, Hangneigung, verkürzte Vegetation berücksichtigt werden, um wirklich auf die unterschiedlichen Probleme in Gesamteuropa einzugehen, und hier auch die entsprechenden Konzepte für Strategien und Fördermechanismen vorschlägt.	I think it is important for Europe to take a stance now and for the Commission to present a communication as quickly as possible, setting out a really clear definition, taking account of criteria such as altitude, gradient and the vegetation which has been cut down so that we can really address the various problems throughout Europe, and proposing appropriate concepts for strategies and development mechanisms.
