Vielen Dank, Herr Präsident!	Thank you, Mr President.
Menschenrechtsberichte des Europäischen Parlaments sind wichtige politische Stellungnahmen, nicht weil sie rechtlich bindend sind, sondern weil sie politische Aussagekraft haben und Rückschlüsse zulassen.	The reason why this House’s reports on human rights are important political statements is not that they are binding in law, but that they make a political impact and that conclusions can be drawn from them.
Vieles allerdings, und das ist die Schwäche dieses Berichts, ist nicht unbedingt den Menschenrechten zuzuordnen.	Much of what is in this report – and this is what is weak about it – cannot absolutely be described as having to do with human rights issues.
Lassen Sie mich einige Punkte aufgreifen.	Let me give a number of examples.
Kyoto ist ein wichtiges Anliegen von uns allen, aber es ist nicht unbedingt ein Menschenrecht.	We all regard Kyoto as an important issue, but it does not exactly have much to do with human rights.
Soziale Rechte sind wichtig. Sie gehören aber in eine andere Kategorie.	Social rights are important, but they belong in another category.
Sie sind kein Menschenrecht im klassischen Sinn.	They are not human rights in the traditional sense of the word.
Das Recht auf Abtreibung ist kein Menschenrecht, sondern verletzt Menschenrecht.	The right to an abortion is not a human right; it is a violation of a human right.
Darüber hinaus ist es nicht Sache der EU, in diesem Bereich irgendeinem Land Vorschriften zu machen. Dies unterliegt der Subsidiarität.	More to the point, it is not for the EU to tell any country what to do about it; the rule of subsidiarity applies.
Ich möchte mit einem Brecht-Zitat fortfahren.	Let me take this further by quoting Brecht.
Brecht hat in „Der aufhaltsame Aufstieg des Arturo Ui“ einmal gesagt: „Der Schoß ist fruchtbar noch, aus dem das kroch“.	In his ‘The resistible rise of Arturo Ui’, he wrote: ‘The womb he crawled from is still going strong’.
Er meint damit den Antisemitismus und Rassenhass, den Hitler im Dritten Reich gepredigt hat.	By that he meant the anti-Semitism and racial hatred preached by Hitler and the Third Reich.
Antisemitismus in Russland darf uns nicht gleichgültig lassen, besonders wenn er von einer politischen Schicht ausgeht.	We cannot be indifferent to anti-Semitism in Russia, particularly when it is propagated by the political class.
Wenn zwanzig Duma-Abgeordnete ein Verbot von jüdischen Organisationen in Russland fordern, so müssen wir dies aufgreifen. Ebenso müssen wir Verständnis dafür haben, dass Russland auch entsetzliche Kämpfe und Menschenrechtsverletzungen in Tschetschenien verursacht hat, und dass vieles, was uns entsetzt – in Beslan –, auch eine politische Ursache hat.	When 20 members of the State Duma call for Jewish organisations to be banned from Russia, we have to respond, and, likewise, we have to understand that Russia has also been behind the terrible fighting and violations of human rights in Chechnya, and that politics underlies much of what appals us in Beslan and elsewhere.
Selbstmordanschläge sind Mordanschläge. Dennoch sind sie auf der anderen Seite auch eine Reaktion auf politische Umstände und Ursachen.	While suicide bombings are indeed murder, they are also carried out in response to political circumstances and causes.
Wir können Menschenrechtsberichte, auch den des Europäischen Parlaments, nicht überfordern.	We must not expect too much of reports on human rights, even of those originating from this House.
Mit Menschenrechten allein lassen sich leider keine politischen Lösungen herbeiführen. Es bedarf eben dann der politischen Lösung.	It is an unfortunate fact that human rights alone will not bring about the political solutions that are needed.
Darüber hinaus darf nicht mit zweierlei Maß gemessen werden.	Not only that, but nor must we apply double standards.
Es geht nicht an, dass wir einem Land wie Kroatien die Verhandlungen mit der EU verwehren, weil es bedauerlicherweise einen mutmaßlichen Menschenrechtsverletzer, einen General, nicht aufgegriffen hat, auf der anderen Seite aber mit der Türkei Verhandlungen aufnehmen, die nach wie vor, wie viele Presseberichte bezeugen, bei der Umsetzung des politischen Kriteriums von Kopenhagen äußerst säumig ist.	It is not acceptable that we should refuse to allow a country like Croatia to enter negotiations with the EU because of its lamentable failure to arrest a general who is suspected of human rights violations, while at the same time opening negotiations with Turkey, which – as we can read in press reports – is continuing to be extremely dilatory about implementing the Copenhagen political criteria.
Ich will die türkische Regierung nicht verantwortlich dafür machen, was die Mehrheit in diesem Lande liest. Aber wenn das ausgerechnet Hitlers „Mein Kampf“ ist, muss einem das zu denken geben.	I do not want to hold the Turkish Government responsible for the country’s most popular reading matter turning out to be Hitler’s ‘Mein Kampf’ – of all things – but you do have to wonder what is going on.
