Herr Präsident! Es gibt Dinge, die immer wieder gesagt werden.	Mr President, some things are repeated again and again.
Zum Beispiel steht auch hier wieder, daß Atomkraft sicher ist und daß es sichere Endlagerungsstätten gibt.	For instance, it is said again here that nuclear energy is safe and that safe final storage sites do exists.
So oft diese Dinge gesagt werden, so oft muß ihnen auch widersprochen werden - es gibt keine sicheren Endlagerungsstätten, das vorweg.	Whenever we hear such statements, we have to contradict them, and let me say in advance that there are no safe final storage sites.
Ich glaube, daß der Berichterstatter etwas sehr Schwieriges geschafft hat.	I think the rapporteur has managed something very difficult.
Ein Energiekonzept, das in sich unschlüssig ist, das in sich sehr schwach ist, das sich an ganz konkreten Zahlen und Ergebnissen vorbeidrückt usw., ist wahnsinnig schwer zu korrigieren.	An energy programme that is unsure of itself from the outset, that is very weak from the outset, that tries to ignore very concrete statistics and findings, is incredibly difficult to correct.
Er hat sich sehr redlich bemüht, dies zu tun.	The rapporteur has tried in all honesty to do so.
Wir wissen heute längst, daß wir mit CO2 -freien erneuerbaren Energietechnologien mittelfristig wesentlich weiterkommen als mit der Nukleartechnologie.	We have long known that we will make much more headway in the medium term with CO2 -free renewable energy technology than with nuclear technology.
Was meinen Sie?	What are you saying?
(Zuruf: Atomkraft ist CO-frei!)	(Interjection: nuclear energy is CO-free!)
Das ist eine Streitfrage, die auch wissenschaftlich in dieser Form nicht haltbar ist, aber darüber haben wir am Vormittag diskutiert.	That is disputable nor is it scientifically tenable as it stands, but we discussed that this morning.
Das Konzept, das hier vorliegt, sieht so aus, als hätte niemand über das nachgedacht, was wir hier heute vormittag diskutiert haben und worüber wir vorhin abgestimmt haben.	In the proposal before us now it looks as though nobody had considered what we discussed here this morning and what we voted on a short while ago.
Selbstverständlich gehört die Frage der Energiesteuer zu einer Entwicklungsfrage der zukünftigen Technologie, und daß der anthropogene Treibhauseffekt ausgeschlossen wurde, ist ebenfalls bezeichnend.	Of course the question of an energy tax concerns future technological development and it is also significant that the anthropogenic greenhouse effect was excluded.
