Herr Präsident! Es gibt viel Euphorie bezüglich Galileo.	Mr President, there is a great deal of euphoria regarding Galileo.
Aber es gibt zwei riesengroße Wermutstropfen.	However, there are two enormous downers.
Erstens: die hohen Kosten, die inzwischen fast ausschließlich die Steuerzahler in der EU übernehmen.	Firstly, the high costs, which EU taxpayers are taking on almost exclusively in the meantime.
Es ist die Rede von mindestens 3,4 Milliarden Euro, es werden aber sicher noch mehr.	The talk is of at least EUR 3.4 billion, but it will certainly be even more.
Zweitens: die voraussehbare militärische Nutzung von Galileo.	Secondly, the foreseeable military use of Galileo.
Galileo wurde immer als die zivile Alternative zu GPS angepriesen.	Galileo has always been promoted as the civilian alternative to GPS.
Die ausschließlich zivile Nutzung wurde sogar vertraglich festgeschrieben.	Its exclusively civilian use has even been agreed by contract.
Die jetzt geplante Finanzierung durch den EU-Haushalt erlaubt nach den gültigen Verträgen keine militärische Nutzung.	Funding now being planned in the EU budget does not allow any military use according to the contracts in force.
Da warten so manche auf den Vertrag von Lissabon, der dies ermöglichen würde, der aber hoffentlich in Irland per Referendum abgelehnt wird.	Some are therefore waiting for the Treaty of Lisbon, which would make this possible, but which will hopefully be rejected by referendum in Ireland.
Doch die militärische Nutzung ist längst geplant.	Military use was planned long ago, however.
Hier hofft man auf verfügbares Geld aus dem Rüstungsbereich für Galileo.	Here we are hoping for funds to be made available for Galileo from the armaments sector.
Der vierte Dienst von Galileo, der so genannte staatlich regulierte Dienst, ist offensichtlich als dual use auch für Militäroperationen vorgesehen, ebenso wie für Polizei, Küstenwache und Geheimdienste.	The fourth function of Galileo, to offer a public regulated service, is obviously planned as a dual use for military operations, just as for the police, coast guards and intelligence services.
Sagen Sie bitte dazu etwas!	Please say something about this!
Ein zweites militärisches Satellitenprogramm braucht niemand, es sei denn, es wird für geostrategische und militärische EU-Interessen genutzt.	Nobody needs a second military satellite programme unless it is used for EU geostrategic and military interests.
Deshalb darf Galileo nur ein ziviles Projekt sein.	Therefore, Galileo should simply be a civilian project.
