Herr Präsident! Ich möchte an meinen Vorredner anknüpfen.	Mr President, I would like to take up what the previous speaker said.
Vielleicht sollten wir jetzt die Flagge noch öfter zeigen und die Hymne noch öfter spielen, um zu zeigen, dass so etwas nicht verloren gehen kann, weil es einfach da ist.	Perhaps we ought to show the flag more often now and play the anthem more often to show that these things cannot be lost, because they exist.
Wir haben dafür gekämpft, dass die Substanz erhalten bleibt.	We have fought for the substance to be preserved.
Das ist gelungen und ich denke, das ist ein Erfolg.	It has been, and I believe that is a mark of success.
Trotzdem ist mehr verloren gegangen als nur der Name und die Symbole.	More has been lost, however, than just the name and the symbols.
Man muss doch sehen, dass der Reformvertrag etwas anderes ist als der Verfassungsvertrag, weil die Vision einer politischen Union nicht nur des Europas der Staaten, sondern des Europas der Bürgerinnen und Bürger jetzt in weitere Ferne gerückt ist, und es wird lange dauern, bis wir einen neuen Anlauf für eine europäische Verfassung machen können.	It is after all clear that the reform treaty is something different from the constitutional treaty, because the vision of a political union, not only of a Europe of states but a citizens' Europe, is now even further from our grasp and it will be a long time before we can make a fresh attempt at a European constitution.
Die Europagegner haben an dieser Stelle gewonnen, und die europäischen Föderalisten haben an dieser Stelle verloren.	On this point, Europe's opponents have won and the European federalists have lost.
Das muss man ganz deutlich sagen.	We must be quite clear about that.
Ich denke auch, dass der vereinfachte Vertrag leider ein komplizierter Vertrag bleibt.	I also think that the simplified treaty is sadly still a complicated treaty.
Es gibt einen Verlust an Transparenz.	There is a loss of transparency.
Die Bürgerinnen und Bürger werden sich nicht so gut mit dem neuen Produkt identifizieren können, wie sie es mit dem Verfassungsvertrag gemacht haben.	The citizens will not be able to identify so easily with the new product as they did with the Constitutional Treaty.
Drittens macht mir Sorgen, dass das Misstrauen unter den Mitgliedern, aber auch das Misstrauen einiger Mitglieder gegenüber der EU und ihren Institutionen gewachsen ist.	Thirdly, I am concerned that distrust between the Member States, and also some Member States' distrust of the EU and its institutions, has grown.
Alle wollen Mitglied werden, aber nicht alle wollen mitmachen.	They all want to join, but they do not all want to join in.
Wir werden sehr gut beobachten, ob es nicht nur unterschiedliche Geschwindigkeiten, sondern auch unterschiedliche Klassen gibt.	We will be watching very closely to see whether there are not only different speeds, but also different classes.
Einige wollen offensichtlich zweitklassig sein.	Some evidently want to be second class.
Wenn sie das wollen, dann sollen sie es sein.	If that is what they want, then let them.
Sie sollen die anderen nicht blockieren können.	They should not be able to block the others.
Das war eine wichtige Etappe, die uns voranbringt.	That was an important stage that takes us forward.
Aber es ist nicht das Ende des Reformprozesses, und der neue Vertrag wird diesem Parlament zum ersten Mal die Möglichkeit geben, selbst Vorschläge für weitere Reformschritte zu machen.	But it is not the end of the reform process, and the new treaty will for the first time allow this Parliament to make its own proposals for further reforms.
Ich habe keinen Zweifel daran, dass wir in der nächsten Legislaturperiode auf all das zurückkommen werden, was jetzt liegen geblieben ist, und die Fortentwicklung der Europäischen Union aus dieser Bürgerkammer Europas heraus betreiben werden.	I have no doubt that, in the next legislative period, we will return to everything that has been left behind this time and that we will pursue the European Union's further development from this Chamber of Europe's citizens.
