­ Herr Präsident, heute ist ein großer Tag für Straßburg.	Mr President, today is a great day for Strasbourg.
Ich möchte Frau Maij-Weggen widersprechen.	I would disagree with Mrs Maij-Weggen.
Ich glaube, Straßburg ist das eigenständige politische und parlamentarische Gesicht eines Europa der Kultur, das sich von der Bürokratie emanzipiert. Insofern bin ich sehr glücklich über das, was wir heute erlebt haben.	I believe that Strasbourg is the independent and parliamentary face of a cultural Europe which has freed itself from bureaucracy and, in this respect, I am very happy about events here today.
Wir könnten ohne Vertragsänderung den Wanderzirkus beenden, indem wir die überflüssigen Miniplenarsitzungen in Brüssel abschaffen.	We could put an end to the travelling circus without changing the Treaty, by doing away with the superfluous mini plenary sittings in Brussels.
Das können wir ganz eigenständig.	We can do so quite independently.
Wir würden innerhalb kürzester Zeit Kosten sparen.	We would start saving money almost immediately.
Ich lade Frau Maij-Weggen dazu ein, mich dabei zu unterstützen.	I invite Mrs Maij-Weggen to support me in this.
Was den Rat betrifft, so bin ich der Ansicht, daß Helsinki Höhen und Tiefen hatte.	As far as the Council is concerned, I take the view that Helsinki was a Summit of peaks and troughs.
Ein Höhepunkt war ohne Zweifel das klare Signal an die Länder der zweiten Gruppe in Mittel­ und Osteuropa, daß diese zweite Gruppe nicht mehr abgesondert ist, sondern daß mit ihr Verhandlungen aufgenommen werden.	One peak was, without a doubt, the clear signal to the second group of central and eastern European countries that they were no longer isolated and that negotiations would be started with them.
Ich begrüße dies vor allem im Falle der Slowakei und der baltischen Staaten.	I welcome this in particular in the case of Slovakia and the Baltic States.
Besonders wichtig aber war die Entscheidung zu Tschetschenien.	However, the decision on Chechnya was also extremely important.
Wir haben in diesem Parlament vor zweieinhalb Monaten ganz klar gesagt, daß wir fordern, daß der Rat das Handels­ und Kooperationsabkommen in Teilen suspendiert und auch die Finanzhilfen, die Tacis-Programme auf humanitäre Hilfe umschichtet, damit Rußland wirklich spürt, daß es diesen Völkermord nicht weiter betreiben kann.	Parliament demanded quite clearly two and a half months ago that the Council suspend parts of the Trade and Cooperation Agreement and transfer financial aid and the TACIS programme to humanitarian assistance in order to bring home to Russia that it can no longer continue this genocide.
Man hat uns damals sehr stark widersprochen.	We were opposed at the time in no uncertain terms.
Ich bin sehr glücklich, daß der Rat nunmehr auf dem Standard ist, den wir als Parlament vor zweieinhalb Monaten zu setzen versucht haben.	I am very glad that the Council is now living up to the standard which we in Parliament tried to set two and a half months ago.
Ich bitte Rat und Kommission, unverzüglich dafür zu sorgen, daß die Tacis-Hilfe wirklich umgeschichtet wird, denn wir können nicht länger eine Mischung von blutigem Wahlkampf und blutigem Kolonialkrieg fördern.	I would ask the Council and the Commission to ensure that TACIS aid is transferred at once, because we can no longer back a mixture of bloodthirsty election campaigning and bloodthirsty colonial war.
Wir wollen Rußland als Partner, aber nur als ein Partner, der die Menschenrechte achtet.	We want Russia as a partner, but only as a partner which respects human rights.
Dieses Parlament steht für ein Europa der Menschenrechte, wie Kollege Oostlander gesagt hat.	This Parliament stands for a Europe of human rights, as Mr Oostlander said.
Rußland kann nur ein Partner sein, wenn es den Völkermord unverzüglich einstellt.	Russia can only be a partner if it ceases this genocide immediately.
