Sehr geehrte Damen und Herren!	Ladies and gentlemen.
Überweisungen aus einem Mitgliedsland der Europäischen Union in ein anderes sind heute noch teuer und langwierig.	Transfers from one Member State to another in the European Union is still a lengthy and expensive business.
Für die europäischen Bürgerinnen und Bürger und insbesondere auch für kleine und mittlere Unternehmen sind die damit verbundenen Schwierigkeiten nicht nur ärgerlich, sie können auch zu erheblichen Belastungen führen.	European citizens and in particular small and medium-sized companies find the difficulties involved not simply annoying but in some cases also extremely expensive.
Der europäische Heimatmarkt ist auch auf diesem Gebiet noch nicht verwirklicht.	The European single market is not yet a fact of life in this sphere.
Mittlerweile haben jedoch einige Banken im Grenzbereich kostengünstige Überweisungsmöglichkeiten eingerichtet.	Meanwhile some banks in border regions have introduced cost-saving methods of transfer.
Entsprechende Girosysteme, die schnellere und preiswertere Geldüberweisungen innerhalb der Europäischen Union ermöglichen sollen, werden zur Zeit aufgebaut.	Giro systems which should lead to quicker and cheaper money transfers within the European Union are being set up.
Ich bin zuversichtlich, daß ein fairer Wettbewerb zwischen den grenzüberschreitenden Überweisungssystemen zu einem besseren und günstigeren Angebot führt.	I am confident that fair competition between the cross-border transfer systems leads to better, more favourable supply.
Der vorliegende Vorschlag für eine Richtlinie über grenzüberschreitende Überweisungen hat ganz konkrete Auswirkungen auf den Alltag der europäischen Bürgerinnen und Bürger.	The present proposal for a directive on cross-border transfers has very definite repercussions on citizens' everyday life in Europe.
Grenzüberschreitende Überweisungen müssen schneller, billiger und zuverlässiger werden, das war unser Ziel.	Our objective was to make cross-border transfers quicker, cheaper and more reliable.
Ich freue mich, daß wir mit dem vorliegenden gemeinsamen Entwurf eine hervorragende Lösung gefunden haben.	I welcome the joint draft before us which represents an excellent solution.
Von der ersten Lesung im Mai 1995 bis heute haben wir in intensiven Beratungen und Verhandlungen den Standpunkt des Parlamentes klar vertreten und - wie ich meine - den ursprünglichen Vorschlag im Interesse der Bürger deutlich verbessert.	From the first reading in May 1995 to today we represented Parliament's view in intensive discussions and negotiations and I believe we have made a considerable improvement on the original proposal in the citizen's interests.
Das gilt beispielsweise für das Anwendungsgebiet der Richtlinie, bei der unsere Obergrenze von 50.000 ECU anstatt der ursprünglich vorgesehenen 30.000 ECU schließlich akzeptiert wurde.	One example of what I mean is the scope of application of the directive where our upper limit of ECU 50, 000 was finally accepted in place of the original ECU 30, 000.
Ich halte dies für besonders wichtig, da eine Reihe von Transaktionen kleiner und mittlerer Unternehmen jetzt auch unter diese Richtlinie fallen.	I think this is particularly important since a series of transactions of small and medium-sized firms now come under this directive.
Ein weiterer wichtiger Änderungsantrag befaßte sich mit der Gutschrift von Überweisungsbeträgen an den Auftraggeber, wenn diese den Begünstigten aus irgendwelchen Gründen nicht erreicht haben.	Another important amendment dealt with the credit advice of transfer amounts to the mandator if they had not reached the beneficiary for any reason.
Bis zu 10.000 ECU sollten, so der Gemeinsame Standpunkt des Rates, dem Auftraggeber wieder gutgeschrieben werden.	Up to ECU 10, 000 was to be credited back to the mandator under the Council's common position.
Schließlich haben wir erreicht, daß dieser Betrag auf 12.500 ECU angehoben wurde.	We finally managed to have this amount increased to ECU 12, 500.
Wenn dies auch deutlich weniger ist, als das Parlament ursprünglich gefordert hatte, so meine ich doch, daß wir in Anbetracht des bisher Erreichten damit leben können.	Even although this is well below what Parliament originally asked for I nevertheless believe that we can accept it in view of what we have achieved elsewhere.
Der Fall der grenzüberschreitenden Überweisungen ist für mich ein deutliches Beispiel für die Bedeutung und den Erfolg des Mitentscheidungsverfahrens.	The case of cross-border transfers is to my mind a clear example of the significance and success of the co-decision procedure.
Hier hat sich gezeigt, daß wir viel erreichen können, wenn wir mit klaren Zielvorstellungen in die Verhandlungen gehen.	We have seen here that we can achieve a great deal if we enter negotiations with clear objectives.
Allerdings möchte ich auch darauf hinweisen, daß mit der Einführung der gemeinsamen Währung die Bedeutung des Themas - bis auf verschiedene rechtliche Fragen - naturgemäß abnehmen wird.	Incidentally I would like to point out that with the introduction of a common currency the importance of the subject will inevitably wane, with the exception of various legal points.
Abschließend danke ich allen Beteiligten für ihr Engagement, das schließlich zu dieser wohl für alle Seiten befriedigenden Einigung geführt hat.	In conclusion I wish to thank everyone involved for their hard work which has led to this agreement which is satisfactory to all concerned.
Ich glaube, daß wir hiermit auf dem Weg zum europäischen Heimatmarkt einen weiteren Schritt getan, eine weitere Hürde genommen haben.	I believe that this has overcome another hurdle and taken another step closer to the European single market.
Zur Empfehlung für die 2. Lesung Medina Ortega (A4-0415/96)	Medina Ortega recommendation (A4-0415/96)
