. Danke schön, Herr Präsident, Frau Kommissarin, liebe Kolleginnen, liebe Kollegen!	Mr President, Commissioner, ladies and gentlemen, I thank you.
Es ist tatsächlich so, dass wir hier vor einem sehr wichtigen Bericht stehen, einer sehr wichtigen Gesetzgebung für sehr viele Menschen in der Europäischen Union, Menschen, die sich zusammengetan haben in Unternehmen, um ihre Stärken zusammenzuführen und diese Stärken im Markt auch weiterzubringen.	We do indeed have before us a very important report, a very important piece of legislation for the very large number of people in the European Union who have joined together in common enterprises in order to pool their strengths and bring those strengths to market more effectively.
Es ist ganz klar, dass in einer Europäischen Union, in der die Arbeiten immer stärker grenzüberschreitend sind, diese Zusammenarbeit auch über die Grenzen hinweg sehr notwendig ist und sehr unterstützenswert.	In a European Union in which more and more work is done across borders, this sort of collaborative effort across borders is quite clearly very much needed and very deserving of support.
Das Europäische Parlament hat bereits am 13. April 1983 zum ersten Mal eine Entschließung zu europäischen Genossenschaften angenommen. Das zeigt, wie stark das Europäische Parlament immer gerade die Gesetzgebung in diesem Bereich für wichtig gehalten hat.	It was as long ago as 13 April 1983 that Parliament first adopted a resolution on European Cooperative Societies, which fact shows what great importance Parliament has always attached to legislation in this area.
Die Europäische Kommission ist diesem Anliegen auch nachgekommen, und wie die Frau Kommissarin eben sagte, haben wir tatsächlich nach einiger Zeit den Beginn einer Gesetzgebung gehabt.	The Commission also took on board our concerns, and, as Commissioner Schreyer has just said, we did indeed, after some time, have the beginnings of legislation.
Ich bedauere es sehr, dass - nachdem das Europäische Parlament 1993 eine Stellungnahme, eine sehr gute Stellungnahme abgegeben hatte -, der Rat sich tatsächlich 11 Jahre lang Zeit gelassen hat, um hier zu beschließen, und zum Teil auch ganz sachfremde Punkte, im Hintergrund hatte, um in diesem Bereich nicht tätig zu werden.	I find it very regrettable that the Council - after Parliament, in 1993, had given its position, and a very good position at that - took all of eleven years to adopt a resolution on the subject, and had ulterior motives, some of them quite unrelated to the matter in hand, for not taking action in this area.
Das ist eigentlich inakzeptabel, vor allem den Menschen gegenüber, um die es geht!	The fact is that we find that unacceptable, and so, above all, do the people that this is all about.
In diesem Zusammenhang muss ich auch sagen, dass ich dem Rat gegenüber kein Lob aussprechen kann, wenn er schlicht und einfach die Rechtsgrundlage ändert und es in der Übergabe des neuen Textes an das Parlament noch nicht einmal für notwendig hält, zu begründen, warum er diese Rechtsgrundlage ändert, auf welchen Argumenten das eigentlich beruht.	I also have to say in relation to this that I cannot commend the Council for the way in which it simply changed the legal basis, and, when forwarding the new text to Parliament, did not even think it necessary to explain why this change had been made and on what arguments it was actually founded.
Zumindest in den Unterlagen, die uns offiziell übergeben worden sind, steht dazu nichts.	At any rate, there is nothing on the subject in the official documents we have been given.
Ich denke, das ist keine Art, wie man in Parlament und Rat miteinander arbeiten kann.	I do not think this is any way for Parliament and the Council to work together.
Tatsächlich ist es so, dass der Ausschuss für Recht und Binnenmarkt sich natürlich insbesondere mit der Rechtsgrundlage beschäftigt hat. Denn hier geht es ja um eine ganz wichtige Sache, hier geht es auch um die Rechte des Parlaments, und es wäre ein merkwürdiges Parlament, das einfach sagen würde: Ja, wir verzichten auf die Mitentscheidung, denn wir haben da einen einstimmigen Beschluss des Rates, das sollten wir respektieren.	The fact is that, naturally enough, the Committee on Legal Affairs and the Internal Market gave particular attention to the legal basis, for what is at stake here is a weighty matter, namely the rights of Parliament, and it would be a strange parliament that simply said 'yes' and agreed to waive its right of codecision on the grounds that a unanimous Council resolution had to be respected.
Das kann sich kein Parlament erlauben, auch dieses Parlament nicht! Deswegen hat der Ausschuss auch noch einmal bekräftigt, und das mit einer sehr klaren und eindeutigen Mehrheit, dass die richtige Rechtsgrundlage Artikel 95 ist.	No parliament - not even this one - can afford to do such a thing, and so the Committee reaffirmed, and by a clear and unambiguous majority, that Article 95 was the right legal basis.
Dafür gibt es auch ganz klare Argumente, die man nicht einfach so vom Tisch wischen kann, und die Frau Kommissarin hat es ja gerade noch einmal bestätigt.	There are eminently clear arguments in favour of that, as Commissioner Schreyer has just again confirmed, and they cannot simply be swept aside.
Die vorgeschlagene Verordnung schafft eine eigenständige und parallel zu den nationalen Gesellschaftsformen bestehende gemeinschaftsrechtliche Struktur.	The proposed Regulation creates an independent structure under Community law in parallel to national forms of association.
Artikel 8 des Vorschlages stellt klar, dass nicht alleine die Verordnung die Struktur festlegt, sondern dies nur in Zusammenhang mit dem Statut der jeweiligen Genossenschaft und dem Gesellschaftsrecht des Mitgliedstaates geschieht, in dem die jeweilige europäische Genossenschaft ihren Sitz hat.	Article 8 makes it clear that the regulation does not govern the structure by itself, but does so in conjunction with the statutes of the cooperative society in question and the company law of the Member State in which that cooperative society has its registered office.
Es handelt sich somit um eine Harmonisierung und nicht um eine Überlagerung der fünfzehn nationalen Gesellschaftsmodelle durch ein europäisches Modell, d. h. um eine Rechtsangleichung, also eine Verringerung von rechtlichen Hindernissen für das Funktionieren des Binnenmarktes.	This is not, then, about superimposing a European model on the fifteen national company models, but about harmonisation, that is to say, the approximation of laws, thereby reducing the legal obstacles to the operation of the internal market.
Und so sollte es auch sein und so sollte es respektiert werden!	That is what it should be, and as such it should be adhered to!
Lassen Sie mich bitte in diesem Zusammenhang auch noch eine persönliche Note hineinbringen, denn als Berichterstatterin des Ausschusses für Recht und Binnenmarkt muss ich natürlich jetzt diesem Hohen Hause empfehlen, morgen bei der Abstimmung gegen alle Änderungsanträge außer dem ersten zu stimmen, da es alles wieder eingebrachte Änderungsanträge sind, die im Ausschuss abgelehnt wurden.	While I am still on this subject, please permit me to add a personal note, for, as rapporteur of the Committee on Legal Affairs and the Internal Market, I now of course have to recommend that, tomorrow, this House should vote against all the amendments with the exception of the first, as these are all resubmitted amendments that were rejected by the Committee.
Das ist nun mal so, und als Berichterstatterin muss man natürlich die Meinung seines Ausschusses wiedergeben.	That is how it is, and a rapporteur's duty is of course to reflect the views of his or her committee.
Aber die persönliche Note dabei ist, dass Sie mir wohl auch erlauben werden, genauso wie meine Fraktion für diese Änderungsanträge zu stimmen, weil sie die Stärkung von Arbeitnehmerrechten bedeuten.	What I say, though, on my own behalf is that I trust you will not mind if I vote, with my group, in favour of these amendments, on the grounds that they reinforce workers' rights.
Die Stärkung dieser Rechte ist für eine Sozialdemokratin eigentlich ein Muss, da gibt es keine Möglichkeit, irgendwelche Ausnahmen zu machen, und deswegen ist es klar, dass ich dafür stimmen werden, auch wenn morgen bei der Abstimmung gesagt werden wird, dass ich empfehle, dagegen zu stimmen.	The fact is that, as a Social Democrat, I regard the reinforcement of such rights as an obligation without the possibility of any exceptions, and so I will self-evidently vote in favour of it, even if, when we vote tomorrow, it will be said that I recommend that you do the opposite.
Und ich möchte Sie bitten, Herr Präsident, das noch einmal morgen vor der Abstimmung sagen zu dürfen.	Mr President, I would also ask to be allowed to repeat that before the vote tomorrow.
