Herr Präsident, ich möchte dem Herrn Berichterstatter ganz herzlich zu seinem Bericht gratulieren.	Mr President, I should like to congratulate the rapporteur very warmly on his report.
Ich bin wie er eine leidenschaftliche Befürworterin der WTO, weil ich glaube, dass sie den armen Ländern die Chance gibt, sich an die reichen Länder anzubinden.	I am a passionate supporter of the WTO, as he is, because I believe that it offers poor countries the opportunity to integrate with wealthy nations.
Ich bin Herrn Schwaiger als Mitglied des Ausschusses für Umweltfragen, Volksgesundheit und Verbraucherpolitik auch sehr dankbar, dass er der Meinung ist, dass Verbraucherschutz, Tierschutz, Gesundheit ganz wichtige Themen sind und wir sie zu einem späteren Zeitpunkt prioritär behandeln werden.	As a member of the Committee on the Environment, Public Health and Consumer Policy, I am also most grateful to Mr Schwaiger for taking the view that consumer protection, animal welfare and health are very important issues which we will deal with as priorities at a later date.
Tun wir das nicht, laufen wir Gefahr, Situationen wie in Seattle immer wieder zu erleben.	If we fail to do so, we can expect to witness situations such as the Seattle débâcle time and time again.
Erlauben Sie mir jedoch, im Vorgriff auf eine solche Debatte zwei Themen anzusprechen.	In advance of this debate, however, I should like to raise two specific issues.
Ich empfinde es als unerträglich, dass die WTO Strafsanktionen gegen die Europäische Union ins Auge fasst oder erlässt, nur weil die Europäische Union ihre Bürger vor hormonverseuchtem Fleisch zu schützen versucht.	I think that it is appalling for the WTO to impose or consider imposing sanctions on the European Union simply because the European Union is trying to protect its citizens from hormone-treated meat.
Wir haben nun den wissenschaftlichen Beweis, dass ein Hormon krebserzeugend ist, bei fünf weiteren ist es wahrscheinlich.	We now have scientific proof that one hormone in particular is carcinogenic, while there is a strong possibility that a further five are also carcinogens.
Natürlich muss das Vorsorgeprinzip auch für die WTO gelten.	The precautionary principle must apply to the WTO as well.
Ein zweites Thema: In der Europäischen Union haben mehrere Staaten - Großbritannien, auch Österreich - Tierversuche bei Kosmetika verboten.	Secondly, in the European Union, a number of states - notably Great Britain and Austria - have banned animal testing of cosmetics.
Die Mehrheit der Bürger und Verbraucher der Europäischen Union wollen das für die Europäische Union.	The majority of citizens and consumers in the EU want to see this ban extended throughout the European Union.
Ich glaube, die WTO wird akzeptieren müssen, dass man sehr wohl erfolgreich wirtschaften und trotzdem sensibel sein kann für die Leiden und Schmerzen von Geschöpfen, die der liebe Gott geschaffen hat - von Tieren - und dass man vor diesen Tieren auch Respekt haben muss.	I think that the WTO will have to accept that it is possible to be very successful economically yet remain sensitive to the pain and suffering of God's creatures - animals - and that we must respect animals as well.
