Herr Präsident, meine Damen und Herren, liebe Doris Pack! Wie viel Fernsehgewalt verträgt ein Kind?	Mr President, ladies and gentlemen, Mrs Pack, how much television violence can a child tolerate?
Diese Frage ist viel weniger einfach zu beantworten, als manche Leute denken.	The question is not nearly as easy to answer as some people think.
Diese Erkenntnis zählt letztlich auch zu den Ergebnissen der durchaus verdienstvollen Studie zur elterlichen Kontrolle im Bereich des Fernsehens, auf die sich die Mitteilung der Kommission bezieht.	And that is one of the findings that has come out of the highly commendable "Study on Parental Control of Television Broadcasting" that is the subject of the Commission communication.
Der unmittelbare Zusammenhang zwischen Gewalttätigkeit und Medienkonsum ist trotz einer stattlichen Anzahl von internationalen Untersuchungen nicht eindeutig belegt.	Despite an impressive number of international studies, there is still no clear evidence of any direct link between violence and media consumption.
Die konkrete Ausführung einer Tat kann zwar durchaus von einer Mediendarstellung beeinflusst sein, was aber nicht heißt, dass in der Mediendarstellung auch die Ursache zu suchen ist.	Someone may commit a particular act under the influence of an image seen on the media, but that does not mean that the cause of that act is also to be found in the media image.
Diese Feststellung ist ganz wichtig, um in der berechtigten Sorge um das Wohl von Kindern und Jugendlichen nicht über das Ziel hinauszuschießen und vor allem auch deshalb, um die tatsächlichen Ursachen der leider real existierenden Jugendgewalt nicht zu verkennen.	That is a most important finding, for we must not overshoot the mark in our legitimate concern for the well-being of children and young people and, in particular, we must not mistake the real causes of the sad reality of youth violence.
Jugendgewalt entsteht durch die Kumulation mehrerer Faktoren, zum Beispiel der Erfahrung von Gewalt in der Familie, das Erleben erheblicher sozialer Benachteiligungen, schlechte Zukunftschancen aufgrund von Bildungsdefiziten, die zu Frust führen, was dann in Gewalt umschlägt.	Youth violence is the result of a build-up of several factors, such as experiencing violence in the family, suffering serious social disadvantages, having poor chances for the future because of lack of education, which leads to frustration, which in turn finds its outlet in violence.
Das deckt sich auch mit meinen persönlichen Erfahrungen, die ich im Laufe meiner zehnjährigen ehrenamtlichen Tätigkeit als Schöffin bei mehreren Jugendgerichten sammeln konnte.	That fits in with the experience I myself have gleaned during ten years of voluntary jury service at a number of juvenile courts.
Diesen Problemen ist mit technischen Vorrichtungen zur Kontrolle von Fernsehangeboten nicht beizukommen.	Technical measures to control television offerings cannot resolve these problems.
Zum Glück wächst aber die ganz überwiegende Mehrheit von Kindern und Jugendlichen in einem Milieu auf, das keines dieser Problemmerkmale aufweist.	Fortunately, however, the vast majority of children and young people grow up in an environment free of all these types of problem.
Das ist der beste Jugendschutz, den es überhaupt geben kann.	That is the best youth protection there can possibly be.
Hier haben wir es mit Eltern zu tun, die sich ihren Kindern im Rahmen eigener Wertvorstellungen und Lebenserfahrungen verpflichtet fühlen.	Here we see parents who are committed to passing on their own moral values and life experiences to their children.
Diese beruhen in der Regel auf einem kulturell, sozial und gesellschaftlich geprägten Hintergrund.	As a rule these are rooted in a particular cultural, social and societal background.
Systeme zur elterlichen Kontrolle müssen also ein individuelles, pluralistisch angelegtes Vorgehen ermöglichen.	Systems of parental control must therefore also leave room for individual action on a pluralist basis.
Daran setzt auch die Kommission unter Verweis auf die Ergebnisse der Studie an.	That is also what the Commission is seeking to do, with reference to the findings of the study.
Dies unterstützt letztlich auch der hier zur Abstimmung stehende Bericht.	Basically, the report we are to vote on here also supports that approach.
Dass Mediendarstellungen Wertvorstellungen beeinflussen können, ist freilich unbestritten.	At the same time, of course, no-one disputes that media images can influence moral values.
Es muss aber gleichermaßen betont werden, dass im Vertrauen auf ein differenziertes Angebot von Filtersystemen keineswegs die Veranstalter aus der Pflicht zu nehmen sind.	But we must make it equally clear that even if we place our confidence in a differentiated supply of filter systems, that in no way takes away from broadcaster responsibility.
Der Ausschuss für Kultur, Jugend, Bildung, Medien und Sport hat daher ausdrücklich betont, dass die Anbieter- und Programmverantwortlichkeit festzuschreiben ist.	The Committee on Culture, Youth, Education, the Media and Sport has therefore called in so many words for the programme and provider responsibility to be established.
Das ist und bleibt hauptsächlich eine Aufgabe der Gesetzgebung der Mitgliedsländer, was aber eine konsensuale Verständigung auf bestimmte Eckwerte im Dialog mit allen Beteiligten auf der europäischen Ebene keineswegs ausschließt.	That is and remains mainly the task of Member State legislation, although it certainly does not preclude a consensual agreement on certain basic values in a dialogue with all concerned at European level.
Der Ausschuss für Kultur, Jugend, Bildung, Medien und Sport hat schließlich auch Wert darauf gelegt, der Kommission die Ausdehnung aller Jugendschutzbemühungen auf Multimediaangebote aller Art nahe zu legen, da Gewaltdarstellungen und andere schädliche Inhalte sich bei weitem nicht mehr auf das herkömmliche Fernsehen beschränken.	Finally, the Committee on Culture, Youth, Education, the Media and Sport also considered it important to urge the Commission to extend all youth protection measures to multimedia offerings of all kinds, since images of violence and other harmful content are certainly no longer confined to conventional television.
Europas Kids surfen längst durchs Internet, und dies mit zunehmender Tendenz.	Europe' s children have been surfing the Internet for a long time now, and they are doing so more and more.
Wichtiger als gesetzliche Beschränkungen und elektronische Filter ist der Erwerb von Medienkompetenz für die Kids und für die Eltern.	It is more important for the children and their parents to learn to use the media properly than to introduce legal restrictions and electronic filters.
Das ist eine bildungs- und gesellschaftspolitische Aufgabe.	That is an educational and social task.
