Herr Präsident, werte Kolleginnen und Kollegen! Die Erweiterung wird Europa nachhaltig verändern.	Mr President, ladies and gentlemen, enlargement will change Europe on a lasting basis.
Gerade deshalb kommt es auf die Qualität der Vorbereitung an.	That is why the quality of the preparations is so crucial.
Die Kommission gibt heute grünes Licht für die Aufnahme von zehn Ländern, gleichzeitig bekennt sie, dass heute noch nicht alle Kriterien erfüllt sind.	The Commission has today given the green light for the accession of ten countries, but it acknowledges at the same time that not all the criteria have been fulfilled as yet.
Den Pariser Figaro beschleicht angesichts der Dimension, das 'unangenehme Gefühl, ohne Fallschirm ins Leere zu springen'.	In light of this aspect, the Paris newspaper Le Figaro reports its 'creeping and unpleasant sensation of jumping into a void without a parachute'.
Soweit würde ich nicht gehen, aber zahlreiche sensible Fragen sind offen. Stichwort Finanzierung, Stichwort Zypern, Stichwort Bene?-Dekrete.	I would not go quite that far, but numerous sensitive issues remain unresolved: financing, Cyprus, and the Bene? decrees are just some of the key words here.
Ich bin mehr als enttäuscht über die tschechische Haltung, nicht einmal reden zu wollen.	I am extremely disappointed by the Czech Government's stance of declining even to talk about the issues.
Europa heißt, miteinander reden!	Europe means talking to each other!
Ich bin enttäuscht über die Haltung der Kommission.	I am disappointed by the Commission's stance.
Es fragt sich, welche Wertegemeinschaft die Union in Zukunft sein wird, wenn sie ein Gesetz, das Mord straffrei stellt, einfach hinnimmt.	What kind of community of values will the EU become in future if it meekly accepts a law which assures impunity for murder?
Ich habe von Rissen gesprochen.	I have spoken of rifts.
Dagegen stehen nicht nur Vorteile, sondern die Chance, die Zone der Sicherheit und Stabilität zu erweitern und die Teilung Europas zu überwinden.	They are offset not only by the advantages but also the opportunity to enlarge the zone of security and stability and overcome the division of Europe.
Die Erweiterung ist die politische Versöhnungsidee Europas, das ist die große Chance!	Enlargement is the political expression of reconciliation in Europe. That is our great opportunity.
