Frau Präsidentin! Als allererstes möchte ich mich beim Berichterstatter Méndez de Vigo bedanken.	Madam President, first of all I should like to thank the rapporteur, Mr Méndez de Vigo.
Ich sehe keine Notwendigkeit, einen Konvent einzuberufen.	I see no need to convene a convention.
Es ist eine Detailfrage, die geklärt werden muss.	It is a matter of detail that needs to be clarified.
Das Europäische Parlament wird seit 1979 in direkten und geheimen Wahlen gewählt, daran sollten wir uns auch in Zukunft halten.	Since 1979, the European Parliament has been elected in a direct and secret ballot and that is the way it should continue to be done in future, too.
Der Rat und wir sind gut beraten, bei einer Regierungskonferenz dieses Problem schnellstmöglich anzupacken, denn von den 18 Kolleginnen und Kollegen sind 16 in einem so genannten Schwebezustand, der ziemlich unerträglich ist.	We and the Council would be well advised to deal with this problem as quickly as possible at an intergovernmental conference, because out of the 18 Members, 16 are in a state of suspense, which is rather intolerable.
Darum ist der Spielball jetzt wieder beim Rat.	The ball is therefore back in the Council's court.
Ich bitte den Rat, hier nicht nachzugeben, weil es in einem Mitgliedstaat versäumt worden ist, klare Regeln zu finden, da man damit gerechnet hat, dass der Vertrag von Lissabon früher in Kraft tritt.	I would ask the Council not to give in on this point because one Member State has failed to find clear rules on account of it expecting the Treaty of Lisbon to enter into force sooner.
Ich bin froh, dass wir diesen Vertrag jetzt haben, und wir müssen jetzt unsere Hausaufgaben machen.	I am pleased that we now have this Treaty in place, but we now have our homework to do.
Der Bericht Méndez de Vigo ist eine gute Grundlage, um diesen Prozess zu stärken.	The Méndez de Vigo report is a good basis for strengthening this process.
Aber der Rat ist gut beraten, nicht der Versuchung zu erliegen, es zu akzeptieren, dass Kolleginnen und Kollegen aus einem nationalen Parlament hierher entsandt werden.	However, the Council would be well advised not to succumb to the temptation to accept Members being sent here from a national parliament.
Denn damit würden wir einen Präzedenzfall schaffen, und dazu bin ich nicht bereit.	That would set a precedent and I am not happy to accept that.
Darum hat der Berichterstatter meine volle Unterstützung, mit der Einschränkung, dass keine Mitglieder aus nationalen Parlamenten entsandt werden.	Therefore, the rapporteur has my full support, with the proviso that no Members be sent here from national parliaments.
