Herr Präsident, ich finde Ihren Vorschlag sehr vernünftig.	Mr President, I think your proposal is a very sensible one.
Er ist aus der Situation entstanden, daß dieser Bericht natürlich sehr umstritten ist und nicht gemeinsam vorbereitet wurde.	It arose from the fact that this report is of course very controversial and was not prepared jointly.
Wir haben im Ausschuß für auswärtige Angelegenheiten mit 31 zu 30 darüber abgestimmt, ob wir überhaupt abstimmen.	In the Committee on External Economic Relations we voted by 31 to 30 on whether we should vote at all.
Jetzt gibt es natürlich zu den einzelnen Blöcken keinen Vorschlag aus diesem Ausschuß, und das hat zu der Situation geführt, daß wir hier im Plenarsaal mit diesem Verfahren konfrontiert sind.	Now, of course, this committee has no proposal on the individual blocks, which has led to a situation where we are confronted with this procedure in plenary.
Sie haben es zwar ein bißchen dramatisch dargestellt.	You have described it in rather dramatic terms.
Auch wir hatten gestern in dem Bericht von Frau Barthet-Mayer 100 Anträge.	We also had 100 amendments to Mrs Barthet-Mayer's report yesterday.
Mein weitergehender Vorschlag wäre jetzt, daß die Beratung noch einmal im Ausschuß stattfindet und wir im Juli abstimmen.	I would now propose further that we consult again in committee and vote in July.
Das würde die Zeit verkürzen.	That would save time.
Von daher möchte ich die Rücküberweisung an den Ausschuß gemäß Artikel 129 beantragen.	So I move that we refer the report back to committee pursuant to Rule 129.
Das würde uns jetzt die Arbeit hier ersparen.	That would save us work here.
Ansonsten kann ich mich Ihrem Vorschlag anschließen.	In other respects I support your proposal.
