Vizepräsident der Kommission.	Vice-President of the Commission.
Frau Präsidentin, meine sehr verehrten Damen und Herren! Ich möchte zunächst Herrn Toubon für seine konstruktive Arbeit an diesem sehr schwierigen Gesetzgebungsvorhaben danken und ihm in allem zustimmen, was er eben gesagt hat, vor allen Dingen auch, was die lessons to be learnt angeht, also das, was wir aus diesem Vorgang lernen können.	Madam President, ladies and gentlemen, I should like first of all to thank Mr Toubon for his constructive work on this very difficult legislative proposal and agree with everything that he has just said, particularly when it comes to the lessons to be learnt, that is what we can learn from this dossier.
Dazu möchte ich eine Bemerkung machen: Ich wünsche mir sehr, dass der Rat dem Vorbild des Parlaments folgen möge und in Zukunft, wenn er Änderungen an Gesetzgebungsvorschlägen macht, auch ein impact assessment vornimmt.	I should like to make one additional point: I hope very much that the Council will see fit to follow Parliament's example and in future, when it is making amendments to legislative proposals, that it will also carry out an impact assessment.
Das würde uns auf dem von uns eingeschlagenen Weg hin zu einer besseren Rechtsetzung sicherlich sehr helfen.	This would certainly help us greatly in our ongoing work of creating better regulation.
In der Tat geht es um ein Teilstück aus dem großen Projekt der Kommission und aller anderen Institutionen: bessere Rechtsetzung.	This is actually just one part of a major project being implemented by the Commission and all of the other institutions: better regulation.
Wir sind mit dem klaren politischen Ziel angetreten, den Rechtsbestand der Europäischen Union zu verbessern und zu vereinfachen.	We began with the clear political goal of improving and simplifying the European Union's existing body of legislation.
Herr Toubon hat völlig Recht: Verbesserung heißt nicht Abschaffung.	Mr Toubon is quite right: improving it does not mean abolishing it.
Verbesserung heißt einfacher, transparenter, leichter handhabbar machen.	Improving it means making it simpler, more transparent and more manageable.
Aber selbstverständlich sollen die Schutzniveaus, die wir erreicht haben, bestehen bleiben.	Obviously, however, the levels of protection that we have in place should remain intact.
Im Prinzip stimmen dem alle Institutionen und sicher auch die Verbraucher und Unternehmer zu.	In principle, all of the institutions and certainly also consumers and business agree with this.
Diese grundsätzliche Zustimmung weicht jedoch immer dann spezifischen Bedenken, sobald ein Vorschlag konkret erarbeitet und vorgelegt wird.	Despite this agreement of principle, however, there are always specific reservations once a proposal is actually drafted and tabled.
Dann zeigt sich, dass ein politischer Kompromiss nötig ist, und ich bin zufrieden, dass wir in diesem Fall gemeinsam zu einer guten Lösung gekommen sind.	Then it becomes clear that a political compromise is needed and I am pleased that in this case we have produced a good solution together.
Worum geht es eigentlich?	What is this really about?
Wir haben es hier mit Regelungen aus den 70er und 80er Jahren zu tun.	We are dealing here with regulations from the 70s and 80s.
Damals wurde die Größe von Fertigpackungen für eine große Zahl von Produkten festgelegt.	At that time mandatory sizes were laid down for a large number of prepacked products.
Dabei handelt es sich um so unterschiedliche Güter wie Zahnpasta, Waschmittel, Fischstäbchen, Tomatenmark, Lösungsmittel oder auch Trocken- und Feuchtfutter für Hunde und Katzen.	These included such varied goods as toothpaste, detergent, fish fingers, tomato puree, solvents and even dry and wet dog and cat food.
Diese Art des Vorgehens war zu der Zeit ihrer Verabschiedung vor rund 30 Jahren die beste Möglichkeit, um zwei Ziele zu erreichen: Erstens wollte man den Binnenmarkt für Güter ein Stück weiter öffnen, so wie dies in den Römischen Verträgen vorgesehen war. Und zweitens wollte man auf diesem Weg den nötigen Verbraucherschutz beim grenzüberschreitenden Handel mit diesen Gütern sicherstellen.	At the time of their adoption around 30 years' ago, this was the best way of achieving two aims: firstly, to open up the internal market for goods even more, as provided for in the Treaties of Rome, and secondly to ensure the necessary level of consumer protection in the cross-border trade of these goods.
Seitdem haben wir jedoch den Binnenmarkt wie auch den Verbraucherschutz innerhalb der Europäischen Union ganz bedeutend weiterentwickelt.	Since then, however, we have significantly developed the internal market and consumer protection within the European Union.
Es geht nun darum, die Regelungen zu den Packungsgrößen entsprechend zu vereinfachen und zu vereinheitlichen.	Now it is a question of following suit by simplifying and harmonising the regulations on packaging sizes.
Weniger europäische Reglementierung bedeutet hier mehr Innovation und Stärkung der Wettbewerbsfähigkeit.	Here, less European regulation means more innovation and greater competitiveness.
Ich bin überzeugt, dass sich dieser Vorschlag insbesondere für die Verbraucher positiv auswirken wird.	I am convinced that this proposal will have a positive impact, in particular for consumers.
Die Verbraucher werden mehr Wahlfreiheit erhalten.	Consumers will gain greater freedom of choice.
Und im Rahmen der bestehenden Richtlinie zu Preisangaben per Maßeinheit (Kilo/Liter) werden sie Preise unterschiedlicher Packungsgrößen auch in Zukunft ohne weiteres vergleichen können.	Furthermore, thanks to the existing directive on unit pricing (pricing per kilogram or litre), they will also continue to be able to compare the prices of different packaging sizes easily in the future.
Ich bedanke mich beim Berichterstatter für sein Engagement.	I am grateful to the rapporteur for his commitment.
Ich bin auch damit einverstanden, dass wir uns auf Übergangsregelungen verständigt haben.	I also think that we have agreed on transitional rules.
Dem Wunsch des Parlaments entsprechend wird die Kommission in einigen Jahren die dann eingetretene Lage überprüfen.	As Parliament has requested, the Commission will review the situation in a few years' time.
Einer Einigung in zweiter Lesung steht somit nichts mehr im Wege.	There is therefore nothing to prevent an agreement at this second reading.
