Herr Präsident, verehrte Kolleginnen und Kollegen! Macht braucht Kontrolle.	Mr President, ladies and gentlemen, power requires control.
Die Europäischen Institutionen haben Macht, und diese Macht müssen wir im Dienste der Bürger eingrenzen.	The European institutions have power and, for the sake of our citizens, we must set limits on this power.
Es ist hoch an der Zeit, die Lücke im europäischen Grundrechtsschutz zu schließen, die es bisher gegeben hat.	It is high time that we plugged the gaps in the protection of European fundamental rights.
Viele Jahre lang ist darüber diskutiert worden, ob die Union nicht einfach der Europäischen Menschenrechtskonvention beitreten sollte wie die Mitgliedstaaten selbst.	The debate as to whether the Union should not simply accede to the European Convention on Human Rights just as the Member States do has gone on for years.
Ich bin froh darüber, dass aus einer Reihe von Gründen der Beitritt der Union zur Menschenrechtskonvention nicht zustande gekommen ist.	I, for one, am delighted that, for a variety of reasons, the Union has not acceded to the Convention on Human Rights
Angesichts des Textes der Charta, dem wir heute unsere Zustimmung geben werden - wie ich hoffe, mit großer Mehrheit -, ist es offenkundig, dass wir mit unserer Charta mehr und einen zeitgemäßeren Grundrechtsschutz erreichen werden, als ihn der Beitritt zur Europäischen Menschenrechtskonvention erbracht hätte.	As it stands, the Charter which we shall be voting for today - I hope by a large majority -, will clearly afford us better protection of our fundamental rights which is more in keeping with the times than acceding to the European Convention on Human Rights would have done.
Nur ein knappes Drittel der Charta wiederholt Garantien der Menschenrechtskonvention.	Just under one-third of the Charter contains the same guarantees as the Convention on Human Rights.
Der große Rest geht weiter bei den politischen Rechten der Unionsbürger, im Bereich der wirtschaftlichen und sozialen Rechte und last but not least auch in den wichtigen Zukunftsfragen des Umwelt-, Gesundheits- und Verbraucherschutzes.	The rest, for the most part, ups the ante when it comes to citizens' political rights, economic and social rights and, last but not least, the issues of tomorrow - environmental, health and consumer protection.
Die Charta muss europäisches Recht werden, wenn sie ihre Funktion wirklich erfüllen soll.	The Charter must become European law if it really is to do its job.
Der Schritt, den wir heute setzen, ist nur einer auf einem noch langen Weg.	The step which we are taking today is just one step on the long road ahead.
Aus der feierlichen Erklärung muss verbindliches europäisches Verfassungsrecht werden.	The solemn proclamation must pave the way for binding European constitutional law.
Leiten wir mit unserem heutigen Schritt eine Entwicklung ein, an deren Ende ein europäischer Superstaat stehen wird?	Does today's step mark the start of a movement which will end in a European superstate?
Nein!	No, it does not.
Die Forderung nach Unionsgrundrechten, verbunden mit dem Anliegen einer Konstitutionalisierung der Verträge, bedeutet nicht, dass am Ende unseres Weges die Vereinigten Staaten stehen werden.	The demand for fundamental Union rights, combined with the request that the treaties be constitutionalised, does not mean that a United States of Europe lies at the end of the road.
Aber wir brauchen so bald wie möglich einen Verfassungstext für Europa, in dem die Bürger klare und verständliche Aussagen über ihr Europa finden, welche Rechte die Bürger selbst haben, wo die Union Verantwortung übernommen hat und wo die Zuständigkeiten auch in Zukunft von den Mitgliedstaaten wahrgenommen werden sollen und wie Europa seine Aufgaben erfüllen wird mit allen Garantien rechtsstaatlichen Menschenrechtsschutzes.	But we do need a constitutional text for Europe as quickly as possible, a text for our citizens containing clear, comprehensible statements on Europe, telling them what rights they have, where the Union has taken over responsibility, what powers the Member States should exercise, including in the future, and how Europe intends to do its job, with every guarantee that the rule of law will protect their human rights.
An dieser Aufgabe müssen wir weiter arbeiten!	We must keep working on this.
Gehen wir diesen Weg!	We must move in this direction.
