Herr Präsident! Ich begrüße die Bedeutung, die die Kommission diesem Thema heute beimisst.	Mr President, I welcome the importance the Commission is attaching to this subject today.
Dass zwei Kommissare zur Aussprache gekommen sind, zeigt doch deutlich, dass endlich auch der Kommission klar ist, dass man hier handeln muss.	The fact that two Commissioners have taken the floor clearly shows that finally even the Commission understands that we have to act here.
Allerdings bleiben Zweifel an den Aussagen, wenn in erster Linie auf die Verantwortung der Mitgliedstaaten und der Hersteller verwiesen wird.	However, doubts remain as to the statements when reference is made in the first instance to the responsibility of the Member States and manufacturers.
Sicherlich tragen die Mitgliedstaaten ein gutes Maß an Verantwortung, und die Marktüberwachung ist in den letzten Jahren in vielen Mitgliedstaaten zurückgebaut worden.	Certainly the Member States bear a good proportion of responsibility and market surveillance has been scaled back in recent years in many Member States.
Das ist die falsche Antwort auf die Herausforderungen der Globalisierung.	This is the wrong response to the challenges of globalisation.
Aber dennoch, das allein reicht nicht.	Nevertheless, this alone is not enough.
Die Überarbeitung der Spielzeugrichtlinie steht dringend an.	Revision of the Toy Safety Directive is urgently needed.
Wenn man sich überlegt, dass diese Rückrufaktion nun die vierte seit November 2006 ist, dann stellen sich Fragen wie etwa: Wer verfolgt eigentlich diese Rückrufaktionen nach?	When we recognise that this recall campaign is now the fourth since November 2006, it raises questions, for instance: who is actually following up these recall campaigns?
Wie sieht es mit den Sanktionen in den Mitgliedstaaten und mit dem Haftungsrecht der Importeure und der Produzenten aus?	What are the sanctions in the Member States and the law on importer and producer liability achieving?
Wir brauchen dringend eine Überarbeitung der Spielzeugrichtlinie, die den neuen Herausforderungen auch wirklich gerecht wird.	We urgently need a revision of the Toy Safety Directive, which also does real justice to the new challenges.
Diese Richtlinie ist keine Antwort auf diese neuen Herausforderungen.	This directive is not a response to these new challenges.
Wir müssen Themen angehen wie etwa das Verbandsklagerecht.	We have to address subjects such as the law on collective action.
Sie haben zu Recht angesprochen, Herr Verheugen, dass man den Verbrauchern klar machen muss, dass es auch auf Qualität ankommt und dass die Preise und die Qualität dem entsprechen müssen.	Mr Verheugen, you have rightly addressed the fact that we have to make clear to consumers that quality is also important and that prices and quality have to reflect this.
Aber dann frage ich mich natürlich auch, warum haben die Verbraucher nicht mehr Möglichkeiten in der Hand, wie z. B. ein europäisches Verbandsklagerecht, um darauf zu dringen, dass dann auch auf der Kostenseite entsprechend etwas geändert wird?	But then I also ask myself, of course, why consumers no longer have opportunities within their grasp, under a European law on collective action for example, for insisting that something should also be changed here in relation to costs?
Ich möchte noch auf das Thema CE-Kennzeichen eingehen.	I would like to delve further into the subject of CE marking.
Wir haben darüber lang und breit diskutiert und kennen die Mängel und die Grenzen dieses CE-Kennzeichens.	We have discussed this at length and across the board and are familiar with the failings and limitations of this CE marking.
Ich finde es falsch, wenn man den Verbrauchern suggeriert, die CE-Kennzeichnung wäre ein deutliches Signal für die Sicherheit eines Produktes.	I think it is wrong when it is suggested to consumers that CE marking is a clear signal that the product is safe.
Das CE-Kennzeichen macht in erster Linie eine Aussage zur Konformität dieses Kennzeichens mit den europäischen Richtlinien.	CE marking is primarily a statement that this label complies with European directives.
Das sind bestimmte Teile eines Produkts, das kann ein ganzes Produkt sein, aber es sagt insgesamt nichts über die Sicherheit des Produktes aus.	It may relate to certain parts of a product, it may relate to a whole product, but it does not reveal anything as a whole about the safety of the product.
Hier haben wir einen Mangel, der in der neuen Spielzeugrichtlinie dringend beseitigt werden muss.	We have a flaw here, which needs to be removed from the new Toy Safety Directive as a matter of urgency.
