Herr Präsident, Herr Abgeordneter! Lassen Sie mich zu dieser Frage ein bißchen weiter ausholen.	Mr President, Mr Frischenschlager, let me go a little further into this question.
Der Transitverkehr kann innergemeinschaftlich nur durch bestimmte neue Bestimmungen der Wegekostenrichtlinie - EuroVignette -gelöst werden.	Transit transport within the Community can really only be resolved by certain new provisions in the road cost directive, the Euro-Vignette.
Eine weitere Erleichterung würde die Rückverlagerung des durch die Schweiz verursachten Umwegverkehrs erbringen.	The suspension of the transit traffic diversion caused by the Swiss regulations would also ease the situation.
Dies ist eben nur im Rahmen der Verhandlungen zwischen der EU und der Schweiz möglich.	But this can only be done in the framework of the negotiations between the EU and Switzerland.
Die österreichischen Ziele sind die Beibehaltung der bestehenden Höhe der Brenner-Maut und die Beseitigung des durch die in der Schweiz geltenden Begrenzungen verursachten Umwegeverkehrs.	Austria wants to keep the Brenner toll at the existing level and to put an end to the traffic diversion resulting from the restrictions applied in Switzerland.
Derzeit begrenzt die Schweiz, wie wir wissen, die LKW-Tonnage auf 28 Tonnen.	At present, as we know, Switzerland restricts heavy goods vehicles to 28 tonnes.
Für Österreich entscheidend ist die Vergleichbarkeit der Abgabenhöhe und -struktur in Österreich und in der Schweiz.	Austria believes it is crucial to have a comparable charge level and structure in Austria and Switzerland.
Höhere Gebührensätze für die Schweiz müßten ebenso höhere Sätze am Brenner zur Folge haben.	Higher charges in Switzerland should result in equally high toll rates for the Brenner Pass.
Beim Verkehrsministerrat am 10. und 11. Dezember 1997 forderten die Minister die Kommission auf, die Verhandlungen mit der Schweiz aktiv weiterzuführen, und zwar unter strikter Verfolgung des Grundsatzes, daß sich die Schweizer Gebühren sowie jene der Gemeinschaft auch an den Infrastrukturkosten zu orientieren hätten.	At the Council of Transport Ministers on 10 and 11 December 1997, the ministers called on the Commission actively to pursue the negotiations with Switzerland, while strictly observing the principle that Swiss charges, like Community charges, must be geared to infrastructure costs.
Es gab einen Durchbruch bei den Verhandlungen EU-Schweiz anläßlich des Treffens von Kommissar Kinnock und Bundesrat Leuenberger am 23.1., dem sogenannten Kompromiß von Kloten.	A breakthrough came in the EU-Switzerland talks at the meeting between Mr Kinnock and Mr Leuenburger, the Swiss minister of state, on 23 January, in the form of what is called the Kloten compromise.
Dieser brachte eine politische Einigung auf einen Gebührenmittelwert von 200 ECU für die längste Transitstrecke durch die Schweiz, nämlich Basel-Chiasso.	It brought political agreement on an average charge of ECU 200 for the longest transit route through Switzerland, namely Basle to Chiasso.
