schriftlich. - Die Europäische Union und Kanada pflegen seit vielen Jahren gute und solide Handelsbeziehungen.	The European Union and Canada have had good, solid trade relations for many years.
Kanada zählt sogar zu den ältesten Handelspartnern der EU.	Canada is even one of the EU's oldest trading partners.
Mitte der Siebzigerjahre unterzeichnete die EU mit Kanada das erste Handels- und Wirtschaftsabkommen.	In the mid-1970s, the EU signed the first economic and trade agreement with Canada.
Weitere Abkommen im Tiersektor und zu Wein und Spirituosen folgten.	Further agreements followed in the livestock sector and with regard to wines and spirits.
Das CETA-Abkommen könnte für beide Handelspartner von großem Vorteil sein.	The EU-Canada comprehensive economic and trade agreement (CETA) could be very advantageous for both trading partners.
Allerdings gilt es noch einiges zu berücksichtigen und noch einiges zu diskutieren.	However, there are still a few things that need to be taken into consideration and discussed.
Klar ist, dass ein fairer Wettbewerb das Ziel des Abkommens sein muss.	Clearly, the aim of the agreement must be fair competition.
Dieser kann nur dann gewährleistet sein, wenn nicht nur tarifäre sondern auch nicht-tarifäre sowie technische Handelshemmnisse abgebaut werden.	This can only be achieved if not only the tariff barriers but also the non-tariff and technical barriers to trade are removed.
Das Prinzip der Gegenseitigkeit muss gewahrt werden, denn nur so lässt sich ein ausgeglichenes Verhandlungsergebnis erzielen.	The principle of reciprocity must be respected, because that is the only way to achieve a balanced outcome of the negotiations.
Das gilt auch für die länder- und kulturspezifischen Besonderheiten der Partner.	That also applies to elements that are specific to the country or culture of the individual partners.
Diskussionen zu heiklen Themen wie der Förderung von Ölsand und die damit verbundenen Umweltauswirkungen, ILO-Standards aber auch zur Anerkennung von technischen Standards oder der Rückverfolgbarkeit von Lebensmittelprodukten müssen auch weiterhin auf Augenhöhe erfolgen um einen Konsens zu erzielen.	Discussions of tricky subjects like extraction from tar sands and the associated environmental impact, ILO standards, as well as the recognition of technical standards and the traceability of food products, must also continue on equal terms in order to reach a consensus.
Von besonderem Interesse sind für mich die Verhandlungen im Milchsektor und der Zugang zum kanadischen Markt sowie die Ursprungskennzeichnung von kanadischem Schlachtvieh.	Of particular interest to me are the negotiations in the dairy sector and access to the Canadian market as well as origin labelling of Canadian slaughter cattle.
Kann die Kommission in diesen Bereichen Aufklärungsarbeit leisten?	Can the Commission provide more information in these areas?
Mit welchem Ausgang ist hier zu rechnen?	What outcome can we expect in this regard?
