Herr Präsident! Worum geht es der Sache nach?	Mr President, what follows from this?
Ich glaube, das muß man sich noch einmal klarmachen.	I believe that this must once again be clarified.
Es geht nicht um die allgemeine Frage, Herr Menrad, Partnerschaft oder Klassenkampf.	It is not a general question, Mr Menrad, of partnership or class conflict.
Da kann ich es mir nicht verkneifen, zu bemerken: Wer nicht kämpfen kann, wird als Partner auch nicht ernstgenommen.	I cannot help commenting here that anyone who cannot engage in conflict will not be taken seriously as a partner either.
Es geht darum, wie man Beteiligungssysteme jenseits der fordistischen Fabrik entwickelt, d.h. jenseits des Großunternehmens mit Mitbestimmung oder anderen Formen gewerkschaftlich vermittelter Einbindung der Arbeitnehmer.	It is a question of how participation systems can be developed beyond the Ford factory, i.e. beyond the large company, with co-management or other means of involving employees arranged by the trade unions.
Wir wissen, die Volksaktie ist keine Antwort.	We know that the low-denomination share is no answer.
Der Aktionär ist hin- und hergerissen zwischen der shareholder value , die für Entlassungen plädiert, und seinem Arbeitnehmerinteresse, das für Beschäftigung plädiert.	The shareholder is torn one way and the other between the shareholder value, which calls for sackings, and his interest as an employee, which calls for employment.
Das ist bei Volkswagen so, das ist bei Renault so, und das ist auch bei allen anderen breit in Arbeitnehmerhand gestreuten Volksaktien durchaus so.	That is the case at Volkswagen, that is the case at Renault and that is always the case wherever low-denomination shares are broadly scattered amongst employees.
Wir müssen dringend prüfen, wie weit uns eine Erweiterung des Unternehmensbegriffs gelingt, die auf den funktionalen Zusammenhang abstellt, statt auf bloße Eigentumsbildung; gerade moderne Franchiseunternehmensketten sind hier in Betracht zu ziehen.	We must urgently examine to what extent we can expand the corporate concept which focuses on the functional context instead of the mere formation of property; modern franchise company chains should be examined in this connection.
Wir müssen auch die Neubestimmung der Grenzen von betrieblicher und gesellschaftlicher Demokratisierung ins Auge fassen.	We must also consider the redefinition of the boundaries of corporate and social democratisation.
Insofern habe ich eine kleine Differenz zur GUE, denn auch die lokale und regionale Koordination erfordert neue Formen der Einbeziehung, und da ist eine Abstützung auf Eigentum durchaus sinnvoll.	In this respect I disagree slightly with the GUE, because local and regional coordination also calls for new forms of incorporation and in that case a reliance on ownership makes complete sense.
Im einzelnen geht es aber dabei um echte Gewinnbeteiligung, nicht um zeitlich gestreckt ausgezahlten Lohn, und es geht auch um die Notwendigkeit einer öffentlichen Absicherung der Arbeitnehmeranteile.	However, in particular this is a matter of genuine participation in profits, not of wages being paid out over an extended period of time, and also of the necessity for providing official cover for the employees' shares.
Wir haben entsprechende Anträge gestellt.	We have submitted the appropriate applications.
Wir können auch die Anträge von Herrn Menrad unterstützen, denn sinnvolle Privatisierung nochmals abzustützen durch entsprechende Beteiligungsstrategien erscheint uns sinnvoll; auch eine spezifische Zuspitzung auf Klein- und Mittelbetriebe, wenn deren Kontext entsprechend berücksichtigt wird, erscheint uns sinnvoll.	We can also support the applications of Mr Menrad, since it seems to us rational to once again support rational privatization with appropriate participation strategies; a specific concentration on small and medium-sized undertakings also seems to us to make sense, provided their particular circumstances are adequately taken into account.
Grundsätzlich geht es aber darum, die bereits vom Meitner-Plan in Schweden in der Hochblüte des Fordismus aufgeworfene Frage zu behandeln: Wie kann ein Mechanismus wirksam installiert werden, der den Automatismus außer Kraft setzt, wonach die Kapitalbesitzer den gesellschaftlichen Reichtum akkumulieren und die abhängig Arbeitenden allenfalls die eigene Arbeitskraft reproduzieren können?	However, the fundamental issue is to deal with the question which has already been raised in connection with the Meitner plan in Sweden in the full bloom of Fordism: how can a mechanism be effectively installed which cancels out the automatic process whereby the holders of capital accumulate the corporate wealth and the dependent workers can at most reproduce their own working capacity?
Das ist die Frage, vor der wir stehen, und da ist der Pepper-Bericht wirklich nur ein Vorläufer, so sehr Frau Hermange dafür zu danken ist, daß sie mit dem Ausschuß für Beschäftigung und soziale Angelegenheiten etwas daraus gemacht hat.	This is the question we are faced with, and in this respect the PEPPER Report is really only a precursor, as much as Mrs Hermange is to be thanked for drawing something positive from it with the Committee for Employment and Social Affairs.
