Herr Präsident! Herzlichen Glückwunsch an Herrn Peter zu seinem sehr guten Bericht.	Mr President, I congratulate Mr Peter on his report, which is of a very high quality.
Wenn Vereinbarungen der europäischen Sozialpartner durch eine Art Allgemeinverbindlichkeitserklärung, nämlich einen Beschluß des Ministerrates, Gesetzescharakter für die Europäische Union im Arbeitsbereich erlangen, dann werden davon nicht zuletzt die kleinen und mittleren Unternehmen betroffen, denn bei ihnen ist die Mehrzahl der Arbeitnehmer in Europa beschäftigt.	If agreements by the European social partners acquire legal force in the European Union in the area of work by making them generally binding through a Council decision, the SMEs will be among those most affected as they employ the majority of workers in Europe.
Zu Recht verlangt der Bericht des Ausschusses für Beschäftigung und soziale Angelegenheiten eine stärkere Einbindung dieser KMU in die Gestaltung des europäischen sozialen Dialogs, und er kommt damit einem großen Anliegen der Fraktion der Europäischen Volkspartei entgegen, was unser Änderungsantrag 9 nochmals verdeutlicht.	The report by the Committee on Employment and Social Affairs is right to call for increased involvement of the SMEs in shaping the European social dialogue, which is an issue of great concern to the Group of the European People's Party, as is clear from our Amendment No 9.
Sozialer Dialog ist notwendig auf europäischer und nationaler Ebene.	The social dialogue is necessary at both European and national levels.
Er ist auch erfolgreich auf Unternehmensebene.	It is also successful at company level.
Das zeigen die Erfolgsstory des Europäischen Betriebsrats und die positive Entwicklung der Diskussion über die europäische Aktiengesellschaft.	This is illustrated by the success story of the European Works Council and the positive development of the discussion on the European Company.
So, Herr Kommissar, bin ich jedenfalls informiert.	Or so I am told, Commissioner.
Das Rezept heißt in beiden Fällen: Verhandlungslösungen durch die Sozialpartner zur Festlegung der Mitwirkungsmöglichkeiten der Arbeitnehmer.	In both cases the remedy has been negotiations by the social partners to establish ways in which the workers can participate.
In der letzten Woche fand in Wien eine von der österreichischen Präsidentschaft organisierte Konferenz über das europäische Sozialmodell und den sozialen Dialog statt.	A conference organised by the Austrian Presidency took place in Vienna last week on the European social model and the social dialogue.
Vergleiche mit anderen Modellen wurden angestellt, zum Beispiel mit der Marktwirtschaft pur, etwa in den aufstrebenden Industriestaaten in Südostasien.	Comparisons were made with other models, for example with the market economy pure and simple, as in the emergent industrial nations of South-East Asia.
Doch gerade weil sie die soziale Dimension vernachlässigt haben, sind aus den Tigerstaaten auch wirtschaftlich vielfach zahme und lahme Hauskatzen geworden.	But as they have neglected the social dimension many of the Asian tigers have in economic terms become tame, lame domestic cats.
Die wirksame Antwort auf die Globalisierung ist das europäische Modell, die soziale Marktwirtschaft mit Sozialpartnerschaft und sozialem Dialog als Grundlage.	The effective answer to globalisation is the European model, the social market economy based on social partnership and social dialogue.
In diesem Sinne wird die Fraktion der Europäischen Volkspartei dem vorliegenden Bericht Peter zustimmen.	The Group of the European People's Party will therefore be voting in favour of the Peter report.
