. – Herr Präsident, sehr geehrter Kommissar!	.
Sie haben eine tolle Rede gehalten. Aber ich bin nicht sicher, ob Sie mit allen Betroffenen in den entsprechenden Wirtschaftskreisen gesprochen haben.	Mr President, Commissioner, that was a terrific speech you gave us, but I am not sure that you have spoken to all the interested parties in the relevant business circles.
Was Sie vorgetragen haben, mag zwar für Firmen wie MAERSK richtig sein, diese kleine Firma, die gerade PNO aufgekauft hat. Aber mir und der Kollegin Kratsa-Tsagaropoulou geht es primär um die Frage der mittelständischen und kleinen Schifffahrtsunternehmen, die sich in einer ganz anderen Situation befinden als PNO, aufgekauft von MAERSK, oder wen immer Sie von den Großen nehmen wollen.	What you have said may well be true of firms like Maersk, the little outfit that has just bought up PNO, but what primarily interests me, and Mrs Kratsa-Tsagaropoulou too, is what happens to the small and medium-sized shipping lines whose situation is quite different from that of PNO, and have not been bought up by Maersk or by any of the other big players whom you might care to name.
Wir glauben, dass die Verordnung Nr. 4056 nicht ersatzlos gestrichen werden kann.	It is our belief that Regulation (EEC) No 4056/86 cannot be deleted without being replaced.
Natürlich muss sie angepasst werden, Herr Kommissar. Das ist doch völlig klar.	Yes, of course, Commissioner, it must be adapted; that much is perfectly clear, and we all know it.
Das wissen wir alle. Sie muss angepasst werden, und das Hauptziel muss sein, sie so anzupassen, dass es gerade den kleinen und mittelständischen Unternehmen ermöglicht wird, Absprachen technischer Natur zu treffen und den Informationsaustausch zu pflegen, um zu sehen, wie sie am besten auf dem Weltmarkt bestehen können.	It has to be adapted, and the principal object of the exercise must be to do so in such a way that the small and medium-sized companies are enabled to reach agreements on technical matters and to exchange information in order to be able to see where they stand the best chance of succeeding on the world market.
Darüber sind sie hinweggegangen, Herr Kommissar.	That, Commissioner, is something to which you have paid no attention.
Es liegen gute Vorschläge von einer Gruppe vor, die sich European Liner Affairs Association nennt. Diese Vorschläge beinhalten eine deutlich reduzierte Freistellung, aber eine klare Regelung zum Schutze der kleinen und mittleren Unternehmen.	A group calling itself the ‘European Liner Affairs Association’ has come up with some good proposals, which contain not only a markedly more limited exemption, but also unambiguous rules to protect small and medium-sized enterprises.
Ich erinnere nur an den Vorschlag, tatsächlich Diskussionsforen zu eröffnen, an denen sowohl die Schifffahrtsunternehmen als auch die Verlader und die anderen Akteure des Sektors beteiligt sind.	There is actually a proposal for the opening of discussion forums with participation not only by shipping lines but also by shippers and the other stakeholders in the sector.
Wir wollen keine Preisabsprachen, wir wollen keine böswilligen Kartelle. Das dürfen Sie meiner Kollegin Kratsa niemals unterstellen!	We do not want price-fixing any more than we want hostile cartels, and you must never suggest that my colleague Mrs Kratsa-Tsagaropoulou does!
Was wir wollen, sind technische Vereinbarungen, die es ermöglichen, dass kleine und mittlere Unternehmen im Haifischbecken der großen Konzerne und Allianzen überleben können.	What we want is technical agreements that make it possible for small and medium-sized enterprises to survive in shark-filled waters, that is to say, alongside the big conglomerates and alliances.
Wenn man solche Diskussionsforen ermöglicht, besteht eine Chance, dass wir die kleine und mittelständische Schifffahrtsindustrie tatsächlich aufrechterhalten.	If such discussion forums are facilitated, there really is a chance of our managing to keep the small and medium-sized shipping industry afloat.
Wir müssen einfach sehen, dass der Weltsektor auf der einen Seite von den Großen bei uns beherrscht wird; auf der anderen Seite haben wir Attacken der Koreaner und der chinesischen Schifffahrtslinien zu befürchten.	It simply has to be clear to us that, even though our big players dominate business worldwide, we do also have good reason to fear attacks by the Koreans and the Chinese shipping lines.
Hier müssen wir für die europäische Schifffahrt etwas tun, Herr Kommissar!	This, Commissioner, is where we have to do something for European shipping!
