Herr Präsident! Bei aller Wertschätzung kann ich Ihre Auffassung nicht teilen.	Mr President, with all due respect, I cannot subscribe to your view.
Es geht mir nicht um den politischen Inhalt.	It is not the political aspect which bothers me.
Aber erstens möchte ich darauf hinweisen, dass mein Pressereferent, als er heute einen Schritt in diesen Raum machen wollte, sofort daran gehindert wurde.	I should like to point out that when my press officer wanted to step into the Chamber, he was stopped straight away.
Gut, das ist korrekt.	And rightly so.
Aber ich verstehe nicht, wie dann drei oder vier Leute, die absolut nichts mit diesem Parlament zu tun haben, einfach in den Saal gelangen können.	But I fail to understand how three or four people who have absolutely nothing to do with this Parliament can simply walk in.
Zweitens: Als wir den Außenminister Cem im Ausschuss für auswärtige Angelegenheiten hatten, hatten wir schon einmal einen solchen Vorfall, bei dem es fast zu einer tätlichen Attacke gegenüber dem Außenminister gekommen wäre.	Secondly: when foreign minister Cem was with us in the Committee on Foreign Affairs, we had a similar incident which only just stopped short of an actual attack on the minister.
Gleichgültig, welches Land involviert ist, ist es eine unangenehme Angelegenheit für dieses Parlament, dass die Sicherheitsbürokratie dieses Hauses - ich benutze bewusst das Wort Bürokratie - zwar den Parlamentariern überall Hindernisse in den Weg legt, aber nicht fähig ist, solche Zwischenfälle zu verhindern, wenn über die Türkei diskutiert wird, wo man so etwas erwarten kann, nachdem es bereits einen Zwischenfall gegeben hat.	Irrespective of the country involved, it is no laughing matter for Parliament when the security bureaucracy in this House - and I use the word bureaucracy advisedly - stops members at every turn but is unable to prevent this sort of incident when Turkey is the subject of debate, when you would expect them to, given that there has already been one such incident.
Das halte ich für einen Skandal!	It is a scandal.
Ich bitte, das ernster zu nehmen als es ist, nicht den politischen Inhalt, aber die Tatsache, wie hier vorgegangen werden kann.	This needs to be taken more seriously, not the political aspects but what can be done here.
Das nächste Mal ist es ein Präsident, der hier spricht und der dann behindert oder attackiert wird.	Next time it will a president who is interrupted or attacked while making a speech.
Ich möchte wissen, was das dann für den Ruf des Europäischen Parlaments bedeutet.	I should like to know what that will do for the European Parliament's reputation.
