Herr Präsident, geschätzte Kolleginnen und Kollegen, verehrte Kommissarin!	Mr President, ladies and gentlemen, Commissioner.
Wir alle beglückwünschen uns und die Zuständigen zu diesem wunderbaren Programm.	We and those responsible, all deserve a pat on the back for this marvellous programme.
Erlauben Sie mir, am Anfang auch wieder einmal einer so lieb gewordenen Gewohnheit nachzukommen, nämlich der Berichterstatterin Rosen zu streuen: Doris, klasse!	Allow me to start with what has become a rather lovely tradition, that is, by scattering roses over the rapporteur; well done, Doris!
Wir teilen alle Kritikpunkte, ich muss sie nicht noch einmal auflisten, obwohl das vielleicht doch notwendig wäre, aber in einer Minute geht das nicht.	We agree with the criticisms and I shall not enumerate them again; perhaps I should but one minute does not give me enough time.
Was ist meine Aufgabe hier?	What is my brief here?
Öffentlich zu werben für dieses wunderbare Programm!	Obviously to canvass for this marvellous programme.
Es ist keine Hochglanzbroschüre, es ist gelebte Bürgernähe, es ist eine europäische Antwort auf viele Fragen.	It is not a glossy brochure, it is grass-roots policy in the flesh, it is a European answer to numerous questions.
Aber die Antworten, die wir mit Sokrates geben, sind ein bisschen zu wenig.	But the answers which Socrates gives are not quite enough.
Sokrates löst keine grundsätzlichen Probleme.	Socrates does not resolve any fundamental problems.
Sokrates hilft, stellt auch politische Fragen in den Raum, stellt sie auch in die Öffentlichkeit, lässt aber die Mitgliedstaaten nicht aus der Verantwortung.	Socrates helps, it airs political questions and brings them to the public's attention, but does not absolve the Member States of responsibility.
Ich würde gerne mehr von unseren Mitgliedstaaten dazu hören, nicht nur zu Sokrates, sondern auch zu ihrer Verantwortung, dazu, was Bildung für Europa bedeutet.	I would gladly hear more from our Member States on this, not just on Socrates, but on their responsibility, on what education means for Europe.
Über den europäischen Bildungsraum würde ich gerne öffentliche Gespräche mit den Zuständigen führen.	I would be glad to engage in a public debate on a European area of education with the people in charge of education.
Wissen Sie, was uns mit Sokrates neben all dem Inhaltlichen gelungen ist?	Do you know what we have achieved with Socrates, quite apart from the tangible results?
Die Namen alter Europäer werden benutzt - Comenius, Erasmus, Grundtvig - diese alten Namen werden von den jungen Menschen aufgelistet wie junge Hip-Hopper.	The names of old Europeans are being used: Comenius, Erasmus, Grundtvig - these old names trip off the lips of young people as easily as the words to a rap song.
Wir sind wirklich dorthin gekommen mit dem, was wir wollten.	We really have achieved what we set out to do.
Doris Pack hat gesagt, Sokrates begleitet uns von der Wiege bis zur Bahre.	Doris Pack said that Socrates is there for us from the cradle to the grave.
Dann würde ich mir auch wünschen, dass wir ein bisschen früher anfangen, nicht erst im Schulalter, sondern schon beim Kleinkind.	I would therefore like to see us start a bit earlier, not at school age, but with infants.
Denn wie alle gesagt haben, Fremdsprachen erlernen ist so wahnsinnig wichtig, für uns alle von immenser Bedeutung, und wir wissen auch, das fängt im Kindergarten an.	Because, as everyone has said, learning foreign languages is so incredibly important, it is of immense importance to all of us and we know that it starts in the nursery.
Vielleicht gibt es den nächsten Schritt dorthin.	Perhaps our next step should be in the direction of the kindergarten.
