Herr Präsident, unsere öffentlichen Pensionssysteme sind zu teuer und auch nicht mehr finanzierbar.	Mr President, our public pensions systems are too expensive and have also ceased to be financeable.
Die Schere zwischen aktiven Beschäftigten und Pensionisten wird immer größer.	The gap between those actively employed and pensioners is becoming ever greater.
Dringend notwendige Reformen werden immer wieder verzögert.	Urgently needed reforms are constantly being postponed.
Die Kosten für diese Systeme innerhalb der Union sind auch sehr unterschiedlich.	The cost of these systems within the Union also varies very widely.
So wendet zum Beispiel Österreich 15 % seines Bruttoinlandsproduktes für Pensionen auf und ist damit Rekordhalter, da der Durchschnitt in der Union 11 % beträgt.	For example, Austria devotes 15% of its GDP to pensions, making it the record holder, as the EU average is 11%.
Die hohen Kosten zum Beispiel in Österreich lassen sich zum Teil auch darauf zurückführen, dass wir bald für jede eigene Berufsgruppe ein eigenes Versicherungssystem eingeführt haben.	The high costs in countries like Austria are partly attributable to the fact that we have virtually introduced a separate insurance system for each professional group.
Dies führt zu einer Reihe von Ungerechtigkeiten, die nicht mehr vertretbar sind.	This leads to all sorts of injustices that are no longer tenable.
Aber wie bereits gesagt, nicht nur in Österreich, überall in Europa kriselt es bei der Pensionsabsicherung.	However, as others have already said, there is a crisis looming in pension provision not only in Austria but all over Europe.
Das öffentliche Pensionssystem ist eben nicht mehr finanzierbar und geht auch zu Lasten der jungen Generation.	The public pension system can simply no longer be financed and is also becoming a burden on the younger generation.
Ein gesamteuropäischer Markt für die berufliche Altersversorgung muss hier unbedingt Abhilfe schaffen.	A pan-European market for occupational retirement provision is bound to help in this regard.
Wir dürfen aber bei der Einrichtung dieses Systems, dieser zweiten Säule unsere Klein- und Mittelbetriebe nicht mehr zusätzlich belasten.	However, in establishing this system, this second pillar, we should not impose an even greater burden on our small and medium-sized enterprises.
Eine weitere Erhöhung der Lohnnebenkosten würden diese nicht mehr verkraften.	They could not tolerate a further increase in ancillary wage costs.
Die Folgen wären katastrophal und würden sich vor allem negativ auf die europäische Beschäftigungssituation auswirken.	The consequences would be disastrous and would, above all, have a negative impact on Europe's employment situation.
