Herr Präsident!	.
Es trifft sich gut, dass wir das heute debattieren und morgen dann ja wohl mit großer Mehrheit beschließen. Am 14. September wird die EMSA in Lissabon offiziell eröffnet, und ohne solide finanzielle Grundlage lässt es sich nun einmal nicht vernünftig arbeiten.	Mr President, it is most appropriate that we should be debating this today, and that we can expect it to be adopted by a large majority tomorrow, for the EMSA is to be officially opened, in Lisbon, on 14 September, and it will not be able to do its work properly without a sound financial basis.
Ich denke, dass wir mit der Verordnung zur Finanzierung der Maßnahmen gegen Meeresverschmutzung diese finanzielle Grundlage schaffen.	I believe that that is what we are establishing by means of this regulation for funding action in response to maritime pollution.
Es ist mehrmals gesagt worden: Wir sehen 154 Millionen Euro von 2007 bis 2013 als Mindestbedarf. Wir werden auch in diesen Jahren genau beobachten, ob wir möglicherweise nachbessern müssen.	As has frequently been said, we regard EUR 154 million from 2007 to 2013 as the very least that is required, and we will also, over this period, look carefully to see what improvements might have to be made.
Ich kann der Kollegin Haug zusichern, dass wir schon aufpassen, dass da nichts verplempert wird, sondern im Gegenteil, dass es solide finanziert ist und dass die Maßnahmen auch vernünftig sind.	I can assure Mrs Haug that we are already keeping an eye out to see that nothing is wasted and to ensure that, on the contrary, it is properly funded and is taking the proper steps.
Klar ist, dass die Mitgliedstaaten nicht aus ihrer Verantwortung entlassen werden.	What it clear is that the Member States will not be discharged from their responsibilities.
Die EMSA kann nur unterstützen und ergänzen.	All the EMSA can do is to support them and supplement what they do.
Es muss betont werden, dass es bei Meeresverschmutzung nicht nur um Katastrophen geht.	It has to be emphasised that maritime pollution is not just something that happens as a result of disasters.
Wir haben Prestige und Erika erlebt, aber wir haben eben auch den täglichen Schweinskram auf unseren Meeren, nämlich die illegalen Öleinleitungen; und wenn Umweltschutzorganisationen richtig gezählt haben, dann haben wir 3.000 illegale Öleinleitungen pro Jahr in europäischen Meeren.	We know about the ‘Prestige’ and ‘Erika’ disasters, but our seas are being fouled day in and day out by illegal discharges of oil; if the environmental protection organisations are right in their calculations, these happen 3 000 times a year in European waters.
Hier muss etwas getan werden und ich hoffe sehr, dass wir mit Hilfe des Satellitenüberwachungssystems, das die EMSA mit aufbauen soll, das kriminelle Handeln auf unseren Meeren besser bekämpfen können.	Something must be done about this, and I very much hope that the satellite monitoring system that the EMSA is to help set up will enable us to make a better job of dealing with the criminal acts in our waters.
Wir haben noch etwas Erfreuliches, nämlich dass der Berichterstatter, dem es vor dem Sommer nicht ganz so gut ging, heute wieder da ist, dass wir sozusagen mit ihm zusammen morgen diese Verordnung auf den Weg bringen können und dass er mit dem Rat zusammen gute Lösungen gefunden hat — herzlichen Dank dafür —, und dass wir in der ersten Lesung bereits fertig sind und kein Vermittlungsverfahren brauchen.	Another cause for rejoicing is that the rapporteur, who was rather unwell before the summer, is back with us again, so that we can, so to speak, join with him tomorrow in getting this regulation on the road, and that he has, together with the Council, managed to come up with some good solutions, for which we are very grateful, and we have got this done and dusted at first reading stage, with no need of a conciliation procedure.
Insgesamt werden wir morgen mit der Verabschiedung dieser Verordnung einen wichtigen Beitrag des Parlaments und des Rates für saubere Meere und für mehr Meeresschutz in Europa leisten.	To sum up, our adoption of this regulation tomorrow will see this House and the Council making an important contribution towards clean and better protected seas in Europe.
Ich hoffe, dass wir dadurch auch als Europäische Union bei den Bürgern einen neuen Stellenwert erhalten, indem Europa sich um saubere Meere kümmert.	I hope that this demonstration of Europe’s concern for clean waters will lead the public to value the European Union more highly.
