. – Herr Präsident, verehrte Kolleginnen und Kollegen!	.
Meine Fraktion ist sich darin einig, dass wir ein Abgeordnetenstatut brauchen. Über die konkrete Ausgestaltung der einzelnen Aspekte gibt es natürlich in jeder Fraktion, und somit auch in unserer, sehr unterschiedliche Vorstellungen.	Mr President, ladies and gentlemen, although there is unanimity within my group on the need for a Members’ Statute, there are also – as of course in any group – very divergent ideas about what precise shape it should take.
Auch aus diesem Grunde wird es in meiner Fraktion kein einheitliches Abstimmungsverhalten geben.	This is one reason why not all the members of my group will be voting the same way.
Wir hatten immer gefordert – und dies auch mit Änderungsanträgen zum Bericht Rothley unterstrichen –, dass der Betrag für die Reisekostenerstattung den tatsächlich entstandenen Reisekosten entsprechen muss, da Transparenz oberstes Prinzip ist.	Our demand – backed up by amendments to the Rothley report – had always been that the amount reimbursed in respect of travel costs should correspond to the expenses actually incurred, transparency being the primary consideration.
Eine Erstattung, die über die tatsächlichen Kosten hinausgeht, ist nicht zu akzeptieren.	Any reimbursement over and above the actual costs is not acceptable.
Im Übrigen gibt es auch heute schon die Möglichkeit, zu viel erhaltene Reisekosten rückzuerstatten, wie dies z. B. die deutschen Abgeordneten im Rahmen ihrer Selbstverpflichtung bereits heute praktizieren.	I might add that the possibility exists already of repaying excessive travel expenses, and that the German Members, for example, have already undertaken to do so.
Was den Rentenfonds betrifft, so gibt es bei uns geteilte Meinungen über die Höhe des Anteils der Abgeordneten gegenüber dem Anteil des Parlaments. In jedem Fall unterstützen wir aber das Grundprinzip, wonach Abgeordnete – wie andere Bürger auch – in die Sozialsysteme einzahlen müssen und auch ihren Anteil bei der Finanzierung des Rentenfonds zu leisten haben – selbst in dem Bewusstsein, dass dies kein solidarisches Rentensystem ist, sondern ein Rentenfonds.	Turning to the pension fund, there are differences of opinion among us concerning the proportion of the MEP’s share in contributions as opposed to the share payable by Parliament, but we do, in any case, endorse the basic principle according to which Members of this House – in the same way as other citizens – must contribute to the social security systems and bear their share of funding the pension scheme, even though we are aware that this is a pension fund rather than a system founded upon solidarity.
Das Gleiche gilt für den Beitrag zur Unfallversicherung.	The same applies to contributions to accident insurance.
Wir sollten in unserer Debatte immer im Auge behalten, dass Abgeordnetenbeiträge natürlich auch notwendig sind, weil wir unser Gehalt vom Steuerzahler bekommen.	In our debates, we should never lose sight of the fact that one reason why MEPs need to make contributions is that it is the taxpayer who pays our salaries.
Wir sprechen uns einhellig für das Prinzip des gleichen Lohns für gleiche Arbeit aus.	We are all advocates of equal pay for equal work.
Einkommensunterschiede von bis zu 11.000 Euro zwischen Abgeordneten aus verschiedenen Ländern sind inakzeptabel. Daher ist die Einführung eines einheitlichen Gehalts richtig.	It is unacceptable that the incomes of MEPs from different countries should differ by as much as EUR 11 000, and that is why it is right that a uniform salary should be brought in.
Über dessen Höhe lässt sich natürlich trefflich streiten.	As for how much this should amount to, we could of course have some really good arguments about that.
Und es selbstverständlich, dass Abgeordnete, die ein einheitliches Gehalt beziehen, auch einheitlich besteuert werden müssen, d. h. nach europäischem Steuerrecht.	It also goes without saying that MEPs in receipt of a uniform salary should also be taxed on a uniform basis, namely in accordance with European tax law.
Wenn die Mitgliedstaaten darüber hinaus entscheiden sollten, dass sie die Differenz zwischen dem europäischen und dem nationalen Steuersatz zusätzlich erheben wollen, so ist das ihr gutes Recht, vorausgesetzt, dass die Doppelbesteuerung dabei vermieden wird.	If the Member States go further and decide that they want also to levy the difference between the European and national tax rate, then they are perfectly entitled to do so, provided that this does not result in double taxation.
