Herr Präsident! Anfang März ging die Präsidentschaft von Michael Kovacs zu Ende.	Mr President, the presidency of Michael Kovác came to an end at the beginning of March.
Mit diesem Abgang wurden aber auch erneut politische Entscheidungen in der Slowakei getroffen, die uns Anlaß zur Sorge geben.	With his departure, however, political decisions have once more been taken in Slovakia which give us cause for concern.
Denn nur wenige Stunden, nachdem die Amtsgeschäfte interimsmäßig und provisorisch auf Regierungschef Meciar übergegangen waren, ließ dieser zwei Referenten absetzen, mehr als die Hälfte aller slowakischen Botschafter abberufen - oder er hat es zumindest angekündigt - und das Gerichtsverfahren gegen die mutmaßlichen Entführer des Sohnes des früheren Präsidenten aussetzen.	Only a few hours after the official functions were provisionally transferred to prime minister Meciar as an interim measure, he had two personal assistants sacked, recalled over half of Slovakia's ambassadors - or at least gave notice of his intention to do so - and suspended the trial of the suspected abductor of the former President's son.
Solche Entscheidungen sind unter regulären Umständen besorgniserregend. Sie werden aber dramatisch, wenn sie von bloß übergangsweise zuständigen Personen getroffen werden.	These decisions would be worrying enough under normal circumstances but they become alarming when they are taken by people who are merely temporary stand-ins.
Die Slowakei befindet sich in einem verfassungsmäßigen Ausnahmezustand.	Slovakia finds itself in an exceptional constitutional position.
Dennoch und gerade dann müssen weiterhin Prinzipien wie Rechtsstaatlichkeit und Demokratie berücksichtigt und vor allem ernst genommen werden.	Yet it is precisely in such a situation that principles such as the rule of law and democracy must continue to be adhered to and, above all, taken seriously.
Wir sehen uns wieder einmal vor der Situation, daß einige wenige Personen in der slowakischen Regierung die Zustände im Land in ein fragwürdiges Licht setzen und den Willen des slowakischen Volkes, die politische Kultur, die politischen Spielregeln sehr einseitig auslegen und einen Beitritt zur Europäischen Union womöglich auf die lange Bank schieben.	We are once again confronted with the situation where a handful of people in the Slovakian government are placing the conditions in the country in a questionable light and interpreting the will of the Slovak people, the political culture and the political rules of play in a very one-sided way and are possibly shelving accession to the European Union.
Es geht schließlich auch darum, dem slowakischen Volk unsere Solidarität auszudrücken und ihm mitzuteilen, daß wir die aktuellen Vorgänge im politischen System des Landes genau beobachten.	At the end of the day, it is also a matter of expressing our solidarity with the Slovak people and letting them know that we are watching closely the current events in the country's political system.
Dazu achten wir aber auch auf die öffentliche Meinung im Land sowie bei uns.	We are also heeding public opinion in the country as well as in the EU.
Insbesondere unterstützen wir die Bemühungen, das Referendum über die neue Präsidentschaft wie geplant durchzuführen, ein Referendum, dem nicht zuletzt durch das slowakische Verfassungsgericht die Zulässigkeit und Verfassungskonformität bescheinigt wurde.	In particular, we support the efforts being made to push through the referendum on the presidency as planned, a referendum which was judged to be permissible and constitutional by Slovakia's constitutional court.
Wir wünschen uns ausschließlich eine möglichst rasche Aufnahme der Slowakei in den Kreis der Beitrittskandidaten, sobald sich die demokratische Situation in diesem Land zufriedenstellend entwickelt hat.	All we can hope for is that Slovakia will be accepted as a candidate for accession as speedily as possible, as soon as the democratic situation in that country has moved in a satisfactory direction.
Die Slowakei war immer ein Teil Mitteleuropas, und wir wünschen, daß hier unsere Unterstützung auch in Zukunft stark ist, um die Partnerschaft zu stützen.	Slovakia has always been a part of Central Europe and we trust that our support here is also strong enough in future to underpin the partnership.
