im Namen der Verts/ALE-Fraktion. - Frau Präsidentin!	Madam President, the Eastern Partnership is still very new.
Die Östliche Partnerschaft ist noch ein sehr junges Programm. Dennoch ist es wichtig zu überprüfen, wie wir das in unserem Bericht auch tun, ob wir den gesteckten Zielen demokratischer Reformen in unseren osteuropäischen Nachbarländern nähergekommen sind.	Therefore, it is important for us to evaluate, as we do in this report, whether our Eastern European neighbours have come any closer to the objectives of democratic reform.
Hier sind sowohl Fortschritte als auch Rückschläge zu verzeichnen.	It is clear that there has been progress in this area, but we have also seen setbacks.
Für Belarus, aber auch für die Ukraine, übt das autokratische System Russlands, das sich durch außenpolitische Geschmeidigkeit und innenpolitische Härte, Unterdrückung und Repression charakterisieren lässt, offenbar mehr Anziehungskraft aus und gibt mehr Orientierung als die Angebote der EU.	For Belarus and also for Ukraine, Russia's autocratic system, which is characterised by a flexible approach to foreign policy and a tough approach to domestic policy, and by oppression and repression, is obviously more attractive and provides more guidance than what the EU has to offer.
Doch gerade die Erfahrungen und Verfehlungen im Rahmen der Mittelmeerunion, wo man durch die Unterstützung von Despoten Sicherheit erreichen wollte, zeigen, dass wir auf andere Kräfte als auf korrupte Regierungen setzen müssen.	However, the experiences and the mistakes made in the Union for the Mediterranean, where the aim was to achieve a state of security by supporting despotic regimes, show that we must rely on forces other than corrupt governments.
Unsere Zielvorgabe einer aktiven Bürgergesellschaft, die sich auf Freiheit und die Grundwerte der EU beruft, werden wir nur von unten erreichen, indem wir die zivilgesellschaftliche Selbstorganisation fördern und unterstützen.	Our objective of an active civil society based on freedom and the fundamental values of the EU can only be achieved from the bottom up by promoting and supporting the self-organisation of civil society.
Hier hatte das im Rahmen der Östlichen Partnerschaft gegründete zivilgesellschaftliche Forum einen guten Start - momentan übrigens das einzige Gremium, an dem auch oppositionelle Kräfte aus Belarus beteiligt sind.	The Civil Society Forum, founded as part of the Eastern Partnership, is a good start. It is also currently the only body in which the Belarus opposition is involved.
Denn leider sind die Plätze bei Euronest noch leer, solange es dort kein frei und korrekt gewähltes Parlament gibt.	Unfortunately, the seats at Euronest will remain empty while there is no freely and correctly elected parliament in the country.
Das zivilgesellschaftliche Forum gilt es zu unterstützen, wie wir das in Ziffer 20 des Berichts beschrieben haben.	The Civil Society Forum needs our support, as we have described in paragraph 20 of the report.
Aber das bleibt eine leere Absichtserklärung, wenn wir das nicht durch wirksame Maßnahmen unterlegen.	However, it will remain a mere declaration of intent unless we back it up with effective measures.
Deswegen werbe ich hier eindringlich darum, dass Sie morgen den Änderungsantrag 5 unterstützen, der eine kontinuierliche finanzielle Unterstützung und ein Organisationssekretariat vorsieht.	Therefore, I am calling on you urgently to support Amendment 5 tomorrow which provides for continuous financial support and a secretariat for the organisation.
Also bitte: Unterstützen Sie morgen den Änderungsantrag 5, damit wir bei der Entwicklung einer Zivilgesellschaft weiterkommen!	Please support Amendment 5 tomorrow so that we can make progress on developing a civil society.
Hier gibt es wirklich einen hervorragenden Ansatz.	This really is an excellent approach.
Ich habe das in Berlin selbst miterlebt, wie diese Leute von unten her das gestalten, was wir uns als Ziel gesetzt haben.	I have experienced myself in Berlin how people can achieve objectives of this kind by working from the grassroots upwards.
