Herr Präsident! Sie geben mir das Stichwort.	Mr President, you have given me a keynote to use.
Von all denen, die bislang gesprochen haben, bin ich derjenige, der am weitesten im Süden wohnt, und wenn die Alpen nicht wären, hätte ich sogar einen freien Blick auf das Mittelmeer.	Of all those who have spoken so far, I live the furthest to the south, and if it was not for the Alps, I would have a clear view of the Mediterranean.
Ich erlaube mir deswegen, für die Kollegen aus dem Süden zu behaupten, dass auch wir ein Interesse am Wohlergehen des Nordens haben.	So I claim the right to speak on behalf of the Members from the South and to assert that we too have an interest in the North's well being.
Ich nehme an, der Herr Präsident stimmt mir zu!	I take it for granted that you, Mr President, agree with me!
Ich möchte ganz kurz folgende Themen streifen. Das erste ist die Energie.	I would like to be brief and to touch on the following topics, the first of which is energy.
Bei der Energie käme es darauf an, dass der baltische Ring endlich zustande kommt, also die Elektrizitätsverbindung um die Ostsee herum.	What matters here is that the Baltic Ring should at last come into being, with an electricity interconnection right round the Baltic.
Das würde uns viel helfen, auch in den baltischen Staaten.	That would be a great help to us and also to the Baltic States.
Das zweite ist, dass wir auf jeden Fall einen Öl- oder Gasunfall im hohen Norden vermeiden müssen.	The second point I want to make is that we must at all cost prevent any mishap involving oil or gas in the far north.
Die Natur würde viele Jahre brauchen, um sich wieder zu erholen, sehr viel länger, als das im Süden der Fall ist.	It would take many years for nature to recover, far longer than would be the case in the south.
Das müssen wir auf jeden Fall vermeiden.	That is something we must avoid come what may.
Das dritte Thema ist mein Hauptpunkt: die Abrüstung.	My third point is the main one: disarmament.
Es ist schon einiges zu den U-Booten gesagt worden, die in Nordwestrussland vor sich hin rosten und für die wir auch Projekte haben.	Quite a bit has already been said about the submarines that are rusting away in north-western Russia and the plans we have for dealing with them, for which I would like to give the Commission every credit.
Dafür möchte ich die Kommission ausdrücklich loben, hätte aber die Anregung an die Kommission, dass sie uns in einer Erklärung darlegt, welche Abrüstungsmaßnahmen sie gemeinsam mit dem Rat vorhat, was beschlossen wurde, was über unseren Haushalt läuft, damit wir eine Debatte im Europäischen Parlament über alle diese Maßnahmen haben, die wir ja mit finanzieren.	I do, though, want to suggest to the Commission that they should make a statement setting out what disarmament measures they and the Council are jointly considering, what has been decided on, and what is being done through our Budget, so that this House can have a debate on all these measures, which we are co-financing.
Die Kommission hat dankenswerterweise Anfang Dezember in Brüssel eine große Abrüstungskonferenz organisiert, ich war selbst mit dabei, und bin erstaunt über die vielen Initiativen, die es da gibt.	The Commission deserves thanks for having organised a major disarmament conference in Brussels at the beginning of December, which I attended, and I am amazed at the vast number of initiatives that there are.
Aber es gehört auch dazu, dass wir in diesem Haus darüber diskutieren, damit es auch einem breiteren Publikum bekannt wird.	It is only right, though, that this House should discuss them and make them known to a wider public.
Jetzt noch einmal zur Energie: Ich möchte Sie auf ein Paradoxon hinweisen.	If I might return to the subject of energy, I would like to bring a paradox to your attention.
Wir im Westen Europas ersetzen Kohle und Kernkraft durch Gas. Das kaufen wir in Zukunft immer mehr in Russland.	Here in Western Europe, we are replacing coal and atomic power with gas, which we will, in future, be buying increasingly from Russia.
Die Russen verkaufen uns mehr und mehr Gas, weil sie damit mehr Geld verdienen, als wenn sie das Gas zu Hause verbrauchen. Zu Hause ersetzen sie das Gas aber durch Kohle und Kernkraft.	The Russians are selling us more and more gas, because it earns them more money than if they use the gas at home - where, however, they are using coal and atomic power instead.
Das heißt, wenn man das zusammennimmt, wird weder bei der Kernkraft noch beim CO2 etwas gespart.	Taking all these things together, then, no savings are being made either in atomic power or in CO2.
Ich bitte, dass dies hier thematisiert wird, nämlich, ob unsere Politik richtig ist, und dass es auch zu einem Thema im Energiedialog mit den Russen wird.	I ask that we in this House should take seriously the question of whether our policy is the right one, and that this issue should be on the agenda for the dialogue with the Russians on energy.
Es ist schlicht absurd, was hier passiert, jedenfalls von außen betrachtet.	What is going on here is quite simply absurd, at any rate from an outsider's point of view.
Diesen Hinweis erlaube ich mir!	I just wanted to point that out.
