Herr Präsident! Danke Herr Kommissar, dass Sie sich dieser wichtigen Debatte heute stellen.	– Mr President, Commissioner, thank you for being present at this important debate today.
Wenn man etwas verdoppeln will – und viele Millionen Europäerinnen und Europäer wären dafür, wenn sie davon wüssten; darunter auch ich, der ein bisschen darüber weiß –: Welche Investitionen wollen Sie da wirklich voranbringen?	If you want to double funding – and many millions of Europeans would be in favour of doing so, if only they knew anything about it, and indeed I am in favour of it, although I only know a little about it – what investments do you actually want to boost by doing so?
Wir haben es doch mit der realen Situation zu tun, dass 80% der Mittel aus dem 5. und 6. Forschungsrahmenprogramm an die ganz Großen gehen, und nur 20% an die, die man KMU nennen könnte, oder diejenigen, die sogar noch darunter liegen.	Experience has shown that 80% of funding from the Fifth and Sixth Framework Programmes has gone to the large corporations, and only 20% to those that could be termed SMEs or that are of an even smaller size.
Ich denke, der Hauptgrund dafür ist, dass Lobbyisten gerade von den Großen überdurchschnittlichen Einfluss haben und sich schon längst umgeguckt haben: „Huh, jetzt gibt's eine Verdopplung der Mittel.	I believe that the main reason for this is that lobbyists – in particular those acting on behalf of the large corporations – have an above-average amount of influence.
Wo können wir noch mehr bekommen?“, und dass diese Leute sehr erfolgreich sind.	They have long since taken a good look around and asked where they can get even more money if funding is to be doubled.
Der zweite Grund aber liegt in der Kommission selbst.	These people are very good at their jobs.
Ich sehe in vielem, was Sie tun – und als langjähriges Mitglied des Industrieausschusses war das immer wieder zu beobachten –, dass Sie noch immer diese alte Weltbankperspektive haben: . Der gleiche Fehler, den damals die Weltbank gemacht hat, indem sie ständig weltweit überdimensionale Projekte förderte, wird leider von der Kommission weiter begangen.	The second most important reason, however, lies within the Commission itself. Many of the measures you take – and having been a member of the Committee on Industry, Research and Energy for many years, I can say that this has always been the case – demonstrate that you still follow the same old motto as the World Bank: ‘big is beautiful’.
Die neue Kommission, die erweiterte Kommission, hätte eine echte Chance, diesem Übel entgegenzutreten und von dem 80:20-Verhältnis zu Gunsten der großen Einheiten wegzukommen.	It is an unfortunate fact that the Commission is making the same mistake that the World Bank made, by constantly funding oversized projects all over the world.
Jawohl! Gerade dies würde auch Arbeitsplätze bringen.	The new and enlarged Commission has a real chance of preventing such a mistake and moving away from the 80:20 ratio that favours large businesses.
Jawohl! Gerade dies würde das, was man mit dem europäischen Traum verbindet, voranbringen.	This would be a sure-fire way of creating jobs, and it would mean that progress was made with all aspects of the European dream.
Die zweite Frage ist natürlich: In welche Bereiche wird wirklich investiert.	The second question, of course, is which areas really receive investment.
Hier möchte ich eine Warnung aussprechen: Machen Sie uns Europäerinnen und Europäern nicht vor, dass durch militärische Aufrüstung im Forschungsbereich irgendetwas positiv voranschreiten kann. Begehen Sie nicht alte historische Fehler.	I should like to warn you against pretending to Europeans that military armament in the field of research can result in any kind of positive progress, and against making the same mistakes that history is full of.
Wir stehen vor einer neuen schleichenden Aufrüstung hier in der Union, und ich kann davor nur dramatisch warnen.	What we are seeing is a new armament by stealth in the EU, and I can only issue the most fervent of warnings against it.
Weniger dramatisch, aber wichtig ist die Frage der nuklearen Nutzung.	Less dramatic, but equally important, is the nuclear issue.
Ganz wichtig ist, Herr Kommissar, dass Sie, wenn Sie eine Verdopplung haben wollen, klar darstellen, was wirklich wohin geht, dass da Transparenz geschaffen wird, dass man auch wirklich weiß, welche Mittel wohin sollen, und dass da nicht im Verborgenen agiert wird.	It is absolutely crucial, Commissioner, that if you wish to double funding you must make it quite clear what is actually going where. Transparency is needed so that people know exactly where funding is intended to go, and so that action is not taken behind closed doors.
Sie werden sich hier in der Europäischen Union zu entscheiden haben, wenn es um die Darstellung der Verwendung von Mitteln geht: Wollen Sie in Richtung Propaganda gehen – da wird im Moment wieder viel diskutiert über den Mann, der dies wirklich vorangebracht hat: Josef Goebbels – oder wollen Sie in Richtung Aufklärung gehen – das wäre Jean-Jacques Rousseau!	When it comes to informing the public about how funds are used, the European Union will have to decide whether it wishes to move towards propaganda – made what it is by Josef Goebbels, himself the subject of much debate at present – or towards information, with the pioneer of this approach being Jean-Jacques Rousseau.
Ich bitte Sie im Interesse Europas dringendst, in Richtung Aufklärung zu gehen, wenn es um die Mittel geht.	For Europe's sake, I would ask that you move towards informing citizens about funding.
Der letzte Punkt: Ich glaube, Sie können mit 1% des BIP von Seiten der Mitgliedstaaten sehr gut auskommen.	As a final point, I believe that 1% of GDP from Member States will be more than enough for you to manage with.
Es gibt in der Union sehr, sehr viele Möglichkeiten zu sparen.	There are a great many ways in which money could be saved in the EU.
Allein dieses Parlament kann in diesem Jahr 50 Millionen Euro zur Verfügung stellen; es weiß gar nicht wohin damit.	This House alone has EUR 50 million to spend this year, and has no idea what it should do with it all.
Weniger wäre hier mehr, eine Verdoppelung steht nicht im Widerspruch zu den maximal 1% netto, wie viele Länder dies wollen.	In this instance less would mean more, and doubling is in no way incompatible with a maximum of 1%, which is what many countries want.
