Herr Präsident! Ich möchte mich gerne den Worten des Kollegen Posselt anschließen.	Mr President, I wish to endorse Mr Posselt's comments.
Wir haben auf der einen Seite eine derart gedrängte Tagesordnung, wenn wir den Dienstag und den Mittwoch betrachten.	On the one hand, we have a packed agenda for Tuesday and Wednesday.
Wir haben Nachtsitzungen und praktisch keine Möglichkeit, auch mit Besuchergruppen in Kontakt zu treten, die hierher kommen.	We have night sittings and virtually no opportunity even to meet the visitors' groups who come here.
Wir haben kaum die Möglichkeit, eine Arbeit am Schreibtisch zu machen, die auch während der Plenarwoche notwendig ist.	We have very little opportunity to do any of the paperwork which still arises during the week of plenary.
Dann haben wir hier so Stückwerke am Donnerstagnachmittag, die eine verlorene Zeit sind.	On the other hand, we have the scrappy arrangements on a Thursday afternoon, when time is wasted.
Auch wenn ich um mich schaue, sehe ich wesentlich mehr Besucher auf der Tribüne als Abgeordnete, überall leere Stühle, leere Sitze.	If I look around, I see far more visitors in the galleries than Members in the chamber. There are empty seats everywhere.
Ich glaube, es schadet dem Ansehen des Parlaments, wenn wir hier die Planung weiter so unausgewogen machen.	I believe that it will damage the reputation of this Parliament if we continue with such uneven timetabling.
Ich bitte doch, dies auch sehr klar zu beachten im Hinblick auf den Kalender für das nächste Jahr, der mir als Vorentwurf in mehreren Versionen vorliegt und wo es mir scheint, dass wir mit der Zeit, die wir zur Verfügung haben, sparsamer, aber auch effizienter umgehen sollten.	I would urge you to give this matter very careful consideration when drawing up the timetable for next year. I have a draft copy in various versions and it seems to me that we should be dealing more efficiently and more economically with the time available to us.
Also auch von mir die herzliche Bitte, dies doch wirklich in allem Ernst zu bedenken und dann auch die Planung entsprechend einzurichten.	I would very much appreciate it if you could give this matter serious thought and take it into account during planning.
Das Zweite wäre eine Frage an Herrn Nielson, wenn es gestattet ist.	Secondly, I would like to address a question to Mr Nielson, with your permission.
Herr Nielson, Sie haben eben von der Haushaltsordnung gesprochen, die die Grundlage für Ihre Bemühungen in dem Bereich der Ernährungshilfe sei.	Mr Nielson, you were just talking about the budget arrangements which are the basis for your endeavours in the field of food aid.
Jetzt hätte ich natürlich ganz gerne eine kleine Erläuterung dazu bekommen.	Of course, I would like a little more explanation on this point, if I may.
Ich selber bin nun seit Monaten auch in dem Ausschuss, den ich vertrete, mit der Haushaltsordnung befasst.	I have been dealing with the budget in the committee which I represent for months.
Wir wissen, es hängt im Augenblick im Rat, aber auch vom Parlament her wurden natürlich Dinge eingebracht, die wir dann gerne in der Haushaltsordnung verankert sähen.	We know that it is still with the Council at present, but Parliament, too, has a number of items which it would like to include in the budget.
Wir sehen, dass sich das hinzieht.	We see that it is taking time.
Aber vielleicht können Sie noch einmal etwas deutlicher machen, was das für Sie und Ihren Bereich bedeutet.	Nonetheless, perhaps you could give us a clearer idea of what this means for you and your area of work.
Ich glaube, es wäre auch für uns hilfreich.	I think that would be helpful for us.
