Frau Präsidentin! Glückwunsch an den Kollegen Pál Schmitt für seinen Initiativbericht.	Madam President, congratulations to Mr Schmitt on his own-initiative report.
Ich widerspreche dem Kollegen Lundgren.	I hold the opposing view to Mr Lundgren.
Schule - in diesem Bereich wird die Europäische Union von den Mitgliedstaaten in ihre Schranken gewiesen, leider. Denn bei einer objektiven Problemanalyse entdeckt man schnell, wie notwendig ein harmonisiertes Vorgehen in schulischen Teilbereichen wäre.	Unfortunately, in school matters, the European Union is being restrained by the Member States, for any objective analysis of the problem quickly reveals how vital it is that the approach to different aspects of schooling be harmonised.
Sport gehört dazu, ebenso die Schulung von kreativem Denken oder soziales Engagement.	PE is part of this, in the same way as training in creative thinking or social involvement.
Pál Schmitt konzentriert sich in seinem Bericht auf die Sporterziehung.	Mr Schmitt's report concentrates on PE.
Während in den USA nur solche Schüler Chancen auf einen Platz in einer guten Universität haben, welche exzellente Noten im Zeugnis und hohes sportliches Engagement zeigen, läuft es in Europa genau umgekehrt.	While in the USA only very sporty students who also have excellent grades get a place at a good university, in Europe it is exactly the other way around.
Je höher die Schulklasse, umso weniger bleibt den Jugendlichen Zeit, ihren Sport auszuüben.	The higher the level of schooling, the less time there is for young people to be involved in sport.
Der Stellenwert des Sports innerhalb der Schule ist niedrig, Sport zählt zur Freizeit - das ist ein Fehler.	PE has a lowly status in the world of school. Sport is regarded as being only a leisure activity, and that is a mistake.
Durch Sport überwindet man mentale Grenzen, genau das brauchen wir in Europa.	Sport enables people to overcome mental limits, and that is exactly what we need in Europe.
Heute gelingen Sportkarrieren in vielen Fällen trotz Schule, und nicht durch Schule.	These days, people often manage to have a career in sport despite school, and not because of school.
Das ist ein Fehler im System. Der vorliegende Bericht macht darauf aufmerksam.	That is an error in our system, one that the present report brings to our notice.
Abschließend möchte ich meine Stimme erheben für eine Bevölkerungsgruppe, die das hier nicht kann.	Finally, I should like to speak up for a community that cannot do so here for itself.
Junge Sportler im türkischen Teil von Zypern dürfen aufgrund der politischen Situation in ihrem Land nicht an internationalen Wettbewerben teilnehmen.	Due to the political situation in their country, young sportspeople in the Turkish part of Cyprus cannot take part in international competitions.
Sie erhoffen sich von der Europäischen Union ein Ende der Isolation.	They hope that the European Union will bring an end to their isolation.
Mehr als drei Jahre nach der Aufnahme von Zypern in die EU sollte diesbezüglich endlich ein Lösungsvorschlag erarbeitet werden oder bereits vorliegen.	By now, more than three years since Cyprus joined the European Union, if a solution is not already in place, at least a proposal for one should be under consideration.
