Ich begrüße sehr die Initiative für mehr Transparenz in den Entscheidungsverfahren.	I very much welcome the initiative for greater transparency in the decision-making process.
Graham Watson hat es ausgeführt: In uns Liberalen haben sie da wirklich leidenschaftliche Mitstreiter.	As Mr Watson said, the Presidency really has passionate supporters of this in the shape of the Group of the Alliance of Liberals and Democrats for Europe.
Auf der anderen Seite ist es gewissermaßen eine Ironie der Geschichte, dass ausgerechnet 2006, im Jahr der Mobilität der europäischen Arbeitnehmer, eine Dienstleistungsrichtlinie beschlossen wird, die genau diese Mobilität behindert.	On the other hand, the irony of the story, in a way, is that 2006, in particular – the European Year of Workers’ Mobility – has seen the adoption of a Services Directive that hinders that very mobility.
Was aber den Europäischen Verfassungsvertrag angeht, muss der Rat verstehen, dass dieser Vertrag in der jetzt vorliegenden Form gescheitert ist.	As regards the Treaty establishing a Constitution for Europe, however, the Council must understand that this Treaty has failed in its present form.
Wenn die überall zu hörende Ankündigung, der Bürger müsse in den Mittelpunkt der europäischen Politik gestellt werden, wirklich ernst gemeint ist, dann kann man das Nein in Frankreich und in den Niederlanden nicht einfach ignorieren, und man kann auch nicht ignorieren, dass weitere Staaten bereits jetzt angekündigt haben, diesen Verfassungsvertrag nicht zu ratifizieren.	If we are really serious about the ubiquitous profession that the focus of European policy must be on the citizen, we cannot simply ignore the ‘no’ in France and the Netherlands, nor can we ignore the fact that other Member States have already announced that they will not be ratifying this Constitutional Treaty.
Europa braucht eine Verfassung, das ist ganz klar. Der Inhalt dieses Verfassungsvertrages ist auch gut, aber es muss schon konkrete Vorschläge geben, was geändert werden kann.	Europe needs a constitution – that much is perfectly clear – and the substance of this Constitutional Treaty is good, but specific proposals must be made for what can be changed.
Deshalb habe ich mich sehr gefreut, in der das Interview mit ihrem Chef, Herrn Wolfgang Schüssel, zu lesen, und das gleich aus zwei Gründen.	In this context, I was very pleased to read an interview with the boss of the President-in-Office, Wolfgang Schüssel, in the German newspaper – for two reasons.
Zum einen hat er gesagt, dass er Deutschland bei der Weltmeisterschaft unterstützt.	Firstly, he said that he supports Germany in the World Cup.
Das finde ich hervorragend, dann werden wir sicherlich Weltmeister.	I think that is excellent – now we are sure to win.
Aber zum anderen hat er den Vorschlag aufgegriffen, in allen EU-Mitgliedstaaten am selben Tag eine Volksabstimmung zum Europäischen Verfassungsvertrag durchzuführen.	Secondly, however, he took up the proposal to hold a referendum on the Constitutional Treaty on the same day in all the Member States of the EU.
Das finde ich hervorragend, denn das ist wirklich ein Schritt, um den Bürger und die europäischen Institutionen näher zueinander zu bringen.	I think that is excellent, as such a step would really bring citizens and European institutions closer together.
Und das ist wirklich ein historisches Ereignis. Eine Verfassung, die sich die Bürgerinnen und Bürgern selbst gegeben haben, das ist ein wirklich wichtiger Vertrag!	In addition, it would really be a historic event: a constitution that citizens had awarded themselves – that would really be an important Treaty.
Herr Ratspräsident, in großer Bescheidenheit haben Sie gesagt, dass im Rat keine Epoche machenden Entscheidungen anstünden.	The President-in-Office said, in all modesty, that there were no epoch-making decisions on the Council’s agenda.
Wenn es Ihnen aber gelingt, diese Idee — einen Volksentscheid zum Verfassungsvertrag in ganz Europa am selben Tag — bei den anderen Regierungschefs zu platzieren und dort Unterstützung dafür zu gewinnen, dann, in aller Bescheidenheit, haben Sie Epoche machende Entscheidungen herbeigeführt.	Yet if he succeeds in putting the idea of a referendum on the Constitutional Treaty on the same day throughout Europe in front of the other Heads of State or Government and in winning support for it among them, he will be able to say, in all modesty, that he has produced epoch-making decisions.
Ich wünsche Ihnen dabei allen Erfolg!	I wish him every success in this.
