Herr Präsident!	.
Ich möchte die mir gestellten Fragen beantworten.	Mr President, I would like to answer the questions that have been put to me.
Erstens, was den Zeitplan angeht: Die Kommission wird über die Methodik und die Prinzipien der Organisation des großen Projekts Rechtsvereinfachung Ende Oktober entscheiden.	Let me take the timetable first: the Commission will come to a decision about the methodology and organisational principles of the great ‘Better Regulation’ project at the end of October.
Ich werde der Kommission einen Aktionsplan, der zunächst über drei Jahre läuft, in der Hoffnung vorlegen, in diesen drei Jahren den größten Teil des Projektes abwickeln zu können.	I will be putting to it an action plan for an initial three-year period in the hope that we will be able to get most of the project completed in that time.
Auf jeden Fall werden Prioritäten gesetzt werden müssen. Wir werden die Prioritäten so setzen, dass wir mit den Bereichen beginnen, in denen eine wirkliche Überregulierung vermutet werden darf, weil es sehr viele Rechtsakte gibt.	We will in any case have to decide what our priorities are, and we will do so in such a way that we start with the areas that there is reason to believe really are over-regulated by reason of the vast amount of legislation.
So sind z. B. Automobilindustrie, Bauwirtschaft und Abfallwirtschaft bereits identifiziert als Sektoren, die zuerst überprüft werden. Dann werden alle weiteren Sektoren folgen.	We have already decided that sectors such as the automobile industry, the construction industry and waste management should be the first to be examined, with all the other sectors to follow on.
Parallel arbeitet die Kollegin Fischer Boel bereits an einem grundlegenden Vereinfachungsprogramm für den landwirtschaftlichen . Hier wird das erste Paket noch in diesem Jahr vorgelegt werden können.	In parallel with this, Commissioner Fischer Boel is already working on a fundamental programme for the simplification of the agricultural , the first package of which will be able to be presented this year.
Ich bin Herrn Swoboda für die Unterstützung sehr dankbar. Die notwendigen Unterlagen, Herr Abgeordneter, kann ich Ihnen gleich jetzt in die Hand geben.	I am much obliged to Mr Swoboda for his support, and can tell him that I can give him the documents he needs right now, as I already have them to hand for him and for the other groups too.
Ich habe sie schon für Sie hier liegen und für die anderen Fraktionen auch. Aus diesen Unterlagen können Sie erkennen, was der Status der einzelnen Projekte war, und die Gründe, warum die Kommission denkt, dass sie zurückgezogen werden sollten.	These documents will show you what stage the various projects had reached and the reasons why the Commission thinks they should be withdrawn.
Erlauben Sie mir noch einmal einen kleinen Hinweis zu den Medien.	Perhaps I might make another brief observation concerning the media.
Ich möchte das Parlament jetzt nicht langweilen und will Sie nicht quälen, aber ich könnte Ihnen jetzt eine Liste meiner eigenen Auftritte vor dem Europäischen Parlament vorlesen, bei denen ich das Europäische Parlament über dieses Projekt informiert habe.	Right now, I have no desire to bore the House or to torment it, but I could well, here and now, read out a list of the occasions on which I have appeared before it to inform it about this project.
