Frau Präsidentin! Ich beginne mit dem Bericht Mavrommatis.	Madam President, may I begin with the Mavrommatis report.
Ich habe dem Bericht zugestimmt, weil er die Rolle der Lotterien und der Casinos Austria bei der Finanzierung des Sports besonders hervorhebt.	I voted in favour of the report because it particularly emphasises the contribution made to the financing of sport by the lotteries and Austria's casinos.
Ich begrüße diesen Absatz.	I welcome the paragraph in question.
Dem Bericht Friedrich habe ich zugestimmt, weil der Angriff auf die einmaligen und umfassenden gesellschaftlichen Aufgaben der anerkannten Kirchen abgelehnt wurde und die Tätigkeit der Rechtsanwälte nun differenziert betrachtet wird.	I voted for the Friedrich report because it rejected the attack on the unique and wide-ranging role played by the recognised churches in society, and also offers a more nuanced view of the role of lawyers.
Mir sind die Expertise und die Information wichtig, die der Erfahrungsaustausch und der Dialog über mögliche Lösungsvorschläge mit den Bürgern, Interessenvertretern, Anwälten, und Lobbyisten mit sich bringen.	I attach great importance to the expertise and information that we derive from our exchange of experience and dialogue about possible solutions with citizens, interest groups, lawyers and lobbyists.
Ich bedanke mich für Hunderte von Gesprächen, E-Mails und Anregungen. Einige wenige sind mir auf die Nerven gegangen, weil sie nur Zeit gekostet haben.	I would like to take this opportunity to express my thanks for the hundreds of discussions, as well as the countless e-mails and ideas that I receive.
Von der überwältigenden Mehrheit habe ich gelernt und profitiert.	A few of them are irritating because they simply take up valuable time, but I have found the majority to be both informative and useful.
Ich bedanke mich dafür, möchte aber auch sagen, dass die Verantwortung im Umgang mit Lobbyisten bei uns selbst liegt.	Once again, I would like to express my thanks for that, but I would also like to say that the responsibility for the way we deal with lobbyists ultimately lies with us.
Wir entscheiden, mit wem wir reden, wie lange wir reden, worüber wir reden und wie wir die Zusammenarbeit gestalten.	We decide who we want to talk to, how much of our time they take up, what we talk about, and how we develop a working relationship.
Klare, transparente Regeln ja, Überregulierung, die die Zusammenarbeit erschwert und bürokratisiert, nein.	I say 'yes' to clear and transparent rules, but 'no' to overregulation which makes this working relationship more difficult and bureaucratic.
Schriftliche Erklärungen zur Abstimmung	Written explanations of vote
