Herr Präsident, liebe Kolleginnen und Kollegen! Ich kann es heute sehr kurz machen.	Mr President, ladies and gentlemen, I have little to say today.
Vor knapp einem Jahr haben Sie mich mit dem Kollegen Tsatsos in die vorbereitenden Arbeiten für diese Regierungskonferenz geschickt.	Just under a year ago, you sent Mr Tsatsos and me to attend preparations for this Intergovernmental Conference.
Ich kann Ihnen heute mitteilen, dass unsere Mission gescheitert ist.	Today I can tell you that our mission was a failure.
Die Aufgabe, die wir hatten, war, einen Beitrag dazu zu leisten, dass die Europäische Union demokratischer wird und handlungsfähiger, um auf diese Erweiterung, die wir so ersehnen, vorbereitet zu sein.	Our remit was to help make the European Union more democratic and more capable of action so that it would be ready to cope with the enlargement which we so long for.
Sie ist nicht handlungsfähiger geworden, sondern hat das Gegenteil erreicht.	It is not more capable of action - on the contrary.
Der Entscheidungsmechanismus im Ministerrat ist um ein Vielfaches verkompliziert worden, die Hürden wurden höher gesetzt.	The decision-making mechanism in the Council of Ministers has become far more complicated and the hurdles have been raised.
Es wird in Zukunft ein viel Leichteres sein, eine blockierende Minderheit in diesem Ministerrat zustande zu bringen.	It will now be much easier to form a blocking minority in the Council of Ministers.
Wir sind in den entscheidenden Bereichen, in denen wir eine Mehrheitsentscheidung brauchen, um die Europäische Union auch mit 27 Ländern handlungsfähig zu halten, nahezu vollständig gescheitert.	In the decisive areas in which we require qualified majority voting if the European Union is to be capable of action with 27 Member States, we failed dismally.
In manchen Bereichen hat es sogar einen Rückschritt gegeben.	On several counts we even lost ground.
Wir müssen sehen, dass wir im demokratischen Bereich nicht das Prinzip von Amsterdam beibehalten haben.	We have to admit that we have not complied with the principle of Amsterdam from the democratic viewpoint.
Dort, wo in der Gesetzgebung die Mehrheitsentscheidung ist, ist die Mitentscheidung.	Where qualified majority voting is enshrined in legislation, we have qualified majority voting.
Wir haben vier wesentliche Bereiche, darunter die Strukturpolitik, darunter den Artikel 133 und zwei andere Fälle, in denen das Europäische Parlament aus der Gestaltung ausgeschlossen ist.	There are four fundamental areas, including structural policy, Article 133 and two other instances in which the European Parliament has been excluded from policy-making.
Das heißt, das Demokratie-Defizit ist wieder größer geworden.	In other words, the democratic deficit is now even greater.
Im Übrigen wird die Sitzzahl des Europäischen Parlaments gegen unseren eigenen Wunsch und ohne Konsultation dieses Parlaments festgelegt.	Plus, the number of seats in the European Parliament has been laid down against our own wishes and without consulting us.
Ich finde, auch dieses ist ein unerträglicher Zustand.	I find this situation intolerable.
Das Partikularinteresse herrschte vor.	Individual interests have prevailed.
Sieger waren diejenigen, die ihre nationalen Interessen durchgesetzt haben.	The winners are those who asserted their national interests.
Sie lassen sich damit auch jeweils zu Hause feiern.	And they have all gone home to celebrate.
Niemand reklamiert für sich, für Europa etwas getan zu haben, sondern jeder sagt: Dort habe ich etwas blockiert, weil da mein eigenes nationales Interesse durch das Veto nicht tangiert werden kann.	No-one claims to have done anything for Europe; on the contrary, everyone is saying: I blocked something to protect my own national interests from the veto.
Diese Methode ist am Ende, diese Methode des Europas der Kanzleien hat keine Chance.	This method has seen its heyday, this system of a Europe of chancelleries is on its last legs.
Wir müssen zu einem transparenten, demokratischen Europa der Bürger kommen, damit wir eine Entwicklungschance haben.	We need a transparent, democratic, citizens' Europe if we are to have any chance of developing.
Deswegen muss es die Methode sein, dass wir in Zukunft eine Regierungskonferenz über einen Konvent gestalten, in dem die Parlamentarier und nicht die Kanzleien das Sagen haben, um diesen Kontinent voranzubringen.	Our method must be a method which allows us to set up an Intergovernmental Conference through a convention at which parliamentarians, not chancelleries have their say if we are to take this continent forward.
Im Übrigen muss es so sein, dass im Bereich der Gesetzgebung auch der Ministerrat in Zukunft eine offene parlamentarische Veranstaltung sein muss, damit auch dort Transparenz und Überprüfung einkehren, weil dies nicht so weitergehen kann.	For the rest, when it comes to law-making, the future Council of Ministers must be an open, parliamentary organisation in which transparency and scrutiny have their place, because we cannot carry on as we are.
Aus all diesem kann ich nur die Konsequenzen ziehen, dass ich, wenn über diesen Vertrag von Nizza abgestimmt werden sollte, mit Nein stimmen werde.	The only consequence which I can draw from all this is that, when it comes to voting on the Treaty of Nice, my vote will be a no vote.
