amtierender Ratspräsident.	President-in-Office of the Council.
Der demographische Wandel in Europa betrifft alle Mitgliedstaaten der Europäischen Union.	Demographic change in Europe concerns all the Member States of the EU.
Ein wesentliches Kennzeichen sind die europaweit niedrigen oder auch sinkenden Geburtenraten.	A major feature is the low or even falling birth rates throughout Europe.
Die sich ändernde Völkerzusammensetzung erfordert im Sinne einer längerfristigen Strategie umfassende Strukturveränderungen, um den sozialen Zusammenhalt der Generationen und die Wettbewerbsfähigkeit der europäischen Wirtschaft zu bewahren.	The changing demographic of nations necessitates comprehensive structural changes as part of a long-term strategy if the social cohesion of the generations and the competitiveness of the European economy are to be preserved.
Die Europäische Kommission stellt in ihrer Mitteilung "Die demographische Zukunft Europas - von der Herausforderung zur Chance" vom 12. Oktober letzten Jahres fest, dass es in der Geschichte Europas noch nie Wirtschaftswachstum ohne Bevölkerungswachstum gegeben hat.	In its Communication entitled 'The demographic future of Europe - from challenge to opportunity' of 12 October of last year, the European Commission notes that Europe has never in its history experienced economic growth without population growth.
Vor diesem Hintergrund kommt der Bewältigung der demographischen Herausforderung im Kontext der erneuerten Lissabon-Strategie für Wachstum und Beschäftigung besondere Bedeutung zu.	In this light, confronting the demographic challenge with the help of the renewed Lisbon Strategy for growth and jobs takes on particular importance.
Die deutsche Ratspräsidentschaft setzt hierbei einen Schwerpunkt auf die Frage, wie durch eine familienfreundliche Politik Frauen und Männer in die Lage versetzt werden, ihre tatsächlich vorhandenen Kinderwünsche zu realisieren.	A priority for the German Council Presidency in this regard is enabling men and women wishing to start a family to do so with the help of family-friendly policies.
Die Erfahrungen aus einer Reihe von Mitgliedstaaten haben gezeigt, dass politische Maßnahmen gleichzeitig erforderlich und möglich sind.	Experience in a number of Member States has shown that political measures are possible as well as necessary.
Eine europäische Allianz für Familien sollte als Plattform des Meinungs- und Erfahrungsaustauschs zwischen den Mitgliedstaaten dienen, in deren Zuständigkeit zentrale Aufgaben bei der Bewältigung des demographischen Wandels fallen.	There should be a European 'alliance for the family' to serve as a platform for Member States to exchange views and experiences. Its field of competence should include key tasks relating to the management of demographic change.
Diese Allianz sollte daneben auch Sozialpartner, die Zivilgesellschaft, Wissenschaft und Unternehmen aktiv einbeziehen.	This alliance should also actively involve the social partners, civil society and representatives of science and industry.
Zentrales Ziel der Allianz sollte sein, die Mitgliedstaaten durch diesen nachhaltigen Austausch zu unterstützen.	The key objective of the alliance should be to offer support to the Member States through this ongoing exchange.
Neben dem politischen Startsignal sollen noch unter deutscher Präsidentschaft erste konkrete Maßnahmen zur Verwirklichung der Allianz eingeleitet werden.	The intention is that, by the end of the German Presidency, not only will the political starting signal have been fired, but also the first tangible steps will have been taken towards the realisation of this alliance.
Dabei sollen vorhandene Ressourcen genutzt und soll an bestehende Strukturen angeknüpft werden; insbesondere die von der Kommission in ihrer Mitteilung angestoßenen Demographieforen sind hierbei wesentliche Bezugspunkte.	In so doing, the idea is to utilise existing resources and to tie in with existing structures; the European Demographic Forums launched by the Commission in its Communication will be particularly important reference points in this regard.
Die Europäische Kommission hat bereits eine hochrangige Expertengruppe zum Themenfeld Demografie und Familie eingerichtet.	The European Commission has already set up a high-level group on demography and the family.
Mit den umfassenden Initiativen auf europäischer Ebene zur Förderung der Gleichstellung von Frauen und Männern, insbesondere mit dem Europäischen Pakt für die Gleichstellung und dem Fahrplan der Kommission für die Gleichstellung von Frauen und Männern (2006-2010) steht die Allianz in einem komplementären Verhältnis.	The alliance will complement the comprehensive initiatives at European level for the promotion of gender equality, particularly the European Pact for Gender Equality and the Commission's Roadmap for equality between men and women 2006-10.
Nur eine verbesserte Vereinbarkeit von Familie und Berufsleben ermöglicht es Frauen und Männern, sich für mehr Kinder zu entscheiden, ohne ihre Berufslaufbahn aufzugeben.	Only an improvement in the reconciliation of family and career will enable men and women to decide to have more children without giving up their careers.
Die Mitgliedstaaten müssen gemeinsam mit den Sozialpartnern und einzelnen Unternehmen auf den Abbau von Lohnungleichheit und eine Unterstützung von Eltern in der frühen Erziehungsphase hinwirken.	The Member States must work together with the social partners and individual companies on reducing pay inequality and on supporting parents in the early stages of bringing up their child.
Eine bessere Vereinbarkeit von Familie und Berufsleben ist schließlich auch ein Kernziel des Europäischen Pakts für die Jugend, um jungen Menschen Zugänge zu beruflicher und sozialer Integration zu eröffnen.	After all, an improvement in the reconciliation of family and career is another chief objective of the European Pact for Youth, with a view to giving young people access to vocational and social integration.
